,0
0,"Anatomy (Greek anatomē, 'dissection') is the branch of biology concerned with the study of the structure of organisms and their parts."
1,Anatomy is a branch of natural science which deals with the structural organization of living things.
2,"It is an old science, having its beginnings in prehistoric times."
3,"Anatomy is inherently tied to developmental biology, embryology, comparative anatomy, evolutionary biology, and phylogeny, as these are the processes by which anatomy is generated, both over immediate and long-term timescales."
4,"Anatomy and physiology, which study the structure and function of organisms and their parts respectively, make a natural pair of related disciplines, and are often studied together."
5,"Macroscopic anatomy, or gross anatomy, is the examination of an animal's body parts using unaided eyesight."
6,Gross anatomy also includes the branch of superficial anatomy.
7,"Microscopic anatomy involves the use of optical instruments in the study of the tissues of various structures, known as histology, and also in the study of cells."
8,The history of anatomy is characterized by a progressive understanding of the functions of the organs and structures of the human body.
9,"Methods have also improved dramatically, advancing from the examination of animals by dissection of carcasses and cadavers (corpses) to 20th century medical imaging techniques including X-ray, ultrasound, and magnetic resonance imaging."
10,"It includes the appearance and position of the various parts, the materials from which they are composed, their locations and their relationships with other parts."
11,"Anatomy is quite distinct from physiology and biochemistry, which deal respectively with the functions of those parts and the chemical processes involved."
12,"Gross anatomy is the study of structures large enough to be seen with the naked eye, and also includes superficial anatomy or surface anatomy, the study by sight of the external body features."
13,"Methods used include dissection, in which a body is opened and its organs studied, and endoscopy, in which a video camera-equipped instrument is inserted through a small incision in the body wall and used to explore the internal organs and other structures."
14,"However, substantially the same structures and tissues are found throughout the rest of the animal kingdom and the term also includes the anatomy of other animals."
15,The term zootomy is also sometimes used to specifically refer to non-human animals.
16,The structure and tissues of plants are of a dissimilar nature and they are studied in plant anatomy.
17,Most animals have bodies differentiated into separate tissues and these animals are also known as eumetazoans.
18,"They have an internal digestive chamber, with one or two openings; the gametes are produced in multicellular sex organs, and the zygotes include a blastula stage in their embryonic development."
19,"Vacuoles, when present, are more in number and much smaller than those in the plant cell."
20,"The body tissues are composed of numerous types of cell, including those found in muscles, nerves and skin."
21,"Each typically has a cell membrane formed of phospholipids, cytoplasm and a nucleus."
22,All of the different cells of an animal are derived from the embryonic germ layers.
23,Those simpler invertebrates which are formed from two germ layers of ectoderm and endoderm are called diploblastic and the more developed animals whose structures and organs are formed from three germ layers are called triploblastic.
24,"All of a triploblastic animal's tissues and organs are derived from the three germ layers of the embryo, the ectoderm, mesoderm and endoderm."
25,"Animal tissues can be grouped into four basic types: connective, epithelial, muscle and nervous tissue."
26,Connective tissue gives shape to organs and holds them in place.
27,"The main types are loose connective tissue, adipose tissue, fibrous connective tissue, cartilage and bone."
28,"The extracellular matrix contains proteins, the chief and most abundant of which is collagen."
29,Collagen plays a major part in organizing and maintaining tissues.
30,The matrix can be modified to form a skeleton to support or protect the body.
31,"An exoskeleton is a thickened, rigid cuticle which is stiffened by mineralization, as in crustaceans or by the cross-linking of its proteins as in insects."
32,"An endoskeleton is internal and present in all developed animals, as well as in many of those less developed."
33,"Epithelial cells can be squamous (flat), cuboidal or columnar and rest on a basal lamina, the upper layer of the basement membrane, the lower layer is the reticular lamina lying next to the connective tissue in the extracellular matrix secreted by the epithelial cells."
34,"There are many different types of epithelium, modified to suit a particular function."
35,In the respiratory tract there is a type of ciliated epithelial lining; in the small intestine there are microvilli on the epithelial lining and in the large intestine there are intestinal villi.
36,Skin consists of an outer layer of keratinized stratified squamous epithelium that covers the exterior of the vertebrate body.
37,Keratinocytes make up to 95% of the cells in the skin.
38,The epithelial cells on the external surface of the body typically secrete an extracellular matrix in the form of a cuticle.
39,In simple animals this may just be a coat of glycoproteins.
40,"In more advanced animals, many glands are formed of epithelial cells."
41,"Muscle tissue functions to produce force and cause motion, either locomotion or movement within internal organs."
42,"Muscle is formed of contractile filaments and is separated into three main types; smooth muscle, skeletal muscle and cardiac muscle."
43,Smooth muscle has no striations when examined microscopically.
44,It contracts slowly but maintains contractibility over a wide range of stretch lengths.
45,It is found in such organs as sea anemone tentacles and the body wall of sea cucumbers.
46,Skeletal muscle contracts rapidly but has a limited range of extension.
47,It is found in the movement of appendages and jaws.
48,Obliquely striated muscle is intermediate between the other two.
49,The filaments are staggered and this is the type of muscle found in earthworms that can extend slowly or make rapid contractions.
50,In higher animals striated muscles occur in bundles attached to bone to provide movement and are often arranged in antagonistic sets.
51,"Smooth muscle is found in the walls of the uterus, bladder, intestines, stomach, oesophagus, respiratory airways, and blood vessels."
52,"Cardiac muscle is found only in the heart, allowing it to contract and pump blood round the body."
53,"In some slow-moving radially symmetrical marine animals such as ctenophores and cnidarians (including sea anemones and jellyfish), the nerves form a nerve net, but in most animals they are organized longitudinally into bundles."
54,"In simple animals, receptor neurons in the body wall cause a local reaction to a stimulus."
55,"In more complex animals, specialized receptor cells such as chemoreceptors and photoreceptors are found in groups and send messages along neural networks to other parts of the organism."
56,Neurons can be connected together in ganglia.
57,"In higher animals, specialized receptors are the basis of sense organs and there is a central nervous system (brain and spinal cord) and a peripheral nervous system."
58,The latter consists of sensory nerves that transmit information from sense organs and motor nerves that influence target organs.
59,"The peripheral nervous system is divided into the somatic nervous system which conveys sensation and controls voluntary muscle, and the autonomic nervous system which involuntarily controls smooth muscle, certain glands and internal organs, including the stomach."
60,The spinal cord is protected by the vertebral column and is above the notochord and the gastrointestinal tract is below it.
61,"Nervous tissue is derived from the ectoderm, connective tissues are derived from mesoderm, and gut is derived from the endoderm."
62,At the posterior end is a tail which continues the spinal cord and vertebrae but not the gut.
