,0
0,Ancient Greek literature is literature written in the Ancient Greek language from the earliest texts until the time of the Byzantine Empire.
1,"The earliest surviving works of ancient Greek literature, dating back to the early Archaic period, are the two epic poems the Iliad and the Odyssey, set in an idealized archaic past today identified as having some relation to the Mycenaean era."
2,"These two epics, along with the Homeric Hymns and the two poems of Hesiod, Theogony and Works and Days, comprised the major foundations of the Greek literary tradition that would continue into the Classical, Hellenistic, and Roman periods."
3,"The lyric poets Sappho, Alcaeus, and Pindar were highly influential during the early development of the Greek poetic tradition."
4,Aeschylus is the earliest Greek tragic playwright for whom any plays have survived complete.
5,"Sophocles is famous for his tragedies about Oedipus, particularly Oedipus the King and Antigone."
6,Euripides is known for his plays which often pushed the boundaries of the tragic genre.
7,"The comedic playwright Aristophanes wrote in the genre of Old Comedy, while the later playwright Menander was an early pioneer of New Comedy."
8,"The historians Herodotus of Halicarnassus and Thucydides, who both lived during the sixth century BC, wrote accounts of events that happened shortly before and during their own lifetimes."
9,"The philosopher Plato wrote dialogues, usually centered around his teacher Socrates, dealing with various philosophical subjects, whereas his student Aristotle wrote numerous treatises, which later became highly influential."
10,"Important later writers included Apollonius of Rhodes, who wrote The Argonautica, an epic poem about the voyage of the Argonauts; Archimedes, who wrote groundbreaking mathematical treatises; and Plutarch, who wrote mainly biographies and essays."
11,"The second-century AD writer Lucian of Samosata was a Hellenized Syrian, who wrote primarily works of satire."
12,Ancient Greek literature has had a profound impact on later Greek literature and also western literature at large.
13,"In particular, many ancient Roman authors drew inspiration from their Greek predecessors."
14,"Ever since the Renaissance, European authors in general, including Dante Alighieri, William Shakespeare, John Milton, and James Joyce, have all drawn heavily on classical themes and motifs."
15,"The earliest known Greek writings are Mycenaean, written in the Linear B syllabary on clay tablets."
16,These documents contain prosaic records largely concerned with trade.
18,The first division was between prose and poetry.
19,"Within poetry there were three super-genres: epic, lyric and drama."
20,The common European terminology about literary genres is directly derived from the ancient Greek terminology.
22,Prose literature can largely be said to begin with Herodotus.
23,"Over time, several genres of prose literature developed, but the distinctions between them were frequently blurred."
24,The figure of Homer is shrouded in mystery.
25,"Although the works as they now stand are credited to him, it is certain that their roots reach far back before his time."
26,The Iliad is a narrative of a single episode spanning over the course of a ten-day-period from near the end of the ten years of the Trojan War.
27,"It centers on the person of Achilles, who embodied the Greek heroic ideal."
28,"The Odyssey is an account of the adventures of Odysseus, one of the warriors at Troy."
29,"After ten years fighting the war, he spends another ten years sailing back home to his wife and family."
30,"Penelope was considered the ideal female, Homer depicted her as the ideal female based on her commitment, modesty, purity, and respect during her marriage with Odysseus."
31,"During his ten-year voyage, he loses all of his comrades and ships and makes his way home to Ithaca disguised as a beggar."
32,Both of these works were based on ancient legends.
33,"The stories are told in language that is simple, and direct."
34,"The Homeric dialect was an archaic language based on Ionic dialect mixed with some element of Aeolic dialect and Attic dialect, the latter due to the Athenian edition of the 6th century BC."
35,"Unlike Homer, Hesiod refers to himself in his poetry."
36,"Nonetheless, nothing is known about him from any external source."
37,"He was a native of Boeotia in central Greece, and is thought to have lived and worked around 700 BC."
38,Hesiod's two extant poems are Works and Days and Theogony.
39,"Works and Days is a faithful depiction of the poverty-stricken country life he knew so well, and it sets forth principles and rules for farmers."
40,Theogony is a systematic account of creation and of the gods.
41,"Despite the name, however, the lyric poetry in this general meaning was divided in four genres, two of which were not accompanied by cithara, but by flute."
42,These two latter genres were elegiac poetry and iambic poetry.
43,Both were written in the Ionic dialect.
44,Elegiac poems were written in elegiac couplets and iambic poems were written in iambic trimeter.
45,"The first of the lyric poets was probably Archilochus of Paros, 7th century BC, the most important iambic poet."
46,"Only fragments remain of his work, as is the case with most of the poets."
47,Lyric poems often employed highly varied poetic meters.
48,"The most famous of all lyric poets were the so-called ""Nine Lyric Poets""."
49,"In antiquity, her poems were regarded with the same degree of respect as the poems of Homer."
50,"Only one of her poems, ""Ode to Aphrodite"", has survived to the present day in its original, completed form."
51,"In addition to Sappho, her contemporary Alcaeus of Lesbos was also notable for monodic lyric poetry."
52,"The poetry written by Alcman was considered beautiful, even though he wrote exclusively in the Doric dialect, which was normally considered unpleasant to hear."
53,The later poet Pindar of Thebes was renowned for his choral lyric poetry.
54,Choral performances were a common tradition in all Greek city-states.
55,"The Athenians credited a man named Thespis with having invented drama by introducing the first actor, whose primary purpose was to interact with the leader of the chorus."
56,The tragic plays grew out of simple choral songs and dialogues performed at festivals of the god Dionysus.
57,"In the classical period, performances included three tragedies and one pastoral drama, depicting four different episodes of the same myth."
58,Wealthy citizens were chosen to bear the expense of costuming and training the chorus as a public and religious duty.
59,Attendance at the festival performances was regarded as an act of worship.
60,Performances were held in the great open-air theater of Dionysus in Athens.
61,"The authorship of Prometheus Bound, which is traditionally attributed to Aeschylus, and Rhesus, which is traditionally attributed to Euripides, are, however, questioned."
62,There are seven surviving tragedies attributed to Aeschylus.
63,"Three of these plays, Agamemnon, The Libation-Bearers, and The Eumenides, form a trilogy known as the Oresteia."
64,"The Theban Trilogy consists of Oedipus the King, Oedipus at Colonus, and Antigone."
65,"Although the plays are often called a ""trilogy,"" they were actually written many years apart."
66,"Antigone, the last of the three plays sequentially, was actually first to be written, having been composed in 441 BC, towards the beginning of Sophocles's career."
67,"Oedipus the King, the most famous of the three, was written around 429 BC at the midpoint of Sophocles's career."
68,"The most well-known of these plays are Medea, Hippolytus, and Bacchae."
69,"Rhesus is sometimes thought to have been written by Euripides' son, or to have been a posthumous reproduction of a play by Euripides."
70,Euripides pushed the limits of the tragic genre and many of the elements in his plays were more typical of comedy than tragedy.
71,"His play Alcestis, for instance, has often been categorized as a ""problem play"" or perhaps even as a work of tragicomedy rather than a true tragedy due to its comedic elements and the fact that it has a happy ending."
72,"Like tragedy, comedy arose from a ritual in honor of Dionysus, but in this case the plays were full of frank obscenity, abuse, and insult."
73,"At Athens, the comedies became an official part of the festival celebration in 486 BC, and prizes were offered for the best productions."
74,"As with the tragedians, few works still remain of the great comedic writers."
75,The only complete surviving works of classical comedy are eleven plays written by the playwright Aristophanes.
76,These are a treasure trove of comic presentation.
77,He poked fun at everyone and every institution.
81,Aristophanes has been praised highly for his dramatic skill and artistry.
82,"John Lemprière's Bibliotheca Classica describes him as, quite simply, ""the greatest comic dramatist in world literature: by his side Molière seems dull and Shakespeare clownish."""
83,"Of all Aristophanes's plays, however, the one that has received the most lasting recognition is The Frogs, which simultaneously satirizes and immortalizes the two giants of Athenian tragedy: Aeschylus and Euripides."
84,"When it was performed for the first time at the Lenaia Festival in 405 BC, just one year after the death of Euripides, the Athenians awarded it first prize."
85,"It was the only Greek play that was ever given an encore performance, which took place two months later at the City Dionysia."
86,"Even today, The Frogs still appeals to modern audiences."
87,"Although the genre was popular, only one complete example of a satyr play has survived: Cyclops by Euripides."
88,"Large portions of a second satyr play, Ichneutae by Sophocles, have been recovered from the site of Oxyrhynchus in Egypt among the Oxyrhynchus Papyri."
89,"Herodotus is commonly called ""The Father of History."""
90,His book The Histories is among the oldest works of prose literature in existence.
91,"Xenophon's most famous work is his book The Anabasis, a detailed, first-hand account of his participation in a Greek mercenary army that tried to help the Persian Cyrus expel his brother from the throne."
92,"Xenophon also wrote three works in praise of the philosopher Socrates: The Apology of Socrates to the Jury, The Symposium, and Memorabilia."
93,"Although both Xenophon and Plato knew Socrates, their accounts are very different."
94,Many comparisons have been made between the account of the military historian and the account of the poet-philosopher.
95,"Among the earliest Greek philosophers were the three so-called ""Milesian philosophers"": Thales of Miletus, Anaximander, and Anaximenes."
96,Socrates did not write any books himself and modern scholars debate whether or not Plato's portrayal of him is accurate.
97,"Some scholars contend that many of his ideas, or at least a vague approximation of them, are expressed in Plato's early socratic dialogues."
