,0
1,"It uses mathematics, physics, and chemistry in order to explain their origin and evolution."
2,"Objects of interest include planets, moons, stars, nebulae, galaxies, and comets."
3,"Relevant phenomena include supernova explosions, gamma ray bursts, quasars, blazars, pulsars, and cosmic microwave background radiation."
4,"More generally, astronomy studies everything that originates outside Earth's atmosphere."
5,Cosmology is a branch of astronomy.
6,The early civilizations in recorded history made methodical observations of the night sky.
7,"These include the Babylonians, Greeks, Indians, Egyptians, Chinese, Maya, and many ancient indigenous peoples of the Americas."
8,"In the past, astronomy included disciplines as diverse as astrometry, celestial navigation, observational astronomy, and the making of calendars."
9,Observational astronomy is focused on acquiring data from observations of astronomical objects.
10,This data is then analyzed using basic principles of physics.
11,Theoretical astronomy is oriented toward the development of computer or analytical models to describe astronomical objects and phenomena.
12,These two fields complement each other.
13,Theoretical astronomy seeks to explain observational results and observations are used to confirm theoretical results.
14,Astronomy is one of the few sciences in which amateurs play an active role.
15,This is especially true for the discovery and observation of transient events.
16,"Amateur astronomers have helped with many important discoveries, such as finding new comets."
17,"Astronomy should not be confused with astrology, the belief system which claims that human affairs are correlated with the positions of celestial objects."
18,"Although the two fields share a common origin, they are now entirely distinct."
19,"Based on strict dictionary definitions, ""astronomy"" refers to ""the study of objects and matter outside the Earth's atmosphere and of their physical and chemical properties,"" while ""astrophysics"" refers to the branch of astronomy dealing with ""the behavior, physical properties, and dynamic processes of celestial objects and phenomena""."
20,"In some cases, as in the introduction of the introductory textbook The Physical Universe by Frank Shu, ""astronomy"" may be used to describe the qualitative study of the subject, whereas ""astrophysics"" is used to describe the physics-oriented version of the subject."
21,"However, since most modern astronomical research deals with subjects related to physics, modern astronomy could actually be called astrophysics."
22,"Some fields, such as astrometry, are purely astronomy rather than also astrophysics."
23,"Various departments in which scientists carry out research on this subject may use ""astronomy"" and ""astrophysics"", partly depending on whether the department is historically affiliated with a physics department, and many professional astronomers have physics rather than astronomy degrees."
24,"Some titles of the leading scientific journals in this field include The Astronomical Journal, The Astrophysical Journal, and Astronomy & Astrophysics."
25,"In some locations, early cultures assembled massive artifacts that possibly had some astronomical purpose."
26,"As civilizations developed, most notably in Mesopotamia, Greece, Persia, India, China, Egypt, and Central America, astronomical observatories were assembled and ideas on the nature of the Universe began to develop."
27,"Most early astronomy consisted of mapping the positions of the stars and planets, a science now referred to as astrometry."
28,"From these observations, early ideas about the motions of the planets were formed, and the nature of the Sun, Moon and the Earth in the Universe were explored philosophically."
29,"The Earth was believed to be the center of the Universe with the Sun, the Moon and the stars rotating around it."
30,"This is known as the geocentric model of the Universe, or the Ptolemaic system, named after Ptolemy."
31,"A particularly important early development was the beginning of mathematical and scientific astronomy, which began among the Babylonians, who laid the foundations for the later astronomical traditions that developed in many other civilizations."
32,The Babylonians discovered that lunar eclipses recurred in a repeating cycle known as a saros.
33,"Following the Babylonians, significant advances in astronomy were made in ancient Greece and the Hellenistic world."
34,"Greek astronomy is characterized from the start by seeking a rational, physical explanation for celestial phenomena."
35,"In the 3rd century BC, Aristarchus of Samos estimated the size and distance of the Moon and Sun, and he proposed a model of the Solar System where the Earth and planets rotated around the Sun, now called the heliocentric model."
36,"In the 2nd century BC, Hipparchus discovered precession, calculated the size and distance of the Moon and invented the earliest known astronomical devices such as the astrolabe."
37,"Hipparchus also created a comprehensive catalog of 1020 stars, and most of the constellations of the northern hemisphere derive from Greek astronomy."
38,"Technological artifacts of similar complexity did not reappear until the 14th century, when mechanical astronomical clocks appeared in Europe."
42,Astronomy flourished in the Islamic world and other parts of the world.
43,This led to the emergence of the first astronomical observatories in the Muslim world by the early 9th century.
44,"In 964, the Andromeda Galaxy, the largest galaxy in the Local Group, was described by the Persian Muslim astronomer Abd al-Rahman al-Sufi in his Book of Fixed Stars."
