,0
0,"The British Empire was composed of the dominions, colonies, protectorates, mandates, and other territories ruled or administered by the United Kingdom and its predecessor states."
1,It began with the overseas possessions and trading posts established by England between the late 16th and early 18th centuries.
2,"At its height it was the largest empire in history and, for over a century, was the foremost global power."
4,"As a result, its constitutional, legal, linguistic, and cultural legacy is widespread."
5,"Envious of the great wealth these empires generated, England, France, and the Netherlands began to establish colonies and trade networks of their own in the Americas and Asia."
6,"A series of wars in the 17th and 18th centuries with the Netherlands and France left England (Britain, following the 1707 Act of Union with Scotland) the dominant colonial power in North America."
7,Britain became the dominant power in the Indian subcontinent after the East India Company's conquest of Mughal Bengal at the Battle of Plassey in 1757.
8,The American War of Independence resulted in Britain losing some of its oldest and most populous colonies in North America by 1783.
9,"British attention turned towards Asia, Africa, and the Pacific."
12,"Alongside the formal control that Britain exerted over its colonies, its dominance of much of world trade meant that it effectively controlled the economies of many regions, such as Asia and Latin America."
13,"Increasing degrees of autonomy were granted to its white settler colonies, some of which were reclassified as dominions."
14,"By the start of the 20th century, Germany and the United States had begun to challenge Britain's economic lead."
15,"Military and economic tensions between Britain and Germany were major causes of the First World War, during which Britain relied heavily on its empire."
16,"The conflict placed enormous strain on its military, financial, and manpower resources."
17,"Although the empire achieved its largest territorial extent immediately after World War I, Britain was no longer the world's pre-eminent industrial or military power."
18,"In the Second World War, Britain's colonies in East and Southeast Asia were occupied by Japan."
19,"Despite the final victory of Britain and its allies, the damage to British prestige helped to accelerate the decline of the empire."
20,"India, Britain's most valuable and populous possession, achieved independence as part of a larger decolonisation movement in which Britain granted independence to most territories of the empire."
21,"The Suez Crisis confirmed Britain's decline as a global power, and the transfer of Hong Kong to China in 1997 marked for many the end of the British Empire."
22,Fourteen overseas territories remain under British sovereignty.
23,"After independence, many former British colonies joined the Commonwealth of Nations, a free association of independent states."
24,"16 of these, including the United Kingdom, retain a common monarch, currently Queen Elizabeth II."
25,"In 1496, King Henry VII of England, following the successes of Spain and Portugal in overseas exploration, commissioned John Cabot to lead a voyage to discover a route to Asia via the North Atlantic."
27,"In the meantime, the 1533 Statute in Restraint of Appeals had declared ""that this realm of England is an Empire""."
28,The Protestant Reformation turned England and Catholic Spain into implacable enemies.
29,"In 1562, the English Crown encouraged the privateers John Hawkins and Francis Drake to engage in slave-raiding attacks against Spanish and Portuguese ships off the coast of West Africa with the aim of breaking into the Atlantic slave trade."
30,"This effort was rebuffed and later, as the Anglo-Spanish Wars intensified, Elizabeth I gave her blessing to further privateering raids against Spanish ports in the Americas and shipping that was returning across the Atlantic, laden with treasure from the New World."
31,"At the same time, influential writers such as Richard Hakluyt and John Dee (who was the first to use the term ""British Empire"") were beginning to press for the establishment of England's own empire."
32,"Several people who helped establish colonies in Ireland also later played a part in the early colonisation of North America, particularly a group known as the West Country men."
33,"That year, Gilbert sailed for the Caribbean with the intention of engaging in piracy and establishing a colony in North America, but the expedition was aborted before it had crossed the Atlantic."
35,"On this occasion he formally claimed the harbour of the island of Newfoundland, although no settlers were left behind."
36,"Gilbert did not survive the return journey to England, and was succeeded by his half-brother, Walter Raleigh, who was granted his own patent by Elizabeth in 1584."
37,"Now at peace with its main rival, English attention shifted from preying on other nations' colonial infrastructures to the business of establishing its own overseas colonies."
38,"The British Empire began to take shape during the early 17th century, with the English settlement of North America and the smaller islands of the Caribbean, and the establishment of joint-stock companies, most notably the East India Company, to administer colonies and overseas trade."
