,0
0,"In this broad sense, a civilization contrasts with non-centralized tribal societies, including the cultures of nomadic pastoralists, Neolithic societies or hunter-gatherers, however sometimes it also contrasts with the cultures found within civilizations themselves."
1,"Civilizations are organized densely-populated settlements divided into  hierarchical social classes with a ruling elite and subordinate urban and rural populations, which engage in intensive agriculture, mining, small-scale manufacture and trade."
2,"The earliest emergence of civilizations is generally connected with the final stages of the Neolithic Revolution, culminating in the relatively rapid process of urban revolution and  state-formation, a political development associated with the appearance of a governing elite."
7,"The word was therefore opposed to barbarism or rudeness, in the active pursuit of progress characteristic of the Age of Enlightenment."
8,"In the late 1700s and early 1800s, during the French Revolution, ""civilization"" was used in the singular, never in the plural, and meant the progress of humanity as a whole."
10,"The use of ""civilizations"" as a countable noun was in occasional use in the 19th century, but has become much more common in the later 20th century, sometimes just meaning culture (itself in origin an uncountable noun, made countable in the context of ethnography)."
11,"Only in this generalized sense does it become possible to speak of a ""medieval civilization"", which in Elias's sense would have been an oxymoron."
12,"Already in the 18th century, civilization was not always seen as an improvement."
13,"One historically important distinction between culture and civilization is from the writings of Rousseau, particularly his work about education, Emile."
14,"Here, civilization, being more rational and socially driven, is not fully in accord with human nature, and ""human wholeness is achievable only through the recovery of or approximation to an original discursive or prerational natural unity"" (see noble savage)."
15,"From this, a new approach was developed, especially in Germany, first by Johann Gottfried Herder and later by philosophers such as Kierkegaard and Nietzsche."
16,"This sees cultures as natural organisms, not defined by ""conscious, rational, deliberative acts"", but a kind of pre-rational ""folk spirit""."
17,"Civilization, in contrast, though more rational and more successful in material progress, is unnatural and leads to ""vices of social life"" such as guile, hypocrisy, envy and avarice."
18,"In World War II, Leo Strauss, having fled Germany, argued in New York that this opinion of civilization was behind Nazism and German militarism and nihilism."
19,"Civilizations have been distinguished by their means of subsistence, types of livelihood, settlement patterns, forms of government, social stratification, economic systems, literacy and other cultural traits."
20,"Andrew Nikiforuk argues that ""civilizations relied on shackled human muscle."
21,"Grain farms can result in accumulated storage and a surplus of food, particularly when people use intensive agricultural techniques such as artificial fertilization, irrigation and crop rotation."
22,"It is possible but more difficult to accumulate horticultural production, and so civilizations based on horticultural gardening have been very rare."
23,Grain surpluses have been especially important because grain can be stored for a long time.
24,"A surplus of food permits some people to do things besides producing food for a living: early civilizations included soldiers, artisans, priests and priestesses, and other people with specialized careers."
25,"A surplus of food results in a division of labour and a more diverse range of human activity, a defining trait of civilizations."
26,"However, in some places hunter-gatherers have had access to food surpluses, such as among some of the indigenous peoples of the Pacific Northwest and perhaps during the Mesolithic Natufian culture."
27,"The word ""civilization"" is sometimes simply defined as ""'living in cities'""."
28,Non-farmers tend to gather in cities to work and to trade.
29,"Compared with other societies, civilizations have a more complex political structure, namely the state."
30,State societies are more stratified than other societies; there is a greater difference among the social classes.
31,"The ruling class, normally concentrated in the cities, has control over much of the surplus and exercises its will through the actions of a government or bureaucracy."
32,"Morton Fried, a conflict theorist and Elman Service, an integration theorist, have classified human cultures based on political systems and social inequality."
34,Horticultural/pastoral societies in which there are generally two inherited social classes; chief and commoner.
35,"Highly stratified structures, or chiefdoms, with several inherited social classes: king, noble, freemen, serf and slave."
36,Living in one place allows people to accumulate more personal possessions than nomadic people.
37,"Some people also acquire landed property, or private ownership of the land."
38,"Because a percentage of people in civilizations do not grow their own food, they must trade their goods and services for food in a market system, or receive food through the levy of tribute, redistributive taxation, tariffs or tithes from the food producing segment of the population."
39,Early human cultures functioned through a gift economy supplemented by limited barter systems.
40,"By the early Iron Age, contemporary civilizations developed money as a medium of exchange for increasingly complex transactions."
41,"In a village, the potter makes a pot for the brewer and the brewer compensates the potter by giving him a certain amount of beer."
42,"In a city, the potter may need a new roof, the roofer may need new shoes, the cobbler may need new horseshoes, the blacksmith may need a new coat and the tanner may need a new pot."
43,These people may not be personally acquainted with one another and their needs may not occur all at the same time.
44,A monetary system is a way of organizing these obligations to ensure that they are fulfilled.
45,"From the days of the earliest monetarized civilizations, monopolistic controls of monetary systems have benefited the social and political elites."
46,"Writing, developed first by people in Sumer, is considered a hallmark of civilization and ""appears to accompany the rise of complex administrative bureaucracies or the conquest state""."
47,Traders and bureaucrats relied on writing to keep accurate records.
48,"Like money, the writing was necessitated by the size of the population of a city and the complexity of its commerce among people who are not all personally acquainted with each other."
49,"However, writing is not always necessary for civilization, as shown by the Inca civilization of the Andes, which did not use writing at all but except for a complex recording system consisting of cords and nodes: the ""Quipus"", and still functioned as a civilized society."
50,"Aided by their division of labour and central government planning, civilizations have developed many other diverse cultural traits."
51,"These include organized religion, development in the arts, and countless new advances in science and technology."
52,"Through history, successful civilizations have spread, taking over more and more territory, and assimilating more and more previously-uncivilized people."
53,"Nevertheless, some tribes or people remain uncivilized even to this day."
54,"These cultures are called by some ""primitive"", a term that is regarded by others as pejorative."
56,"Specifically, as all of today's cultures are contemporaries, today's so-called primitive cultures are in no way antecedent to those we consider civilized."
57,"Anthropologists today use the term ""non-literate"" to describe these peoples."
58,"Civilization has been spread by colonization, invasion, religious conversion, the extension of bureaucratic control and trade, and by introducing agriculture and writing to non-literate peoples."
59,Some non-civilized people may willingly adapt to civilized behaviour.
60,"But civilization is also spread by the technical, material and social dominance that civilization engenders."
61,"Assessments of what level of civilization a polity has reached are based on comparisons of the relative importance of agricultural as opposed to trading or manufacturing capacities, the territorial extensions of its power, the complexity of its division of labour, and the carrying capacity of its urban centres."
62,"Secondary elements include a developed transportation system, writing, standardized measurement, currency, contractual and tort-based legal systems, art, architecture, mathematics, scientific understanding, metallurgy, political structures and organized religion."
63,"Traditionally, polities that managed to achieve notable military, ideological and economic power defined themselves as ""civilized"" as opposed to other societies or human groupings outside their sphere of influence – calling the latter barbarians, savages, and primitives."
64,"Every society, civilization or not, has a specific set of ideas and customs, and a certain set of manufactures and arts that make it unique."
65,"Civilizations tend to develop intricate cultures, including a state-based decision making apparatus, a literature, professional art, architecture, organized religion and complex customs of education, coercion and control associated with maintaining the elite."
66,"The intricate culture associated with civilization has a tendency to spread to and influence other cultures, sometimes assimilating them into the civilization (a classic example being Chinese civilization and its influence on nearby civilizations such as Korea, Japan and Vietnam)."
67,Many civilizations are actually large cultural spheres containing many nations and regions.
68,The civilization in which someone lives is that person's broadest cultural identity.
69,It is precisely the protection of this cultural identity that is becoming increasingly important nationally and internationally.
70,"According to international law, the United Nations and UNESCO try to set up and enforce relevant rules."
71,"The aim is to preserve the cultural heritage of humanity and also the cultural identity, especially in the case of war and armed conflict."
72,"According to Karl von Habsburg, President of Blue Shield International, the destruction of cultural assets is also part of psychological warfare."
73,"The target of the attack is often the opponent's cultural identity, which is why symbolic cultural assets become a main target."
74,"Early twentieth-century philosopher Oswald Spengler, uses the German word Kultur, ""culture"", for what many call a ""civilization""."
75,Spengler believed a civilization's coherence is based on a single primary cultural symbol.
76,"Cultures experience cycles of birth, life, decline and death, often supplanted by a potent new culture, formed around a compelling new cultural symbol."
77,"Toynbee explored civilization processes in his multi-volume A Study of History, which traced the rise and, in most cases, the decline of 21 civilizations and five ""arrested civilizations""."
78,"Civilizations generally declined and fell, according to Toynbee, because of the failure of a ""creative minority"", through moral or religious decline, to meet some important challenge, rather than mere economic or environmental causes."
79,Huntington's theories about civilizations are discussed below.
80,"Civilizations can be seen as networks of cities that emerge from pre-urban cultures and are defined by the economic, political, military, diplomatic, social and cultural interactions among them."
81,Any organization is a complex social system and a civilization is a large organization.
82,Systems theory helps guard against superficial and misleading analogies in the study and description of civilizations.
83,"Systems theorists look at many types of relations between cities, including economic relations, cultural exchanges and political/diplomatic/military relations."
84,These spheres often occur on different scales.
85,"For example, trade networks were, until the nineteenth century, much larger than either cultural spheres or political spheres."
86,"Extensive trade routes, including the Silk Road through Central Asia and Indian Ocean sea routes linking the Roman Empire, Persian Empire, India and China, were well established 2000 years ago when these civilizations scarcely shared any political, diplomatic, military, or cultural relations."
87,The first evidence of such long-distance trade is in the ancient world.
88,"During the Uruk period, Guillermo Algaze has argued that trade relations connected Egypt, Mesopotamia, Iran and Afghanistan."
89,Resin found later in the Royal Cemetery at Ur is suggested was traded northwards from Mozambique.
90,"Many theorists argue that the entire world has already become integrated into a single ""world system"", a process known as globalization."
91,"Different civilizations and societies all over the globe are economically, politically, and even culturally interdependent in many ways."
92,"There is debate over when this integration began, and what sort of integration – cultural, technological, economic, political, or military-diplomatic – is the key indicator in determining the extent of a civilization."
