,0
0,A computer is a machine that can be instructed to carry out sequences of arithmetic or logical operations automatically via computer programming.
1,"Modern computers have the ability to follow generalized sets of operations, called programs."
2,These programs enable computers to perform an extremely wide range of tasks.
3,"A ""complete"" computer including the hardware, the operating system (main software), and peripheral equipment required and used for ""full"" operation can be referred to as a computer system."
4,"This term may as well be used for a group of computers that are connected and work together, in particular a computer network or computer cluster."
5,Computers are used as control systems for a wide variety of industrial and consumer devices.
6,"This includes simple special-purpose devices like microwave ovens and remote controls, factory devices such as industrial robots and computer-aided design, and also general-purpose devices like personal computers and mobile devices such as smartphones."
7,The Internet is run on computers and it connects hundreds of millions of other computers and their users.
8,Early computers were only conceived as calculating devices.
9,"Since ancient times, simple manual devices like the abacus aided people in doing calculations."
10,"Early in the Industrial Revolution, some mechanical devices were built to automate long tedious tasks, such as guiding patterns for looms."
11,More sophisticated electrical machines did specialized analog calculations in the early 20th century.
12,The first digital electronic calculating machines were developed during World War II.
14,"The speed, power and versatility of computers have been increasing dramatically ever since then, with transistor counts increasing at a rapid pace (as predicted by Moore's law), leading to the Digital Revolution during the late 20th to early 21st centuries."
15,"Conventionally, a modern computer consists of at least one processing element, typically a central processing unit (CPU) in the form of a microprocessor, along with some type of computer memory, typically semiconductor memory chips."
16,"The processing element carries out arithmetic and logical operations, and a sequencing and control unit can change the order of operations in response to stored information."
19,Peripheral devices allow information to be retrieved from an external source and they enable the result of operations to be saved and retrieved.
20,"This usage of the term referred to a human computer, a person who carried out calculations or computations."
21,The word continued with the same meaning until the middle of the 20th century.
22,During the latter part of this period women were often hired as computers because they could be paid less than their male counterparts.
24,"The Online Etymology Dictionary indicates that the ""modern use"" of the term, to mean ""programmable digital electronic computer"" dates from ""1945 under this name; [in a] theoretical [sense] from 1937, as Turing machine""."
25,The earliest counting device was probably a form of tally stick.
27,"which represented counts of items, probably livestock or grains, sealed in hollow unbaked clay containers."
28,The use of counting rods is one example.
29,The abacus was initially used for arithmetic tasks.
30,The Roman abacus was developed from devices used in Babylonia as early as 2400 BC.
31,"Since then, many other forms of reckoning boards or tables have been invented."
32,"In a medieval European counting house, a checkered cloth would be placed on a table, and markers moved around on it according to certain rules, as an aid to calculating sums of money."
33,It was designed to calculate astronomical positions.
34,Devices of a level of complexity comparable to that of the Antikythera mechanism would not reappear until a thousand years later.
35,Many mechanical aids to calculation and measurement were constructed for astronomical and navigation use.
37,The astrolabe was invented in the Hellenistic world in either the 1st or 2nd centuries BC and is often attributed to Hipparchus.
38,"A combination of the planisphere and dioptra, the astrolabe was effectively an analog computer capable of working out several different kinds of problems in spherical astronomy."
39,"An astrolabe incorporating a mechanical calendar computer and gear-wheels was invented by Abi Bakr of Isfahan, Persia in 1235."
40,"The sector, a calculating instrument used for solving problems in proportion, trigonometry, multiplication and division, and for various functions, such as squares and cube roots, was developed in the late 16th century and found application in gunnery, surveying and navigation."
41,The planimeter was a manual instrument to calculate the area of a closed figure by tracing over it with a mechanical linkage.
43,It is a hand-operated analog computer for doing multiplication and division.
