,0
0,"An empire is a sovereign state consisting of several territories and peoples subject to a single ruling authority, often an emperor."
1,"States can be empires either by narrow definition through having an emperor and being named as such, or by broad definition as stated above in being an aggregated realm under the rule of a supreme authority."
4,"The concept of empire is associated with other such concepts as imperialism, colonialism, and globalization, with imperialism referring to the creation and maintenance of unequal relationships between nations and not necessarily the policy of a state headed by an emperor or empress."
5,"The former method provides greater tribute and direct political control, yet limits further expansion because it absorbs military forces to fixed garrisons."
6,"The latter method provides less tribute and indirect control, but avails military forces for further expansion."
9,Empires such the Holy Roman Empire also came together by electing the emperor with votes from member realms through the Imperial election.
10,"This is in contrast to a federation, which is an extensive state voluntarily composed of autonomous states and peoples."
11,An empire is a large polity which rules over territories outside of its original borders.
12,Definitions of what physically and politically constitute an empire vary.
13,It might be a state affecting imperial policies or a particular political structure.
14,"Empires are typically formed from diverse ethnic, national, cultural, and religious components."
15,"Furthermore, empires can expand by both land and sea."
16,"That polity over which the ruler reigns logically becomes an ""empire"", despite having no additional territory or hegemony."
17,"Examples of this form of empire are the Central African Empire, or the Korean Empire proclaimed in 1897 when Korea, far from gaining new territory, was on the verge of being annexed by the Empire of Japan, one of the last to use the name officially."
18,"Among the last states in the 20th century known as empires in this sense were the Central African Empire, Ethiopia, Empire of Vietnam, Manchukuo, Russia, Germany, and Korea."
19,"Ideas about empires have changed over time, ranging from public approval to universal distaste."
20,"Empires are built out of separate units with some kind of diversity – ethnic, national, cultural, religious – and imply at least some inequality between the rulers and the ruled."
21,"Without this inequality, the system would be seen as a commonwealth."
22,"Throughout history, the major powers of the world constantly seek to conquer other parts of the world."
23,Imperialism is the idea of a major power controlling another nation or land with the intentions to use the native people and resources to help the mother country in any way possible.
24,"Many empires were the result of military conquest, incorporating the vanquished states into a political union, but imperial hegemony can be established in other ways."
25,"The Athenian Empire, the Roman Empire, and the British Empire developed at least in part under elective auspices."
26,The Empire of Brazil declared itself an empire after separating from the Portuguese Empire in 1822.
27,France has twice transitioned from being called the French Republic to being called the French Empire while it retained an overseas empire.
28,"Europeans began applying the designation of ""empire"" to non-European monarchies, such as the Qing Empire and the Mughal Empire, as well as the Maratha Empire, eventually leading to the looser denotations applicable to any political structure meeting the criteria of ""imperium""."
29,"Some monarchies styled themselves as having greater size, scope, and power than the territorial, politico-military, and economic facts support."
30,"As a consequence, some monarchs assumed the title of ""emperor"" (or its corresponding translation, tsar, empereur, kaiser, shah  etc.)"
31,"Empires were seen as an expanding power, administration, ideas and beliefs followed by cultural habits from place to place."
32,Empires tend to impose their culture on the subject states to strengthen the imperial structure.
33,"This can have notable effects that outlast the empire itself, both positive and negative."
34,"Most histories of empires have been hostile, especially if the authors were promoting nationalism."
35,"Stephen Howe, although himself hostile, listed positive qualities: the guaranteed stability, security, and legal order for their subjects."
36,They tried to minimize ethnic and religious antagonism inside the empire.
37,The aristocracies that ruled them were often more cosmopolitan and broad-minded than their nationalistic successors.
40,Southern Egypt was divided by three kingdoms each centered on a powerful city.
41,"Hierapolis conquered the other two cities over two centuries, and later grew into the country of Egypt."
42,"The Akkadian Empire, established by Sargon of Akkad (24th century BC), was an early all-Mesopotamian empire."
43,This imperial achievement was repeated by Hammurabi of Babylon in the 17th century BC.
44,"In the 15th century BC, the New Kingdom of Ancient Egypt, ruled by Thutmose III, was ancient Africa's major force upon incorporating Nubia and the ancient city-states of the Levant."
45,Circa 1500 BC in China rose the Shang Empire which was succeeded by the Zhou Empire circa 1100 BC.
46,Both surpassed in territory their contemporary Near Eastern empires.
47,The Zhou Empire dissolved in 770 BC into feudal multi-state system which lasted for five and a half centuries until the universal conquest of Qin in 221 BC.
48,The first empire comparable to Rome in organization was the Neo-Assyrian Empire (916–612 BC).
49,The Median Empire was the first empire within the territory of Persia.
50,"By the 6th century BC, after having allied with the Babylonians to defeat the Neo-Assyrian Empire, the Medes were able to establish their own empire, which was the largest of its day and lasted for about sixty years."
51,"The successful and extensive Achaemenid Empire (550–330 BC), also known as the first Persian Empire, covered Mesopotamia, Egypt, parts of Greece, Thrace, the Middle East, much of Central Asia, and North-Western India."
52,"It is considered the first great empire in history or the first ""world empire""."
53,It was overthrown and replaced by the short-lived empire of Alexander the Great.
54,"His Empire was succeeded by three Empires ruled by the Diadochi—the Seleucid, Ptolemaic, and Macedonian, which, despite being independent, are called the ""Hellenistic Empire"" by virtue of their similarities in culture and administration."
55,"Meanwhile, in the western Mediterranean the Empires of Carthage and Rome began their rise."
56,"Having decisively defeated Carthage in 202 BC, Rome defeated Macedonia in 200 BC and the Seleucids in 190–189 BC to establish an all-Mediterranean Empire."
57,The Seleucid Empire broke apart and its former eastern part was absorbed by the Parthian Empire.
59,"In India during the Axial Age appeared the Maurya Empire—a geographically extensive and powerful empire, ruled by the Mauryan dynasty from 321 to 185 BC."
60,"The empire was founded in 322 BC by Chandragupta Maurya through the help of Chanakya, who rapidly expanded his power westward across central and western India, taking advantage of the disruptions of local powers following the withdrawal by Alexander the Great."
61,"By 320 BC, the Maurya Empire had fully occupied northwestern India as well as defeating and conquering the satraps left by Alexander."
62,"Under Emperor Asoka the Great, the Maurya Empire became the first Indian empire to conquer the whole Indian Peninsula — an achievement repeated only twice, by the Gupta and Mughal Empires."
63,"The Qin Empire is known for the construction of the Great Wall of China and the Terracotta Army, as well as the standardization of currency, weights, measures and writing system."
66,"Confucianism was, for the first time, adopted as an official state ideology."
67,"During the reign of the Emperor Wu of Han, the Xiongnu were pacified."
68,"By this time, only four empires stretched between the Pacific and the Atlantic: the Han Empire of China, the Kushan Empire, the Parthian Empire of Persia, and the Roman Empire."
69,"The collapse of the Han Empire in AD 220 saw China fragmented into the Three Kingdoms, only to be unified once again by the Jin Empire (AD 266–420)."
70,The relative weakness of the Jin Empire plunged China into political disunity that would last from AD 304 to AD 589 when the Sui Empire (AD 581–618) reunited China.
71,The Romans were the first people to invent and embody the concept of empire in their two mandates: to wage war and to make and execute laws.
72,"They were the most extensive Western empire until the early modern period, and left a lasting impact on European society."
73,"Many languages, cultural values, religious institutions, political divisions, urban centers, and legal systems can trace their origins to the Roman Empire."
74,The Roman Empire governed and rested on exploitative actions.
75,They took slaves and money from the peripheries to support the imperial center.
76,"However, the absolute reliance on conquered peoples to carry out the empire's fortune, sustain wealth, and fight wars would ultimately lead to the collapse of the Roman Empire."
77,"The Romans were strong believers in what they called their ""civilizing mission""."
78,This term was legitimized and justified by writers like Cicero who wrote that only under Roman rule could the world flourish and prosper.
79,"This ideology, that was envisioned to bring a new world order, was eventually spread across the Mediterranean world and beyond."
80,"People started to build houses like Romans, eat the same food, wear the same clothes and engage in the same games."
81,The title was given to generals who were victorious in battle.
82,"Thus, an ""empire"" may include regions that are not legally within the territory of a state, but are under either direct or indirect control of that state, such as a colony, client state, or protectorate."
83,"Although historians use the terms ""Republican Period"" and ""Imperial Period"" to identify the periods of Roman history before and after absolute power was assumed by Augustus, the Romans themselves continued to refer to their government as a republic, and during the Republican Period, the territories controlled by the republic were referred to as ""Imperium Romanum""."
84,"The emperor's actual legal power derived from holding the office of ""consul"", but he was traditionally honored with the titles of imperator (commander) and princeps (first man or, chief)."
85,"Similarly, the United States was founded on a model inspired by the Roman Republic, with upper and lower legislative assemblies, and executive power vested in a single individual, the president."
86,"The president, as ""commander-in-chief"" of the armed forces, reflects the ancient Roman titles imperator princeps."
87,"The Roman Catholic Church, founded in the early Imperial Period, spread across Europe, first by the activities of Christian evangelists, and later by official imperial promulgation."
88,"Other influential Chinese empires during the post-classical period include the Sui Empire (581–618), the Great Liao Empire (916–1125), the Song Empire (960–1279), the Western Xia Empire (1038–1227), the Great Jin Empire (1115–1234), the Western Liao Empire (1124–1218), the Great Yuan Empire (1271–1368), and the Great Ming Empire (1368–1644)."
89,"During this period, Japan and Korea underwent voluntary Sinicization."
90,The Rashidun Caliphate expanded from the Arabian Peninsula and swiftly conquered the Persian Empire and much of the Byzantine Roman Empire.
91,"Its successor state, the Umayyad Caliphate, expanded across North Africa and into the Iberian Peninsula."
92,"By the beginning of the 8th century, the Umayyad Caliphate had become the largest empire in history, it would not be surpassed in size until the establishment of the Mongol Empire in the 13th century."
93,In 750 the Caliphate clashed with the Tang China at Talas.
94,By this time only these two Empires stretched between the Atlantic and the Pacific.
95,"From the 11th century Moroccan empires began to appear, starting with the Almoravid Empire, dominating territories in both Europe as well as Sub-Saharan Africa."
96,The Ajuran Sultanate was a Somali empire in the medieval times that dominated the Indian Ocean trade.
97,They belonged to the Somali Muslim sultanate  that ruled over large parts of the Horn of Africa in the Middle Ages.
98,"Through a strong centralized administration and an aggressive military stance towards invaders, the Ajuran Sultanate successfully resisted an Oromo invasion from the west and a Portuguese incursion from the east during the Gaal Madow and the Ajuran-Portuguese wars."
99,"In the Southeast Asian mainland, the Hindu-Buddhist Khmer Empire was centered in the city of Angkor and flourished from the 9th to 13th centuries."
100,"Following the demise of the Khmer Empire, the Siamese Empire flourished alongside the Burmese and Lan Chang Empires from the 13th through the 18th centuries."
101,"In Southeastern and Eastern Europe, during the year of 917, the Eastern Roman Empire, sometimes called Byzantine Empire, was forced to recognize the Imperial title of Bulgarian ruler Simeon the Great, who were then called Tsar, the first ruler to hold that precise imperial title."
102,"The Bulgarian Empire, establishes in the region in 680/681, remained a major power in Southeast Europe until its fall in the late 14th century."
