,0
0,"Environmental protection is the practice of protecting the natural environment by individuals, organizations and governments."
1,"This has been recognized, and governments have begun placing restraints on activities that cause environmental degradation."
2,"Since the 1960s, environmental movements have created more awareness of the multiple environmental problems."
3,"There is disagreement on the extent of the environmental impact of human activity, so protection measures are occasionally debated."
4,"For instance, in India, Environment Improvement Trust (EIT) has been working for environmental and forest protection since 1998."
5,A group of Green Volunteers gets a goal of Green India Clean India concept.
6,"CA Gajendra Kumar Jain a Chartered Accountant, is the founder of Environment Improvement Trust in Sojat city a small village of State of Rajasthan in India  In developing countries, such as Latin America, these agreements are more commonly used to remedy significant levels of non-compliance with mandatory regulation."
7,"Ideally, the decision-making processes under such an approach would be a collaborative approach to planning and decision making that involves a broad range of stakeholders across all relevant governmental departments, as well as industry representatives, environmental groups, and community."
8,"This approach ideally supports a better exchange of information, development of conflict-resolution strategies and improved regional conservation."
9,Religions also play an important role in the conservation of the environment.
10,"As a result of this, many attempts are made by countries to develop agreements that are signed by multiple governments to prevent damage or manage the impacts of human activity on natural resources."
11,"This can include agreements that impact factors such as climate, oceans, rivers and air pollution."
12,"These international environmental agreements are sometimes legally binding documents that have legal implications when they are not followed and, at other times, are more agreements in principle or are for use as codes of conduct."
13,"By the late 1960s, a growing environmental movement called for coordinated and institutionalized international cooperation."
14,"The landmark United Nations Conference on the Human Environment was held in Stockholm in 1972, establishing the concept of a right to a healthy environment."
15,It was followed by the creation of the United Nations Environment Programme later that year.
16,Some of the most well-known international agreements include the Kyoto Protocol of 1997 and the Paris Agreement of 2015.
17,"However, in its broadest sense, environmental protection may be seen to be the responsibility of all the people and not simply that of government."
18,"Decisions that impact the environment will ideally involve a broad range of stakeholders including industry, indigenous groups, environmental group and community representatives."
19,"Gradually, environmental decision-making processes are evolving to reflect this broad base of stakeholders and are becoming more collaborative in many countries."
20,"Almost 40% of the land has been established into a network of protected areas, including several national parks."
21,"In the year 1948, Serengeti has officially established the first national park for wild cats in East Africa."
22,"Since 1983, there has been a more broad-reaching effort to manage environmental issues at a national level, through the establishment of the National Environment Management Council (NEMC) and the development of an environmental act."
23,In 1998 Environment Improvement Trust (EIT) start working for environment & forest protection in India from a small city Sojat.
24,Founder of Environment Improvement Trust is CA Gajendra Kumar Jain working with volunteers.
25,Division of the biosphere is the main government body that oversees protection.
