,0
0,The European Union (EU) is a political and economic union of 27 member states that are located primarily in Europe.
1,"The EU has developed an internal single market through a standardised system of laws that apply in all member states in those matters, and only those matters, where members have agreed to act as one."
2,"EU policies aim to ensure the free movement of people, goods, services and capital within the internal market; enact legislation in justice and home affairs; and maintain common policies on trade, agriculture, fisheries and regional development."
3,Passport controls have been abolished for travel within the Schengen Area.
5,"The EU traces its origins to the European Coal and Steel Community (ECSC) and the European Economic Community (EEC), established, respectively, by the 1951 Treaty of Paris and 1957 Treaty of Rome."
6,"The original members of what came to be known as the European Communities were the Inner Six: Belgium, France, Italy, Luxembourg, the Netherlands, and West Germany."
7,The Communities and their successors have grown in size by the accession of new member states and in power by the addition of policy areas to their remit.
8,The United Kingdom became the first member state to leave the EU on 31 January 2020.
9,"Before this, three territories of member states had left the EU or its forerunners."
10,"The latest major amendment to the constitutional basis of the EU, the Treaty of Lisbon, came into force in 2009."
11,"Additionally, all EU countries have a very high Human Development Index according to the United Nations Development Programme."
12,"In 2012, the EU was awarded the Nobel Peace Prize."
13,"Through the Common Foreign and Security Policy, the union has developed a role in external relations and defence."
14,"It maintains permanent diplomatic missions throughout the world and represents itself at the United Nations, the World Trade Organization, the G7 and the G20."
15,"Due to its global influence, the European Union has been described by some scholars as an emerging superpower."
16,The following timeline outlines the legal inception of the European Union (EU)—the principal framework for this unification.
17,"The EU inherited many of its present responsibilities from the European Communities (EC), which were founded in the 1950s in the spirit of the Schuman Declaration."
18,"This political philosophy of a supra-national rule over the continent, similar to the example of the ancient Roman Empire, resulted in the early Middle Ages in the concept of a renovatio imperii (""restoration of the empire""), either in the forms of the Reichsidee (""imperial idea"") or the religiously inspired Imperium Christianum (""christian empire"")."
19,"In the decades following the outcomes of the Congress of Vienna, ideals of European unity flourished across the continent, especially in the writings of Wojciech Jastrzębowski (1799–1882) or Giuseppe Mazzini (1805–1872)."
20,"During the interwar period, the consciousness that national markets in Europe were interdependent though confrontational, along with the observation of a larger and growing US market on the other side of the ocean, nourished the urge for the economic integration of the continent."
21,"During the same decade, Richard von Coudenhove-Kalergi, one of the first to imagine of a modern political union of Europe, founded the Pan-Europa Movement."
22,"His ideas influenced his contemporaries, among which then Prime Minister of France Aristide Briand."
23,"In 1929, the latter gave a speech in favour of a European Union before the assembly of the League of Nations, precursor of the United Nations."
24,"In a radio address in March 1943, with war still raging, Britain's leader Sir Winston Churchill spoke warmly of ""restoring the true greatness of Europe"" once victory had been achieved, and mused on the post-war creation of a ""Council of Europe"" which would bring the European nations together to build peace."
25,"In a speech delivered on 19 September 1946 at the University of Zürich, Switzerland, Winston Churchill went further and advocated the emergence of a United States of Europe."
26,"The Council focused primarily on values—human rights and democracy—rather than on economic or trade issues, and was always envisaged as a forum where sovereign governments could choose to work together, with no supra-national authority."
27,"It raised great hopes of further European integration, and there were fevered debates in the two years that followed as to how this could be achieved."
28,"But in 1952, disappointed at what they saw as the lack of progress within the Council of Europe, six nations decided to go further and created the European Coal and Steel Community, which was declared to be ""a first step in the federation of Europe""."
29,This community helped to economically integrate and coordinate the large number of Marshall Plan funds from the United States.
30,"European leaders Alcide De Gasperi from Italy, Jean Monnet and Robert Schuman from France, and Paul-Henri Spaak from Belgium understood that coal and steel were the two industries essential for waging war, and believed that by tying their national industries together, future war between their nations became much less likely."
31,These men and others are officially credited as the founding fathers of the European Union.
32,They also signed another pact creating the European Atomic Energy Community (Euratom) for co-operation in developing nuclear energy.
33,The EEC was headed by Walter Hallstein (Hallstein Commission) and Euratom was headed by Louis Armand (Armand Commission) and then Étienne Hirsch.
34,"Nevertheless, in 1965 an agreement was reached and on 1 July 1967 the Merger Treaty created a single set of institutions for the three communities, which were collectively referred to as the European Communities."
35,"Norway had negotiated to join at the same time, but Norwegian voters rejected membership in a referendum."
36,"In 1985, the Schengen Agreement paved the way for the creation of open borders without passport controls between most member states and some non-member states."
37,"In 1986, the European flag began to be used by the EEC and the Single European Act was signed."
38,"In 1990, after the fall of the Eastern Bloc, the former East Germany became part of the Communities as part of a reunified Germany."
39,"The treaty also gave the name European Community to the EEC, even if it was referred as such before the treaty."
40,"With further enlargement planned to include the former communist states of Central and Eastern Europe, as well as Cyprus and Malta, the Copenhagen criteria for candidate members to join the EU were agreed upon in June 1993."
41,The expansion of the EU introduced a new level of complexity and discord.
42,"In 1995, Austria, Finland, and Sweden joined the EU."
43,"In 2002, euro banknotes and coins replaced national currencies in 12 of the member states."
46,"In 2004, the EU saw its biggest enlargement to date when Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Slovakia, and Slovenia joined the Union."
48,"On 1 December 2009, the Lisbon Treaty entered into force and reformed many aspects of the EU."
49,"The UK formally notified the European Council of its decision to leave on 29 March 2017, initiating the formal withdrawal procedure for leaving the EU; following extensions to the process, the UK left the European Union on 31 January 2020, though most areas of EU law continued to apply to the UK for a transition period which lasted until 23:00 GMT on 31 December 2020."
50,"In 2017, approximately 825,000 people acquired citizenship of a member state of the European Union."
51,"The largest groups were nationals of Morocco, Albania, India, Turkey and Pakistan."
55,"The European Commission conducts its internal business in three procedural languages: English, French, and German."
56,"English is the most widely spoken language in the EU, being understood by 51% of the EU population when counting both native and non-native speakers."
57,"German is the most widely spoken mother tongue (18% of the EU population), and the second most widely understood foreign language, followed by French (13% of the EU population)."
