,0
0,"The fall of the Western Roman Empire (also called the fall of the Roman Empire or the fall of Rome) was the process of decline in the Western Roman Empire in which the Empire failed to enforce its rule, and its vast territory was divided into several successor polities."
1,"The Roman Empire lost the strengths that had allowed it to exercise effective control over its Western provinces; modern historians posit factors including the effectiveness and numbers of the army, the health and numbers of the Roman population, the strength of the economy, the competence of the Emperors, the internal struggles for power, the religious changes of the period, and the efficiency of the civil administration."
2,Increasing pressure from invading barbarians outside Roman culture also contributed greatly to the collapse.
3,"In 395, after winning two destructive civil wars, Theodosius I died, leaving a collapsing field army and the Empire, still plagued by Goths, divided between the warring ministers of his two incapable sons."
4,"Further barbarian groups crossed the Rhine and other frontiers and, like the Goths, were not exterminated, expelled or subjugated."
5,"The armed forces of the Western Empire became few and ineffective, and despite brief recoveries under able leaders, central rule was never effectively consolidated."
6,"By 476, the position of Western Roman Emperor wielded negligible military, political, or financial power, and had no effective control over the scattered Western domains that could still be described as Roman."
7,Barbarian kingdoms had established their own power in much of the area of the Western Empire.
8,"In 476, the Germanic barbarian king Odoacer deposed the last emperor of the Western Roman Empire in Italy, Romulus Augustulus, and the Senate sent the imperial insignia to the Eastern Roman Emperor Flavius Zeno."
9,"While its legitimacy lasted for centuries longer and its cultural influence remains today, the Western Empire never had the strength to rise again."
10,It never again controlled any portion of Western Europe to the North of the Alps.
11,"The Eastern Roman, or Byzantine Empire survived, and though lessened in strength remained for centuries an effective power of the Eastern Mediterranean."
12,"While the loss of political unity and military control is universally acknowledged, the Fall is not the only unifying concept for these events; the period described as Late Antiquity emphasizes the cultural continuities throughout and beyond the political collapse."
13,"""From the eighteenth century onward,"" historian Glen Bowersock wrote, ""we have been obsessed with the fall: it has been valued as an archetype for every perceived decline, and, hence, as a symbol for our own fears."""
14,The Fall is not the only unifying concept for these events; the period described as Late Antiquity emphasizes the cultural continuities throughout and beyond the political collapse.
15,"The loss of centralized political control over the West, and the lessened power of the East, are universally agreed, but the theme of decline has been taken to cover a much wider time span than the hundred years from 376."
16,"For Cassius Dio, the accession of the emperor Commodus in 180 CE marked the descent ""from a kingdom of gold to one of rust and iron"", while Gibbon also began his narrative of decline from the reign of Commodus, after a number of introductory chapters."
17,"As one convenient marker for the end, 476 has been used since Gibbon, but other key dates for the fall of the Roman Empire in the West include the Crisis of the Third Century, the Crossing of the Rhine in 406 (or 405), the sack of Rome in 410, and the death of Julius Nepos in 480."
18,He gave great weight to internal decline as well as to attacks from outside the Empire.
19,"The story of its ruin is simple and obvious; and, instead of inquiring why the Roman empire was destroyed, we should rather be surprised that it had subsisted so long."
20,"The victorious legions, who, in distant wars, acquired the vices of strangers and mercenaries, first oppressed the freedom of the republic, and afterwards violated the majesty of the purple."
21,"The emperors, anxious for their personal safety and the public peace, were reduced to the base expedient of corrupting the discipline which rendered them alike formidable to their sovereign and to the enemy; the vigour of the military government was relaxed, and finally dissolved, by the partial institutions of Constantine; and the Roman world was overwhelmed by a deluge of Barbarians."
22,"If the decline of the Roman empire was hastened by the conversion of Constantine, his victorious religion broke the violence of the fall, and mollified the ferocious temper of the conquerors (chapter 38)."
23,"Historians still try to analyze the reasons for loss of political control over a vast territory (and, as a subsidiary theme, the reasons for the survival of the Eastern Roman Empire)."
24,"Comparison has also been made with China after the end of the Han dynasty, which re-established unity under the Sui dynasty while the Mediterranean world remained politically disunited."
25,"Harper identifies a Roman climatic optimum from about 200 BCE to 150 CE, when lands around the Mediterranean were generally warm and well-watered."
28,"Climate change has also been suggested as a possible driver of changes in populations outside the Empire, in particular on the Eurasian steppe, though definte evidence is lacking."
29,Pirenne postponed the demise of classical civilization to the 8th century.
30,"He challenged the notion that Germanic barbarians had caused the Western Roman Empire to end, and he refused to equate the end of the Western Roman Empire with the end of the office of emperor in Italy."
31,"He pointed out the essential continuity of the economy of the Roman Mediterranean even after the barbarian invasions, and suggested that only the Muslim conquests represented a decisive break with antiquity."
32,"The more recent formulation of a historical period characterized as ""Late Antiquity"" emphasizes the transformations of ancient to medieval worlds within a cultural continuity."
33,In recent decades archaeologically-based argument even extends the continuity in material culture and in patterns of settlement as late as the eleventh century.
34,"Observing the political reality of lost control (and the attendant fragmentation of commerce, culture, and language), but also the cultural and archaeological continuities, the process has been described as a complex cultural transformation, rather than a fall."
35,"The Empire had large numbers of trained, supplied, and disciplined soldiers, drawn from a growing population."
36,It had a comprehensive civil administration based in thriving cities with effective control over public finances.
37,Among its literate elite it had ideological legitimacy as the only worthwhile form of civilization and a cultural unity based on comprehensive familiarity with Greek and Roman literature and rhetoric.
38,"Its financial system allowed it to raise significant taxes which, despite endemic corruption, supported a large regular army with logistics and training."
39,"The cursus honorum, a standardized series of military and civil posts organised for ambitious aristocratic men, ensured that powerful noblemen became familiar with military and civil command and administration."
40,"At a lower level within the army, connecting the aristocrats at the top with the private soldiers, a large number of centurions were well-rewarded, literate, and responsible for training, discipline, administration, and leadership in battle."
41,"City governments with their own properties and revenues functioned effectively at a local level; membership of city councils involved lucrative opportunities for independent decision-making, and, despite its obligations, became seen as a privilege."
42,"Under a series of emperors who each adopted a mature and capable successor, the Empire did not require civil wars to regulate the imperial succession."
43,"Requests could be submitted directly to the better emperors, and the answers had the force of law, putting the imperial power directly in touch with even humble subjects."
44,"The cults of polytheist religion were hugely varied, but none claimed that theirs was the only truth, and their followers displayed mutual tolerance, producing a polyphonous religious harmony."
45,Religious strife was rare after the suppression of the Bar Kokhba revolt in 136 (after which the devastated Judaea ceased to be a major centre for Jewish unrest).
46,"Nevertheless, it remained a culture based on an early subsistence economy, with no germ theory of disease."
47,"Despite its aqueducts, the water supply did not allow good hygiene, and sewage was disposed of on the streets, in open drains, or by scavenging animals."
48,"Even in the Roman Climatic Optimum, local harvest failures causing famines were always a possibility."
49,"And even in good times, Roman women needed to have, on average, six children each in order to maintain the population."
50,"Good nourishment and bodily cleanliness were privileges of the rich, advertised by their firm tread, healthy skin color, and lack of the ""dull smell of the underbathed""."
51,"Infant mortality was very high, diarrhoeal diseases were a major cause of death, and malaria was endemic in many areas, notably in the city of Rome itself, possibly encouraged by the enthusiasm of rich Romans for water features in their gardens."
52,"Heavy mortality in 165–180 from the Antonine Plague seriously impaired attempts to repel Germanic invaders, but the legions generally held or at least speedily re-instated the borders of the Empire."
53,The rising Sassanid Empire inflicted three crushing defeats on Roman field armies and remained a potent threat for centuries.
54,"Other disasters included repeated civil wars, barbarian invasions, and more mass-mortality in the Plague of Cyprian (from 250 onwards)."
55,"Rome abandoned the province of Dacia on the north of the Danube (271), and for a short period the Empire split into a Gallic Empire in the West (260–274), a Palmyrene Empire in the East (260–273), and a central Roman rump state."
56,"The Rhine/Danube frontier also came under more effective threats from larger barbarian groupings, which had developed improved agriculture and increased their populations."
58,"John the Lydian, writing over two centuries later, reported that Diocletian's army at one point totaled 389,704 men, plus 45,562 in the fleets, and numbers may have increased later."
59,"With the limited communications of the time, both the European and the Eastern frontiers needed the attention of their own supreme commanders."
60,"Diocletian tried to solve this problem by re-establishing an adoptive succession with a senior (Augustus) and junior (Caesar) emperor in each half of the Empire, but this system of tetrarchy broke down within one generation; the hereditary principle re-established itself with generally unfortunate results, and thereafter civil war became again the main method of establishing new imperial regimes."
62,"Receptio of barbarians became widely practised: imperial authorities admitted potentially hostile groups into the Empire, split them up, and allotted to them lands, status, and duties within the imperial system."
63,"In this way many groups provided unfree workers (coloni) for Roman landowners, and recruits (laeti) for the Roman army."
64,Sometimes their leaders became officers.
65,"Normally the Romans managed the process carefully, with sufficient military force on hand to ensure compliance, and cultural assimilation followed over the next generation or two."
66,"An elaborate court ceremonial developed, and obsequious flattery became the order of the day."
67,"Under Diocletian, the flow of direct requests to the emperor rapidly reduced and soon ceased altogether."
68,"While the scale, complexity, and violence of government were unmatched, the emperors lost control over their whole realm insofar as that control came increasingly to be wielded by anyone who paid for it."
69,"Meanwhile, the richest senatorial families, immune from most taxation, engrossed more and more of the available wealth and income, while also becoming divorced from any tradition of military excellence."
70,"Some scholars have seen this as an indication of weakness; others disagree, seeing neither barbarian recruits nor new rituals as causing any problem with the effectiveness or loyalty of the army."
71,"His successors generally continued this process, and Christianity became the religion of any ambitious civil official."
72,"This worsened the existing difficulty in keeping the city councils up to strength, and the services provided by the cities were scamped or abandoned."
73,"Public building projects became fewer, more often repairs than new construction, and now provided at state expense rather than by local grandees wishing to consolidate long-term local influence."
74,"Under Constantius, bandits came to dominate areas such as Isauria well within the empire."
75,The tribes of Germany also became more populous and more threatening.
76,"In Gaul, which did not really recover from the invasions of the third century, there was widespread insecurity and economic decline in the 300s, perhaps worst in Armorica."
77,"By 350, after decades of pirate attacks, virtually all villas in Armorica were deserted, and local use of money ceased about 360."
78,"Repeated attempts to economize on military expenditure included billeting troops in cities, where they could less easily be kept under military discipline and could more easily extort from civilians."
79,"Except in the rare case of a determined and incorruptible general, these troops proved ineffective in action and dangerous to civilians."
80,"Frontier troops were often given land rather than pay; as they farmed for themselves, their direct costs diminished, but so did their effectiveness, and there was much less economic stimulus to the frontier economy."
81,"However, extortion, gross corruption, and occasional ineffectiveness were not new to the Roman army; there is no consensus whether its effectiveness significantly declined before 376."
82,"Ammianus Marcellinus, himself a professional soldier, repeats longstanding observations about the superiority of contemporary Roman armies being due to training and discipline, not to physical size or strength."
83,"Despite a possible decrease in its ability to assemble and supply large armies, Rome maintained an aggressive and potent stance against perceived threats almost to the end of the fourth century."
84,In civil legislation Julian was notable for his pro-pagan policies.
85,"All Christian sects were officially tolerated by Julian, persecution of heretics was forbidden, and non-Christian religions were encouraged."
86,"He launched an expensive campaign against the Persians, which ended in defeat and his own death."
87,"He succeeded in marching to the Sassanid capital of Ctesiphon, but lacked adequate supplies for an assault."
88,"He burned his boats and supplies to show resolve in continuing operations, but the Sassanids began a war of attrition by burning crops."
89,"Finding himself cut off in enemy territory, he began a land retreat during which he was mortally wounded."
91,"To purchase safe passage home, he had to concede areas of northern Mesopotamia and Kurdistan, including the strategically important fortress of Nisibis, which had been Roman since before the Peace of Nisibis in 299."
92,"Valentinian in the West refused to intervene in religious controversy; in the East, Valens had to deal with Christians who did not conform to his ideas of orthodoxy, and persecution formed part of his response."
93,"The wealth of the church increased dramatically, immense resources both public and private being used for ecclesiastical construction and support of the religious life."
94,"Bishops in wealthy cities were thus able to offer vast patronage; Ammianus described some as ""enriched from the offerings of matrons, ride seated in carriages, wearing clothing chosen with care, and serve banquets so lavish that their entertainments outdo the tables of kings""."
95,"Edward Gibbon remarked that ""the soldiers' pay was lavished on the useless multitudes of both sexes who could only plead the merits of abstinence and chastity"", though there are no figures for the monks and nuns nor for their maintenance costs."
96,Pagan rituals and buildings had not been cheap either; the move to Christianity may not have had significant effects on the public finances.
97,"Gratian, ""alien from the art of government both by temperament and by training"" removed the Altar of Victory from the Senate House, and he rejected the pagan title of Pontifex Maximus."
98,"They were exploited by corrupt officials rather than effectively resettled, and they took up arms, joined by more Goths and by some Alans and Huns."
99,"Valens was in Asia with his main field army, preparing for an assault on the Persians, and redirecting the army and its logistic support would have required time."
100,Gratian's armies were distracted by Germanic invasions across the Rhine.
101,"In 378 Valens attacked the invaders with the Eastern field army, perhaps some 20,000 men—possibly only 10% of the soldiers nominally available in the Danube provinces—and in the Battle of Adrianople, 9 August 378, he lost much of that army and his own life."
102,"All of the Balkan provinces were thus exposed to raiding, without effective response from the remaining garrisons who were ""more easily slaughtered than sheep""."
103,"Cities were able to hold their own walls against barbarians who had no siege equipment, and they generally remained intact although the countryside suffered."
104,"During the next four years, he partially re-established the Roman position in the East."
105,"These campaigns depended on effective imperial coordination and mutual trust—between 379 and 380 Theodosius controlled not only the Eastern empire, but also, by agreement, the diocese of Illyricum."
106,"Theodosius was unable to recruit enough Roman troops, relying on barbarian warbands without Roman military discipline or loyalty."
107,"Instead they were either recruited into the imperial forces, or settled in the devastated provinces along the south bank of the Danube, where the regular garrisons were never fully re-established."
108,"In some later accounts, and widely in recent work, this is regarded as a treaty settlement, the first time that barbarians were given a home within the Empire in which they retained their political and military cohesion."
109,"No formal treaty is recorded, nor details of whatever agreement was actually made; when the Goths are next mentioned in Roman records, they have different leaders and are soldiers of a sort."
111,The business of subduing barbarian warbands also demanded substantial gifts of precious metal.
112,"Nevertheless, he is represented as financially lavish, though personally frugal when on campaign."
113,At least one extra levy provoked desperation and rioting in which the emperor's statues were destroyed.
114,"A contemporary reports that at his court ""everything was for sale"", with corruption rampant."
115,"He was pious, a Nicene Christian heavily influenced by Ambrose, and implacable against heretics."
116,"In 392 he forbade even private honor to the gods, and pagan rituals such as the Olympic Games."
117,He either ordered or connived at the widespread destruction of sacred buildings.
118,"His troops killed Gratian and he was accepted as Augustus in the Gallic provinces, where he was responsible for the first official executions of Christian heretics."
119,"To compensate the Western court for the loss of Gaul, Hispania, and Britannia, Theodosius ceded the diocese of Dacia and the diocese of Macedonia to their control."
120,"In 387 Maximus invaded Italy, forcing Valentinian II to flee to the East, where he accepted Nicene Christianity."
121,"Maximus boasted to Ambrose of the numbers of barbarians in his forces, and hordes of Goths, Huns, and Alans followed Theodosius."
122,"Maximus negotiated with Theodosius for acceptance as Augustus of the West, but Theodosius refused, gathered his armies, and counterattacked, winning the civil war in 388."
123,There were heavy troop losses on both sides of the conflict.
124,"He also appointed Arbogast, a pagan general of Frankish origin, as Valentinian's commander-in-chief and guardian."
125,"Valentinian quarreled in public with Arbogast, failed to assert any authority, and died, either by suicide or by murder, at the age of 21."
126,"Eugenius made some modest attempts to win pagan support, and with Arbogast led a large army to fight another destructive civil war."
127,"They were defeated and killed at the Battle of the Frigidus, which was attended by further heavy losses especially among the Gothic federates of Theodosius."
128,The north-eastern approaches to Italy were never effectively garrisoned again.
129,"In the immediate aftermath of Theodosius's death, the magister militum Stilicho, married to Theodosius's niece, asserted himself in the West as the guardian of Honorius and commander of the remains of the defeated Western army."
130,"He also claimed control over Arcadius in Constantinople, but Rufinus, magister officiorum on the spot, had already established his own power there."
131,"Henceforward the Empire was not under the control of one man, until much of the West had been permanently lost."
132,"Neither Honorius nor Arcadius ever displayed any ability either as rulers or as generals, and both lived as the puppets of their courts."
133,"Stilicho tried to reunite the Eastern and Western courts under his personal control, but in doing so achieved only the continued hostility of all of Arcadius's successive supreme ministers."
134,"The rich senatorial aristocrats in Rome itself became increasingly influential during the fifth century; they supported armed strength in theory, but did not wish to pay for it or to offer their own workers as army recruits."
135,"They did, however, pass large amounts of money to the Christian Church."
136,"Those exceptions were responsible for brief, but remarkable resurgences of Roman power."
137,Alaric was disappointed in his hopes for promotion to magister militum after the battle of the Frigidus.
138,"He again led Gothic tribesmen in arms and established himself as an independent power, burning the countryside as far as the walls of Constantinople."
139,"Alaric's ambitions for long-term Roman office were never quite acceptable to the Roman imperial courts, and his men could never settle long enough to farm in any one area."
