,0
1,"An extended period of political turmoil followed, which included the Execution of Louis XVI and the Reign of Terror."
3,"In June, the Estates were converted into a National Assembly, which passed a series of radical measures, among them the abolition of feudalism, state control of the Catholic Church and extending the right to vote."
4,"The next three years were dominated by the struggle for political control, exacerbated by economic depression and social unrest."
5,"External powers like Austria, Britain and Prussia viewed the Revolution as a threat, leading to the outbreak of the French Revolutionary Wars in April 1792."
7,"In June, an uprising in Paris replaced the Girondins who dominated the National Assembly with the Committee of Public Safety, headed by Maximilien Robespierre."
9,"As well as external enemies, the Republic faced a series of internal Royalist and Jacobin revolts; in order to deal with these, the French Directory took power in November 1795."
10,"Despite military success, the war led to economic stagnation and internal divisions, and in November 1799 the Directory was replaced by the French Consulate."
12,"Over the next two centuries, its key principles like equality would inspire campaigns for the abolition of slavery and universal suffrage."
13,"Its values and institutions dominate French politics to this day, and many historians regard the Revolution as one of the most important events in human history."
14,"Rapid population growth and restrictions caused by the inability to adequately finance government debt resulted in economic depression, unemployment and high food prices."
15,"Combined with a regressive tax system and resistance to reform by the ruling elite, the result was a crisis Louis XVI proved unable to manage."
16,"From the late 17th century on, political and cultural debate became part of wider European society, rather than being confined to a small elite."
17,"This took different forms, such as the English 'coffeehouse culture', and extended to areas colonised by Europeans, particularly British North America."
18,"Contacts between diverse groups in Edinburgh, Geneva, Boston, Amsterdam, Paris, London or Vienna were much greater than often appreciated."
19,"Under Louis XIV, the Court at Versailles was the centre of culture, fashion and political power."
20,"Improvements in education and literacy over the course of the 18th century meant larger audiences for newspapers and journals, with Masonic lodges, coffee houses and reading clubs providing areas where people could debate and discuss ideas."
21,"Inefficient agricultural methods meant domestic farmers could not support these numbers, while primitive transportation networks made it hard to maintain supplies even when there was sufficient."
23,"Food shortages were particularly damaging for the regime, since many blamed price increases on government failure to prevent profiteering."
25,"Although French borrowing costs were higher, the percentage of tax revenue devoted to interest payments was about the same in both countries."
26,"The underlying problem was these taxes were predominantly paid by the urban and rural poor, and attempts to share the burden more equally were blocked by the regional parlements which controlled financial policy."
27,"The resulting impasse in the face of widespread economic distress led to the calling of the Estates-General, which became radicalised by the struggle for control of public finances."
28,"The court became the target of popular anger, especially Queen Marie-Antoinette, who was viewed as a spendthrift Austrian spy, and blamed for the dismissal of 'progressive' ministers like Jacques Necker."
29,"For their opponents, Enlightenment ideas on equality and democracy provided an intellectual framework for dealing with these issues, while the American Revolution was seen as confirmation of their practical application."
30,"Unlike Britain, where Parliament determined both expenditures and taxes, in France, the Crown controlled spending, but not revenue."
32,"Although willing to authorise one-time taxes, these bodies were reluctant to pass long-term measures, while collection was outsourced to private individuals."
33,"This significantly reduced the yield from those that were approved and as a result, France struggled to service its debt despite being larger and wealthier than Britain."
35,"The war was financed by state debt, creating a large rentier class who lived on the interest, primarily members of the French nobility or commercial classes."
36,"By 1785 the government was struggling to cover these payments; since default would ruin much of French society, this required an increase in taxes."
37,"When the parlements refused to comply, Calonne persuaded Louis to summon the Assembly of Notables, an advisory council dominated by the upper nobility."
38,"Led by de Brienne, former archbishop of Toulouse,  the Assembly argued that tax increases could only be authorised by the Estates-General."
42,"Although they contained ideas that would have seemed radical only months before,  most supported the monarchy, and assumed the Estates-General would agree to financial reforms, rather than fundamental constitutional change."
43,"The lifting of press censorship allowed widespread distribution of political writings, mostly written by liberal members of the aristocracy and upper middle-class."
44,"As was customary, each Estate assembled in separate rooms, whose furnishings and opening ceremonies deliberately emphasised the superiority of the First and Second Estates."
45,"They also insisted on enforcing the rule that only those who owned land could sit as deputies for the Second Estate, and thus excluded the immensely popular Comte de Mirabeau."
46,"As separate assemblies meant the Third Estate could always be outvoted by the other two, Sieyès sought to combine all three."
47,"His method was to require all deputies be approved by the Estates-General as a whole, instead of each Estate verifying its own members."
48,"Since this meant the legitimacy of deputies derived from the Estates-General, they would have to continue sitting as one body."
49,"After an extended stalemate, on 10 June the Third Estate proceeded to verify its own deputies, a process completed on 17 June; two days later, they were joined by over 100 members of the First Estate, and declared themselves the National Assembly."
53,The governor de Launay surrendered after several hours of fighting that cost the lives of 83 attackers.
54,"Taken to the Hôtel de Ville, he was executed, his head placed on a pike and paraded around the city; the fortress was then torn down in a remarkably short time."
55,"Although rumoured to hold many prisoners, the Bastille held only seven: four forgers, two noblemen held for ""immoral behaviour"", and a murder suspect."
56,"Nevertheless, as a potent symbol of the Ancien Régime, its destruction was viewed as a triumph and Bastille Day is still celebrated every year."
57,"Alarmed by the prospect of losing control of the capital, Louis appointed Lafayette commander of the National Guard, with Jean-Sylvain Bailly as head of a new administrative structure known as the Commune."
59,"However, it was clear power had shifted from his court; he was welcomed as 'Louis XVI, father of the French and king of a free people."
60,'The short-lived unity enforced on the Assembly by a common threat quickly dissipated.
