,0
2,"On 2 August 1990, the Iraqi Army invaded and occupied Kuwait, which was met with international condemnation and brought immediate economic sanctions against Iraq by members of the UN Security Council."
3,"An array of nations joined the coalition, forming the largest military alliance since World War II."
4,"Most of the coalition's military forces were from the US, with Saudi Arabia, the United Kingdom and Egypt as leading contributors, in that order."
5,This was followed by a ground assault on 24 February.
6,"This was a decisive victory for the coalition forces, who liberated Kuwait and advanced into Iraqi territory."
7,The coalition ceased its advance and declared a ceasefire 100 hours after the ground campaign started.
8,"Aerial and ground combat was confined to Iraq, Kuwait, and areas on Saudi Arabia's border."
9,Iraq launched Scud missiles against Israel and coalition targets in Saudi Arabia.
10,The US was concerned with Iraq's position on Israeli–Palestinian politics.
11,"The US also disliked Iraqi support for many Arab and Palestinian militant groups such as Abu Nidal, which led to Iraq's inclusion on the developing US list of State Sponsors of Terrorism on 29 December 1979."
14,"In a US bid to open full diplomatic relations with Iraq, the country was removed from the US list of State Sponsors of Terrorism."
15,The real reason was to help them succeed in the war against Iran.
16,"""With Iraq's newfound success in the war, and the Iranian rebuff of a peace offer in July, arms sales to Iraq reached a record spike in 1982."
17,"When Iraqi President Saddam Hussein expelled Abu Nidal to Syria at the US's request in November 1983, the Reagan administration sent Donald Rumsfeld to meet Saddam as a special envoy and to cultivate ties."
18,"By the time the ceasefire with Iran was signed in August 1988, Iraq was heavily debt-ridden and tensions within society were rising."
19,Most of its debt was owed to Saudi Arabia and Kuwait.
21,"Iraq pressured both nations to forgive the debts, but they refused."
22,The Iraq–Kuwait dispute also involved Iraqi claims to Kuwaiti territory.
23,"Kuwait had been a part of the Ottoman Empire's province of Basra, something that Iraq claimed made Kuwait rightful Iraqi territory."
24,"Kuwait's ruling dynasty, the al-Sabah family, had concluded a protectorate agreement in 1899 that assigned responsibility for Kuwait's foreign affairs to the United Kingdom."
27,The United Arab Emirates and Kuwait were consistently overproducing; the latter at least in part to repair losses caused by Iranian attacks in the Iran–Iraq War and to pay for the losses of an economic scandal.
29,"Resulting revenues struggled to support the government's basic costs, let alone repair Iraq's damaged infrastructure."
30,"Jordan and Iraq both looked for more discipline, with little success."
31,"The Iraqi government described it as a form of economic warfare, which it claimed was aggravated by Kuwait slant-drilling across the border into Iraq's Rumaila oil field."
32,"At the same time, Saddam looked for closer ties with those Arab states that had supported Iraq in the war."
33,"A pact of non-interference and non-aggression was signed between the countries, followed by a Kuwaiti-Iraqi deal for Iraq to supply Kuwait with water for drinking and irrigation, although a request for Kuwait to lease Iraq Umm Qasr was rejected."
34,"Saudi-backed development projects were hampered by Iraq's large debts, even with the demobilization of 200,000 soldiers."
35,These events drew little notice outside the Arab world because of fast-moving events directly related to the fall of Communism in Eastern Europe.
36,"However, the US did begin to condemn Iraq's human rights record, including the well-known use of torture."
37,"The UK also condemned the execution of Farzad Bazoft, a journalist working for the British newspaper The Observer."
38,"Following Saddam's declaration that ""binary chemical weapons"" would be used on Israel if it used military force against Iraq, Washington halted part of its funding."
39,"On the 23rd, the CIA reported that Iraq had moved 30,000 troops to the Iraq-Kuwait border, and the US naval fleet in the Persian Gulf was placed on alert."
40,"Saddam believed an anti-Iraq conspiracy was developing – Kuwait had begun talks with Iran, and Iraq's rival Syria had arranged a visit to Egypt."
41,"Upon review by the Secretary of Defense, it was found that Syria indeed planned a strike against Iraq in the coming days."
42,Saddam immediately used funding to incorporate central intelligence into Syria and ultimately prevented the impending air strike.
45,The US sent aerial refuelling planes and combat ships to the Persian Gulf in response to these threats.
55,We understand that and our opinion is that you should have the opportunity to rebuild your country.
56,"Frankly, we can only see that you have deployed massive troops in the south."
57,Normally that would not be any of our business.
58,"But when this happens in the context of what you said on your national day, then when we read the details in the two letters of the Foreign Minister, then when we see the Iraqi point of view that the measures taken by the UAE and Kuwait is, in the final analysis, parallel to military aggression against Iraq, then it would be reasonable for me to be concerned."
59,"Saddam stated that he would attempt last-ditch negotiations with the Kuwaitis but Iraq ""would not accept death."
60,Glaspie similarly believed that war was not imminent.
61,"The Iraqi response was to immediately order an invasion, which started on 2 August 1990 with the bombing of Kuwait's capital, Kuwait City."
62,"Before the invasion, the Kuwaiti military was believed to have numbered 16,000 men, arranged into three armored, one mechanised infantry and one under-strength artillery brigade."
63,"The pre-war strength of the Kuwait Air Force was around 2,200 Kuwaiti personnel, with 80 fixed-wing aircraft and 40 helicopters."
64,"In spite of Iraqi saber rattling, Kuwait did not mobilize its force; the army had been stood-down on 19 July, and during the Iraqi invasion many Kuwaiti military personnel were on leave."
65,"By 1988, at the end of the Iran–Iraq war, the Iraqi Army was the world's fourth largest army, consisting of 955,000 standing soldiers and 650,000 paramilitary forces in the Popular Army."
66,"According to John Childs and André Corvisier, a low estimate shows the Iraqi Army capable of fielding 4,500 tanks, 484 combat aircraft and 232 combat helicopters."
67,"The Iraqi attack had two prongs, with the primary attack force driving south straight for Kuwait City down the main highway, and a supporting attack force entering Kuwait farther west, but then turning and driving east, cutting off Kuwait City from the country's southern half."
68,A few combat sorties were flown against Iraqi ground forces.
69,"The main Iraqi thrust into Kuwait City was conducted by commandos deployed by helicopters and boats to attack the city from the sea, while other divisions seized the airports and two airbases."
70,"The Iraqis attacked the Dasman Palace, the Royal Residence of Kuwait's Emir, Jaber Al-Ahmad Al-Jaber Al-Sabah, which was defended by the Emiri Guard supported with M-84 tanks."
71,"In the process, the Iraqis killed Fahad Al-Ahmed Al-Jaber Al-Sabah, the Emir's youngest brother."
72,"Within 12 hours, most resistance had ended within Kuwait, and the royal family had fled, allowing Iraq to control most of Kuwait."
73,"After two days of intense combat, most of the Kuwaiti military were either overrun by the Iraqi Republican Guard, or had escaped to Saudi Arabia."
74,The Emir and key ministers fled south along the highway for refuge in Saudi Arabia.
75,"Iraqi ground forces consolidated their control of Kuwait City, then headed south and redeployed along the Saudi border."
76,"After the decisive Iraqi victory, Saddam initially installed a puppet regime known as the ""Provisional Government of Free Kuwait"" before installing his cousin Ali Hassan al-Majid as Kuwait's governor on 8 August."
77,"After the invasion, the Iraqi military looted over $1,000,000,000 in banknotes from Kuwait's Central Bank."
78,"At the same time, Saddam Hussein made the Kuwaiti dinar equal to the Iraqi dinar, thereby lowering the Kuwaiti currency to one-twelfth of its original value."
