,0
0,"The history of Iran, which was commonly known until the mid-20th century as Persia in the Western world, is intertwined with the history of a larger region, also to an extent known as Greater Iran, comprising the area from Anatolia, the Bosphorus, and Egypt in the west to the borders of Ancient India and the Syr Darya in the east, and from the Caucasus and the Eurasian Steppe in the north to the Persian Gulf and the Gulf of Oman in the south."
1,"Iran is home to one of the world's oldest continuous major civilizations, with historical and urban settlements dating back to 7000 BC."
2,"The south-western and western part of the Iranian Plateau participated in the traditional Ancient Near East with Elam, from the Early Bronze Age, and later with various other peoples, such as the Kassites, Mannaeans, and Gutians."
3,"Georg Wilhelm Friedrich Hegel calls the Persians the ""first Historical People""."
6,It was the largest empire yet seen and the first world empire.
7,"They were succeeded by the Seleucid, Parthian, and Sasanian Empires, who successively governed Iran for almost 1,000 years and made Iran once again as a leading power in the world."
8,"Persia's arch-rival was the Roman Empire and its successor, the Byzantine Empire."
9,"The Iranian Empire proper begins in the Iron Age, following the influx of Iranian peoples."
10,"Iranian people gave rise to the Medes, the Achaemenid, Parthian, and Sasanian Empires of classical antiquity."
11,"Once a major empire, Iran has endured invasions too, by Greeks, Arabs and Mongols."
12,Iran has continually reasserted its national identity throughout the centuries and has developed as a distinct political and cultural entity.
14,"Islamization of Iran took place during the eighth to tenth centuries, leading to the eventual decline of Zoroastrianism in Iran as well as many of its dependencies."
15,"However, the achievements of the previous Persian civilizations were not lost, but were to a great extent absorbed by the new Islamic polity and civilization."
16,"Iran, with its long history of early cultures and empires, had suffered particularly hard during the late Middle Ages and the early modern period."
17,Mousterian stone tools made by Neandertals have also been found.
18,"There are more cultural remains of Neandertals dating back to the Middle Paleolithic period, which mainly have been found in the Zagros region and fewer in central Iran at sites such as Kobeh, Kunji, Bisitun Cave, Tamtama, Warwasi, and Yafteh Cave."
19,"Evidence for Upper Paleolithic and Epipaleolithic periods are known mainly from the Zagros Mountains in the caves of Kermanshah, Piranshahr and Khorramabad and a few number of sites in the Alborz and Central Iran."
20,"During this time, people began creating rock art."
21,"Around about the same time, the earliest-known clay vessels and modelled human and animal terracotta figurines were produced at Ganj Dareh, also in western Iran."
22,The two main Neolithic Iranian settlements were the Zayandeh River Culture and Ganj Dareh.
23,"Based on C14 dating, the time of the foundation of the city is as early as 4395 BC, a time right after the establishment of the ancient Sumerian city of Uruk in 4500 BC."
24,"The general perception among archaeologists is that Susa was an extension of the Sumerian city-state of Uruk, hence incorporating many aspects of Mesopotamian culture."
25,"In its later history, Susa became the capital of Elam, which emerged as a state founded 4000 BC."
26,"There are also dozens of prehistoric sites across the Iranian plateau pointing to the existence of ancient cultures and urban settlements in the fourth millennium BC, One of the earliest civilizations in Iranian plateau was the Jiroft culture in southeastern Iran in the province of Kerman."
27,It is one of the most artefact-rich archaeological sites in the Middle East.
28,Archaeological excavations in Jiroft led to the discovery of several objects belonging to the 4th millennium BC.
29,"There is a large quantity of objects decorated with highly distinctive engravings of animals, mythological figures, and architectural motifs."
30,The objects and their iconography are unlike anything ever seen before by archaeologists.
31,"Many are made from chlorite, a grey-green soft stone; others are in copper, bronze, terracotta, and even lapis lazuli."
32,The Early Bronze Age saw the rise of urbanization into organized city-states and the invention of writing (the Uruk period) in the Near East.
33,"While Bronze Age Elam made use of writing from an early time, the Proto-Elamite script remains undeciphered, and records from Sumer pertaining to Elam are scarce."
34,"As early as the 20th century BC, tribes came to the Iranian Plateau from the Pontic–Caspian steppe."
35,"The arrival of Iranians on the Iranian plateau forced the Elamites to relinquish one area of their empire after another and to take refuge in Elam, Khuzestan and the nearby area, which only then became coterminous with Elam."
36,Bahman Firuzmandi say that the southern Iranians might be intermixed with the Elamite peoples living in the plateau.
37,"By the mid-first millennium BC, Medes, Persians, and Parthians populated the Iranian plateau."
38,"Until the rise of the Medes, they all remained under Assyrian domination, like the rest of the Near East."
39,"In the first half of the first millennium BC, parts of what is now Iranian Azerbaijan were incorporated into Urartu."
40,For over 150 years Assyrian kings of nearby Northern Mesopotamia had been wanting to conquer Median tribes of Western Iran.
41,"In 612 BC, Cyaxares, Deioces' grandson, and the Babylonian king Nabopolassar invaded Assyria and laid siege to and eventually destroyed Nineveh, the Assyrian capital, which led to the fall of the Neo-Assyrian Empire."
42,Urartu was later on conquered and dissolved as well by the Medes.
43,"Cyrus the Great overthrew, in turn, the Median, Lydian, and Neo-Babylonian Empires, creating an empire far larger than Assyria."
44,"He was better able, through more benign policies, to reconcile his subjects to Persian rule; the longevity of his empire was one result."
46,"Cyrus's son, Cambyses II, conquered the last major power of the region, ancient Egypt, causing the collapse of the Twenty-sixth Dynasty of Egypt."
47,"Since he became ill and died before, or while, leaving Egypt, stories developed, as related by Herodotus, that he was struck down for impiety against the ancient Egyptian deities."
48,"The winner, Darius I, based his claim on membership in a collateral line of the Achaemenid Empire."
49,"Darius' first capital was at Susa, and he started the building program at Persepolis."
50,"He rebuilt a canal between the Nile and the Red Sea, a forerunner of the modern Suez Canal."
51,"He improved the extensive road system, and it is during his reign that mentions is first made of the Royal Road (shown on map), a great highway stretching all the way from Susa to Sardis with posting stations at regular intervals."
52,Major reforms took place under Darius.
53,"The Old Persian language appears in royal inscriptions, written in a specially adapted version of the cuneiform script."
54,"Under Cyrus the Great and Darius I, the Persian Empire eventually became the largest empire in human history up until that point, ruling and administrating over most of the then known world, as well as spanning the continents of Europe, Asia, and Africa."
55,The greatest achievement was the empire itself.
