,0
0,The history of technology is the history of the invention of tools and techniques and is one of the categories of world history.
1,Technology can refer to methods ranging from as simple as stone tools to the complex genetic engineering and information technology that has emerged since the 1980s.
2,"The term technology comes from the Greek word techne, meaning art and craft, and the word logos, meaning word and speech."
3,"Since much of technology is applied science, technical history is connected to the history of science."
4,"Since technology uses resources, technical history is tightly connected to economic history."
5,"From those resources, technology produces other resources, including technological artifacts used in everyday life."
6,"Technological change affects, and is affected by, a society's cultural traditions."
7,"It is a force for economic growth and a means to develop and project economic, political, military power and wealth."
8,"Morgan's concept of three major stages of social evolution (savagery, barbarism, and civilization) can be divided by technological milestones, such as fire."
9,"White differentiates between five stages of human development: In the first, people use the energy of their own muscles."
10,"In the second, they use the energy of domesticated animals."
11,"In the third, they use the energy of plants (agricultural revolution)."
12,"In the fourth, they learn to use the energy of natural resources: coal, oil, gas."
13,"In the fifth, they harness nuclear energy."
15,"In his own words, ""culture evolves as the amount of energy harnessed per capita per year is increased, or as the efficiency of the instrumental means of putting the energy to work is increased""."
16,"Nikolai Kardashev extrapolated his theory, creating the Kardashev scale, which categorizes the energy use of advanced civilizations."
17,Lenski's approach focuses on information.
18,"The more information and knowledge (especially allowing the shaping of natural environment) a given society has, the more advanced it is."
19,"He identifies four stages of human development, based on advances in the history of communication."
20,"In the first stage, information is passed by genes."
21,"In the second, when humans gain sentience, they can learn and pass information through experience."
22,"In the third, the humans start using signs and develop logic."
23,"In the fourth, they can create symbols, develop language and writing."
24,"Advancements in communications technology translate into advancements in the economic system and political system, distribution of wealth, social inequality and other spheres of social life."
25,Productivity increases when fewer inputs (classically labor and capital but some measures include energy and materials) are used in the production of a unit of output.
26,"Another indicator of technological progress is the development of new products and services, which is necessary to offset unemployment that would otherwise result as labor inputs are reduced."
27,"In developed countries productivity growth has been slowing since the late 1970s; however, productivity growth was higher in some economic sectors, such as manufacturing."
28,"For example, employment in manufacturing in the United States declined from over 30% in the 1940s to just over 10% 70 years later."
29,Similar changes occurred in other developed countries.
30,This stage is referred to as post-industrial.
31,"In the late 1970s sociologists and anthropologists like Alvin Toffler (author of Future Shock), Daniel Bell and John Naisbitt have approached the theories of post-industrial societies, arguing that the current era of industrial society is coming to an end, and services and information are becoming more important than industry and goods."
32,"Some extreme visions of the post-industrial society, especially in fiction, are strikingly similar to the visions of near and post-Singularity societies."
33,"The first major technologies were tied to survival, hunting, and food preparation."
34,"Stone tools and weapons, fire, and clothing were technological developments of major importance during this period."
35,"Human ancestors have been using stone and other tools since long before the emergence of Homo sapiens approximately 200,000 years ago."
36,"This era of stone tool use is called the Paleolithic, or ""Old stone age"", and spans all of human history up to the development of agriculture approximately 12,000 years ago."
37,"To make a stone tool, a ""core"" of hard stone with specific flaking properties (such as flint) was struck with a hammerstone."
38,"This flaking produced sharp edges which could be used as tools, primarily in the form of choppers or scrapers."
39,This early Stone Age is described as the Lower Paleolithic.
40,"The Middle Paleolithic, approximately 300,000 years ago, saw the introduction of the prepared-core technique, where multiple blades could be rapidly formed from a single core stone."
41,"The Mesolithic technology included the use of microliths as composite stone tools, along with wood, bone, and antler tools."
42,"The later Stone Age, during which the rudiments of agricultural technology were developed, is called the Neolithic period."
43,"During this period, polished stone tools were made from a variety of hard rocks such as flint, jade, jadeite, and greenstone, largely by working exposures as quarries, but later the valuable rocks were pursued by tunneling underground, the first steps in mining technology."
44,The polished axes were used for forest clearance and the establishment of crop farming and were so effective as to remain in use when bronze and iron appeared.
45,"Stone Age humans developed ocean-worthy outrigger canoe technology, leading to migration across the Malay archipelago, across the Indian Ocean to Madagascar and also across the Pacific Ocean, which required knowledge of the ocean currents, weather patterns, sailing, and celestial navigation."
46,"Although Paleolithic cultures left no written records, the shift from nomadic life to settlement and agriculture can be inferred from a range of archaeological evidence."
47,"Such evidence includes ancient tools, cave paintings, and other prehistoric art, such as the Venus of Willendorf."
48,"Human remains also provide direct evidence, both through the examination of bones, and the study of mummies."
49,"Scientists and historians have been able to form significant inferences about the lifestyle and culture of various prehistoric peoples, and especially their technology."
50,Copper smelting is believed to have originated when the technology of pottery kilns allowed sufficiently high temperatures.
51,"The concentration of various elements such as arsenic increase with depth in copper ore deposits and smelting of these ores yields arsenical bronze, which can be sufficiently work hardened to be suitable for making tools."
52,Bronze is an alloy of copper with tin; the latter being found in relatively few deposits globally caused a long time to elapse before true tin bronze became widespread.
53,"(See: Tin sources and trade in ancient times) Bronze was a major advance over stone as a material for making tools, both because of its mechanical properties like strength and ductility and because it could be cast in molds to make intricately shaped objects."
54,Bronze significantly advanced shipbuilding technology with better tools and bronze nails.
55,Bronze nails replaced the old method of attaching boards of the hull with cord woven through drilled holes.
56,Better ships enabled long-distance trade and the advance of civilization.
57,This technological trend apparently began in the Fertile Crescent and spread outward over time.
58,"These developments were not, and still are not, universal."
59,"The three-age system does not accurately describe the technology history of groups outside of Eurasia, and does not apply at all in the case of some isolated populations, such as the Spinifex People, the Sentinelese, and various Amazonian tribes, which still make use of Stone Age technology, and have not developed agricultural or metal technology."
60,"Meteoric iron was rare and valuable, but was sometimes used to make tools and other implements, such as fish hooks."
61,The Iron Age involved the adoption of iron smelting technology.
