,0
0,Human rights are moral principles or norms that describe certain standards of human behaviour and are regularly protected in municipal and international law.
1,"They are commonly understood as inalienable, fundamental rights ""to which a person is inherently entitled simply because she or he is a human being"" and which are ""inherent in all human beings"", regardless of their age, ethnic origin, location, language, religion, ethnicity, or any other status."
2,"They are applicable everywhere and at every time in the sense of being universal, and they are egalitarian in the sense of being the same for everyone."
3,Actions by states and non-governmental organisations form a basis of public policy worldwide.
4,"The idea of human rights suggests that ""if the public discourse of peacetime global society can be said to have a common moral language, it is that of human rights""."
5,"The strong claims made by the doctrine of human rights continue to provoke considerable scepticism and debates about the content, nature and justifications of human rights to this day."
6,Ancient peoples did not have the same modern-day conception of universal human rights.
7,"The true forerunner of human rights discourse was the concept of natural rights which appeared as part of the medieval natural law tradition that became prominent during the European Enlightenment with such philosophers as John Locke, Francis Hutcheson and Jean-Jacques Burlamaqui and which featured prominently in the political discourse of the American Revolution and the French Revolution."
8,"From this foundation, the modern human rights arguments emerged over the latter half of the 20th century, possibly as a reaction to slavery, torture, genocide and war crimes, as a realisation of inherent human vulnerability and as being a precondition for the possibility of a just society."
9,The true forerunner of human-rights discourse was the concept of natural rights which appeared as part of the medieval natural law tradition that became prominent during the European Enlightenment.
10,"In Britain in 1689, the English Bill of Rights and the Scottish Claim of Right each made illegal a range of oppressive governmental actions."
11,"Two major revolutions occurred during the 18th century, in the United States (1776) and in France (1789), leading to the United States Declaration of Independence and the French Declaration of the Rights of Man and of the Citizen respectively, both of which articulated certain human rights."
12,"Additionally, the Virginia Declaration of Rights of 1776 encoded into law a number of fundamental civil rights and civil freedoms."
13,"We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty and the pursuit of Happiness."
14,"In 1831 William Lloyd Garrison wrote in a newspaper called The Liberator that he was trying to enlist his readers in ""the great cause of human rights"" so the term human rights probably came into use sometime between Paine's The Rights of Man and Garrison's publication."
15,"In 1849 a contemporary, Henry David Thoreau, wrote about human rights in his treatise On the Duty of Civil Disobedience [1] which was later influential on human rights and civil rights thinkers."
16,"United States Supreme Court Justice David Davis, in his 1867 opinion for Ex Parte Milligan, wrote ""By the protection of the law, human rights are secured; withdraw that protection and they are at the mercy of wicked rulers or the clamor of an excited people."
17,"""Many groups and movements have managed to achieve profound social changes over the course of the 20th century in the name of human rights."
18,"In Western Europe and North America, labour unions brought about laws granting workers the right to strike, establishing minimum work conditions and forbidding or regulating child labour."
19,The women's rights movement succeeded in gaining for many women the right to vote.
20,National liberation movements in many countries succeeded in driving out colonial powers.
21,One of the most influential was Mahatma Gandhi's movement to free his native India from British rule.
22,"Movements by long-oppressed racial and religious minorities succeeded in many parts of the world, among them the civil rights movement, and more recent diverse identity politics movements, on behalf of women and minorities in the United States."
23,"The foundation of the International Committee of the Red Cross, the 1864 Lieber Code and the first of the Geneva Conventions in 1864 laid the foundations of International humanitarian law, to be further developed following the two World Wars."
24,"The League's goals included disarmament, preventing war through collective security, settling disputes between countries through negotiation, diplomacy and improving global welfare."
