,0
0,"Imperialism is a policy or ideology of extending the rule over peoples and other countries, for extending political and economic access, power and control, often through employing hard power especially military force, but also soft power."
1,"While related to the concepts of colonialism and empire, imperialism is a distinct concept that can apply to other forms of expansion and many forms of government."
2,"Expansionism and centralisation have existed throughout recorded history by states, with the earliest examples dating back to the mid-third millennium BC."
3,"However, the concept of imperialism arose in the modern age, associated chiefly with the European colonial powers of the 17th, 18th, and 19th centuries and New Imperialism."
4,"Following the decolonization of European holdings, the concept has further evolved and has been broadly used to identify as well as criticise a range of policies and a number of states, including even supposedly anti-imperialist states."
5,"It first became common in the current sense in Great Britain during the 1870s, when it was used with a negative connotation."
6,"Previously, the term had been used to describe what was perceived as Napoleon III's attempts at obtaining political support through foreign military interventions."
7,"The term was and is mainly applied to Western and Japanese political and economic dominance, especially in Asia and Africa, in the 19th and 20th centuries."
8,Its precise meaning continues to be debated by scholars.
9,"Some writers, such as Edward Said, use the term more broadly to describe any system of domination and subordination organised around an imperial core and a periphery."
10,This definition encompasses both nominal empires and neocolonialism.
11,"Imperialism and colonialism have been used in order to describe one's perceived superiority, domination and influence upon a person or group of people."
12,"Robert Young writes that while imperialism operates from the centre, is a state policy and is developed for ideological as well as financial reasons, colonialism is simply the development for settlement or commercial intentions."
13,"However, colonialism still includes invasion."
14,Colonialism in modern usage also tends to imply a degree of geographic separation between the colony and the imperial power.
15,"Particularly, Edward Said distinguishes the difference between imperialism and colonialism by stating; ""imperialism involved 'the practice, the theory and the attitudes of a dominating metropolitan center ruling a distant territory', while colonialism refers to the 'implanting of settlements on a distant territory.'"
16,"Although imperialism and colonialism focus on the suppression of another, if colonialism refers to the process of a country taking physical control of another, imperialism refers to the political and monetary dominance, either formally or informally."
17,Colonialism is seen to be the architect deciding how to start dominating areas and then imperialism can be seen as creating the idea behind conquest cooperating with colonialism.
18,Colonialism is when the imperial nation begins a conquest over an area and then eventually is able to rule over the areas the previous nation had controlled.
19,Colonialism's core meaning is the exploitation of the valuable assets and supplies of the nation that was conquered and the conquering nation then gaining the benefits from the spoils of the war.
20,"The meaning of imperialism is to create an empire, by conquering the other state's lands and therefore increasing its own dominance."
21,Colonialism is the builder and preserver of the colonial possessions in an area by a population coming from a foreign region.
22,"Colonialism can completely change the existing social structure, physical structure, and economics of an area; it is not unusual that the characteristics of the conquering peoples are inherited by the conquered indigenous populations."
23,Few colonies remain remote from their mother country.
24,This idea from Lenin stresses how important new political world order has become in the modern era.
