,0
0,The war began on 25 June 1950 when North Korea invaded South Korea following clashes along the border and insurrections in the south.
2,"After the surrender of Japan, at the end of World War II, on 15 August 1945, Korea was divided at the 38th parallel into two zones of occupation."
3,The Soviets administered the northern-half and the Americans administered the southern-half.
4,"In 1948, as a result of Cold War tensions, the occupation zones became two sovereign states."
5,A socialist state was established in the north under the totalitarian leadership of Kim Il-sung and a capitalist state in the south under the authoritarian leadership of Syngman Rhee.
6,"Both governments of the two new Korean states claimed to be the sole legitimate government of all of Korea, and neither accepted the border as permanent."
7,"North Korean military (Korean People's Army, KPA) forces crossed the border and advanced into South Korea on 25 June 1950."
8,"The United Nations Security Council denounced the North Korean move as an invasion, and authorized the formation of the United Nations Command and the dispatch of forces to Korea to repel it."
9,"These UN decisions were taken without participation of the Soviet Union and the People's Republic of China, both of which supported North Korea."
10,"As a result, the ROKA and US troops retreated to a small area behind a defensive line known as the Pusan Perimeter."
11,"In September 1950, an amphibious UN counter-offensive was launched at Incheon, and cut off many KPA troops in South Korea."
12,Those who escaped envelopment and capture were forced back north.
13,"UN forces invaded North Korea in October 1950 and moved rapidly towards the Yalu River—the border with China—but on 19 October 1950, Chinese forces of the People's Volunteer Army (PVA) crossed the Yalu and entered the war."
14,The surprise Chinese intervention triggered a retreat of UN forces and Chinese forces were in South Korea by late December.
15,"In these and subsequent battles, Seoul was captured four times, and communist forces were pushed back to positions around the 38th parallel, close to where the war started."
16,After this the front stabilized and the last two years of fighting became a war of attrition.
17,"The war in the air, however, was never a stalemate."
18,North Korea was subject to a massive US bombing campaign.
19,"Jet fighters confronted each other in air-to-air combat for the first time in history, and Soviet pilots covertly flew in defense of their communist allies."
20,The fighting ended on 27 July 1953 when the Korean Armistice Agreement was signed.
21,"The agreement created the Korean Demilitarized Zone (DMZ) to separate North and South Korea, and allowed the return of prisoners."
22,"However, no peace treaty was ever signed, and the two Koreas are technically still at war, engaged in a frozen conflict."
