,0
0,"A library is a curated collection of sources of information and similar resources, selected by experts and made accessible to a defined community for reference or borrowing, often in a quiet environment conducive to study."
1,"It provides physical or digital access to material, and may be a physical location or a virtual space, or both."
2,"A library's collection can include books, periodicals, newspapers, manuscripts, films, maps, prints, documents, microform, CDs, cassettes, videotapes, DVDs, Blu-ray Discs, e-books, audiobooks, databases, table games, video games and other formats."
3,Libraries range widely in size up to millions of items.
4,"The word for ""library"" in many modern languages is derived from Ancient Greek βιβλιοθήκη (bibliothēkē), originally meaning bookcase, via Latin bibliotheca."
5,"The first libraries consisted of archives of the earliest form of writing—the clay tablets in cuneiform script discovered in Sumer, some dating back to 2600 BC."
6,Private or personal libraries made up of written books appeared in classical Greece in the 5th century BC.
7,"In the 6th century, at the very close of the Classical period, the great libraries of the Mediterranean world remained those of Constantinople and Alexandria."
8,The libraries of Timbuktu were also established around this time and attracted scholars from all over the world.
9,"A library is organized for use and maintained by a public body, an institution, a corporation, or a private individual."
10,"Public and institutional collections and services may be intended for use by people who choose not to—or cannot afford to—purchase an extensive collection themselves, who need material no individual can reasonably be expected to have, or who require professional assistance with their research."
11,"In addition to providing materials, libraries also provide the services of librarians who are experts at finding and organizing information and at interpreting information needs."
12,"Libraries often provide quiet areas for studying, and they also often offer common areas to facilitate group study and collaboration."
13,Libraries often provide public facilities for access to their electronic resources and the Internet.
14,Modern libraries are increasingly being redefined as places to get unrestricted access to information in many formats and from many sources.
15,"They are extending services beyond the physical walls of a building, by providing material accessible by electronic means, and by providing the assistance of librarians in navigating and analyzing very large amounts of information with a variety of digital resources."
16,Libraries are increasingly becoming community hubs where programs are delivered and people engage in lifelong learning.
17,"Topics of interest include accessibility of the collection, acquisition of materials, arrangement and finding tools, the book trade, the influence of the physical properties of the different writing materials, language distribution, role in education, rates of literacy, budgets, staffing, libraries for specially targeted audiences, architectural merit, patterns of usage, and the role of libraries in a nation's cultural heritage, and the role of government, church or private sponsorship."
18,"Since the 1960s, issues of computerization and digitization have arisen."
19,"Travelling libraries, such as the early horseback libraries of eastern Kentucky and bookmobiles, are generally of the lending type."
20,"Modern libraries are often a mixture of both, containing a general collection for circulation, and a reference collection which is restricted to the library premises."
21,"Also, increasingly, digital collections enable broader access to material that may not circulate in print, and enables libraries to expand their collections even without building a larger facility."
22,"Some academic libraries, especially those at public institutions, are accessible to members of the general public in whole or in part."
23,"Academic libraries are libraries that are hosted in post-secondary educational institutions, such as colleges and universities."
24,Their main function are to provide support in research and resource linkage for students and faculty of the educational institution.
25,"Academic libraries  house current, reliable relevant information resources spread through all the disciplines which serve to assuage the information requirements of students and faculty."
26,"Specific course-related resources are usually provided by the library, such as copies of textbooks and article readings held on 'reserve' (meaning that they are loaned out only on a short-term basis, usually a matter of hours)."
27,"Some academic libraries provide resources not usually associated with libraries, such as the ability to check out laptop computers, web cameras, or scientific calculators."
28,"Academic libraries offer workshops and courses outside of formal, graded coursework, which are meant to provide students with the tools necessary to succeed in their programs."
29,"These workshops may include help with citations, effective search techniques, journal databases, and electronic citation software."
30,"These workshops provide students with skills that can help them achieve success in their academic careers (and often, in their future occupations), which they may not learn inside the classroom."
