,0
0,"Literature broadly is any collection of written work, but it is also used more narrowly for writings specifically considered to be an art form, especially prose fiction, drama, and poetry."
1,"In recent centuries, the definition has expanded to include oral literature, much of which has been transcribed."
2,"Literature is a method of recording, preserving, and transmitting knowledge and entertainment."
3,"Literature, as an art form, can also include works in various non-fiction genres, such as autobiography, diaries, memoir, letters, and the essay."
4,"In spite of this, the term has also been applied to spoken or sung texts."
5,"Developments in print technology have allowed an ever-growing distribution and proliferation of written works, which now includes electronic literature."
6,"Literature is classified according to whether it is poetry, prose or drama, and such works are categorized according to historical periods, or their adherence to certain aesthetic features, or genre."
7,"In Western Europe, prior to the 18th century, literature denoted all books and writing."
8,"Then, during the Romantic period, a more restricted sense of the term emerged that emphasised the idea that ""literature"" was ""imaginative"" writing."
9,"Contemporary debates over what constitutes literature can be seen as returning to older, more inclusive notions, so that cultural studies, for instance, include, in addition to canonical works, popular and minority genres."
10,"The word is also used in reference non-written works: to ""oral literature"" and ""the literature of preliterate culture""."
11,"A value judgment definition of literature considers it as consisting solely of high quality writing that forms part of the belles-lettres (""fine writing"") tradition."
15,"Rather, if the whole truth is told, oral tradition stands out as the single most dominant communicative technology of our species as both a historical fact and, in many areas still, a contemporary reality."
16,"In a study published in February 2020, new evidence showed that both Budj Bim and Tower Hill volcanoes erupted between 34,000 and 40,000 years ago."
17,"Significantly, this is a ""minimum age constraint for human presence in Victoria"", and also could be interpreted as evidence for the oral histories of the Gunditjmara people, an Aboriginal Australian people of south-western Victoria, which tell of volcanic eruptions being some of the oldest oral traditions in existence."
18,"Homer's epic poetry, states Michael Gagarin, was largely composed, performed and transmitted orally."
19,"As folklores and legends were performed in front of distant audiences, the singers would substitute the names in the stories with local characters or rulers to give the stories a local flavor and thus connect with the audience, but making the historicity embedded in the oral tradition as unreliable."
20,"Oral storytelling traditions flourished in a context without the use of writing to record and preserve history, scientific knowledge, and social practices."
21,"While some stories were told for amusement and leisure, most functioned as practical lessons from tribal experience applied to immediate moral, social, psychological, and environmental issues."
22,"Stories fuse fictional, supernatural, or otherwise exaggerated characters and circumstances with real emotions and morals as a means of teaching."
23,Plots often reflect real life situations and may be aimed at particular people known by the story's audience.
24,"In this way, social pressure could be exerted without directly causing embarrassment or social exclusion."
25,"From Ancient Greece to the late 19th century, rhetoric played a central role in Western education in training orators, lawyers, counsellors, historians, statesmen, and poets."
26,"Though in both ancient Egypt and Mesoamerica, writing may have already emerged because of the need to record historical and environmental events."
27,"Subsequent innovations included more uniform, predictable, legal systems, sacred texts, and the origins of modern practices of scientific inquiry and knowledge-consolidation, all largely reliant on portable and easily reproducible forms of writing."
28,"The primary genres of the literature of ancient Egypt—didactic texts, hymns and prayers, and tales—were written almost entirely in verse; By the Old Kingdom (26th century BC to 22nd century BC), literary works included funerary texts, epistles and letters, hymns and poems, and commemorative autobiographical texts recounting the careers of prominent administrative officials."
29,"Drama and satire also developed as urban culture provided a larger public audience, and later readership, for literary production."
30,"In ancient China, early literature was primarily focused on philosophy, historiography, military science, agriculture, and poetry."
31,"China, the origin of modern paper making and woodblock printing, produced the world's first print cultures."
32,Much of Chinese literature originates with the Hundred Schools of Thought period that occurred during the Eastern Zhou Dynasty (769‒269 BC).
33,"Ancient Chinese literature had a heavy emphasis on historiography, with often very detailed court records."
34,"Early genres included drama, fables, sutras and epic poetry."
35,"Sanskrit literature begins with the Vedas, dating back to 1500–1000 BC, and continues with the Sanskrit Epics of Iron Age India."
36,The Vedas are among the oldest sacred texts.
37,"The period between approximately the 6th to 1st centuries BC saw the composition and redaction of the two most influential Indian epics, the Mahabharata and the Ramayana, with subsequent redaction progressing down to the 4th century AD."
38,Other major literary works are Ramcharitmanas & Krishnacharitmanas.
39,"These documents contain prosaic records largely concerned with trade (lists, inventories, receipts, etc."
40,); no real literature has been discovered.
41,It is generally accepted that the poems were composed at some point around the late eighth or early seventh century BC.
42,Modern scholars consider these accounts legendary.
43,Most researchers believe that the poems were originally transmitted orally.
44,"From antiquity until the present day, the influence of Homeric epic on Western civilization has been great, inspiring many of its most famous works of literature, music, art and film."
45,"The Homeric epics were the greatest influence on ancient Greek culture and education; to Plato, Homer was simply the one who ""has taught Greece"" – ten Hellada pepaideuken."
46,"Classical Greek genres included philosophy, poetry, historiography, comedies and dramas."
47,"Although drama was popular in ancient Greece, of the hundreds of tragedies written and performed during the classical age, only a limited number of plays by three authors still exist: Aeschylus, Sophocles, and Euripides."
48,"This consensus echoes a traditional Jewish view which gives Ezra, the leader of the Jewish community on its return from Babylon, a pivotal role in its promulgation."
49,"Literature in latin would flourish for the next six centuries, and includes essays, histories, poems, plays, and other writings."
51,"Muslims believe it was transcribed in the Arabic dialect of the Quraysh, the tribe of Muhammad."
52,"Western Vernacular literature includes the Poetic Edda and the sagas, or heroic epics, of Iceland, the Anglo-Saxon Beowulf, and the German Song of Hildebrandt."
54,The Chinese inventor Bi Sheng made movable type of earthenware circa 1045.
55,This invention gradually made books less expensive to produce and more widely available.
56,"Early printed books, single sheets and images which were created before 1501 in Europe are known as incunables or incunabula."
58,"""Eventually, printing enabled other forms of publishing besides books."
59,"The history of modern newspaper publishing started in Germany in 1609, with publishing of magazines following in 1663."
60,"This further developed into the idea of the study of literature being ""the ideal carrier for the propagation of the humanist cultural myth of a welleducated, culturally harmonious nation""."
61,"There are very few women poets writing in English, whose names are remembered, until the twentieth century."
62,"Even in the nineteenth century the only names that stand out are Emily Bronte, Elizabeth Barrett Browning, and Emily Dickinson ( see American poetry)."
63,"But while generally women are absent from the European cannon of Romantic literature, there is one notable exception, the French novelist and memoirist Amantine Dupin (1804 – 1876) best known by her pen name George Sand One of the more popular writers in Europe in her lifetime, being more renowned than both Victor Hugo and Honoré de Balzac in England in the 1830s and 1840s, Sand is recognised as one of the most notable writers of the European Romantic era."
64,"Selma Lagerlöf (1858 – 1940)} as the first woman to win the Nobel Prize in Literature, which she was awarded in 1909."
65,"The earliest of these books were educational books, books on conduct, and simple ABCs—often decorated with animals, plants, and anthropomorphic letters."
66,"– although many contemporary theorists and literary scholars believe, either that ""literature"" cannot be defined, or that it can refer to any use of language."
67,"The very best in literature is annually recognized by the Nobel Prize in Literature, which is awarded to an author from any country who has, in the words of the will of Swedish industrialist Alfred Nobel, produced ""in the field of literature the most outstanding work in an ideal direction"" (original Swedish: den som inom litteraturen har producerat det mest framstående verket i en idealisk riktning)."
68,Psychologists have also been using literature as a therapeutic tool.
69,"Psychologist Hogan argues for the value of the time and emotion that a person devotes to understanding a character's situation in literature; that it can unite a large community by provoking universal emotions, as well as allowing readers access to different cultures, and new emotional experiences."
70,The theory suggests that literature helps an individual's struggle for self-fulfilment.
71,"Prominent atheist figures such as the late Christopher Hitchens and Richard Dawkins have praised the King James Version as being ""a giant step in the maturing of English literature"" and ""a great work of literature"", respectively, with Dawkins then adding, ""A native speaker of English who has never read a word of the King James Bible is verging on the barbarian""."
72,"This distinction is complicated by various hybrid forms such as the sound poetry, concrete poetry and prose poem, and more generally by the fact that prose possesses rhythm."
73,"Possibly as a result of Aristotle's influence (his Poetics), ""poetry"" before the 19th century was usually less a technical designation for verse than a normative category of fictive or rhetorical art."
74,"As a form it may pre-date literacy, with the earliest works being composed within and sustained by an oral tradition; hence it constitutes the earliest example of literature."
75,"Eliot suggested that while: ""the distinction between verse and prose is clear, the distinction between poetry and prose is obscure""."
76,"There are verse novels, a type of narrative poetry in which a novel-length narrative is told through the medium of poetry rather than prose."
77,Especially important was the great Roman orator Cicero.
78,"It was the lingua franca among literate Europeans until quite recent times, and the great works of Descartes (1596 – 1650[), Francis Bacon (1561 – 1626), and Baruch Spinoza (1632 – 1677[) were published in Latin."
79,"In English, the term emerged from the Romance languages in the late 15th century, with the meaning of ""news""; it came to indicate something new, without a distinction between fact or fiction."
80,The romance is a closely related long prose narrative.
81,"Walter Scott defined it as ""a fictitious narrative in prose or verse; the interest of which turns upon marvellous and uncommon incidents"", whereas in the novel ""the events are accommodated to the ordinary train of human events and the modern state of society""."
82,"Initially subject to much criticism, the novel has acquired a dominant position amongst literary forms, both popularly and critically."
83,"Publishers and literary award societies typically consider a novella to be between 17,000 and 40,000 words."
84,The form is combined with music and dance in opera and musical theatre (see libretto).
85,A play is a written dramatic work by a playwright that is intended for performance in a theatre; it comprises chiefly dialogue between characters.
86,"A closet drama, by contrast, is written to be read rather than to be performed; the meaning of which can be realized fully on the page."
87,Nearly all drama took verse form until comparatively recently.
88,The earliest form of which there exists substantial knowledge is Greek drama.
90,"The creative work may be in a literary, artistic, educational, or musical form."
91,"Copyright is intended to protect the original expression of an idea in the form of a creative work, but not the idea itself."
92,"Literary works are defined by copyright law to mean ""any work, other than a dramatic or musical work, which is written, spoken or sung, and accordingly includes (a) a table or compilation (other than a database), (b) a computer program, (c) preparatory design material for a computer program, and (d) a database."""
93,Literary works are all works of literature; that is all works expressed in print or writing (other than dramatic or musical works).
94,It was established as federal law with the Copyright Act of 1790.
95,"This act was updated many times, including a major revision in 1976."
96,"Copyright law is largely harmonized in the Union, although country to country differences exist."
97,"The body of law was implemented in the EU through a number of directives, which the member states need to enact into their national law."
98,"The main copyright directives are the Copyright Term Directive, the Information Society Directive and the Directive on Copyright in the Digital Single Market."
99,Copyright in the Union is furthermore dependent on international conventions to which the European Union is a member (such as the TRIPS Agreement and conventions to which all Member States are parties (such as the Berne Convention)).
100,The convention protected copyrighted works for 50 years after the author's death (or 50 years after publication for unknown authors and corporations).
101,"However, in 2004 Japan extended the copyright term to 70 years for cinematographic works."
102,"At the end of 2018, as a result of the Trans-Pacific Partnership negotiations, the 70 year term was applied to all works."
103,This new term is not applied retroactively; works that had entered the public domain between 1999 and 2018 by expiration would remain in the public domain.
104,It was banned in the United States from 1921 until 1933 on the grounds of obscenity.
105,"Nowadays it is a central literary text in English literature courses, throughout the world."
