,0
0,"The Maya civilization was a Mesoamerican civilization developed by the Maya peoples, and noted for its logosyllabic script—the most sophisticated and highly developed writing system in pre-Columbian Americas—as well as for its art, architecture, mathematics, calendar, and astronomical system."
1,"The Maya civilization developed in the area that today comprises southeastern Mexico, all of Guatemala and Belize, and the western portions of Honduras and El Salvador."
2,"It includes the northern lowlands of the Yucatán Peninsula and the highlands of the Sierra Madre, the Mexican state of Chiapas,  southern Guatemala, El Salvador, and the southern lowlands of the Pacific littoral plain."
3,"“Maya"" is a modern term used to refer collectively to the various peoples that inhabited this area."
7,"In the Late Preclassic a number of large cities developed in the Petén Basin, and the city of Kaminaljuyu rose to prominence in the Guatemalan Highlands."
9,This period saw the Maya civilization develop many city-states linked by a complex trade network.
10,"In the Maya Lowlands two great rivals, the cities of Tikal and Calakmul, became powerful."
11,The Classic period also saw the intrusive intervention of the central Mexican city of Teotihuacan in Maya dynastic politics.
12,"In the 9th century, there was a widespread political collapse in the central Maya region, resulting in internecine warfare, the abandonment of cities, and a northward shift of population."
13,"The Postclassic period saw the rise of Chichen Itza in the north, and the expansion of the aggressive Kʼicheʼ kingdom in the Guatemalan Highlands."
14,"In the 16th century, the Spanish Empire colonised the Mesoamerican region, and a lengthy series of campaigns saw the fall of Nojpetén, the last Maya city, in 1697."
15,"Rule during the Classic period centred on the concept of the ""divine king"", who was thought to act as a mediator between mortals and the supernatural realm."
16,"Kingship was patrilineal, and power normally passed to the eldest son."
17,A prospective king was expected to be a successful war leader as well as a ruler.
18,"Closed patronage systems were the dominant force in Maya politics, although how patronage affected the political makeup of a kingdom varied from city-state to city-state."
19,"By the Late Classic period, the aristocracy had grown in size, reducing the previously exclusive power of the king."
20,"The Maya developed sophisticated art forms using both perishable and non-perishable materials, including wood, jade, obsidian, ceramics, sculpted stone monuments, stucco, and finely painted murals."
21,Maya cities tended to expand haphazardly.
22,"The city centres comprised ceremonial and administrative complexes, surrounded by an irregularly shaped sprawl of residential districts."
23,Different parts of a city were often linked by causeways.
24,"Architecturally, city buildings included palaces, pyramid-temples, ceremonial ballcourts, and structures specially aligned for astronomical observation."
25,"The Maya elite were literate, and developed a complex system of hieroglyphic writing."
26,Theirs was the most advanced writing system in the pre-Columbian Americas.
27,"The Maya recorded their history and ritual knowledge in screenfold books, of which only three uncontested examples remain, the rest having been destroyed by the Spanish."
28,"In addition, a great many examples of Maya texts can be found on stelae and ceramics."
29,"The Maya developed a highly complex series of interlocking ritual calendars, and employed mathematics that included one of the earliest known instances of the explicit zero in human history."
30,"As a part of their religion, the Maya practised human sacrifice."
31,Mesoamerica was one of six cradles of civilization worldwide.
32,"The Mesoamerican area gave rise to a series of cultural developments that included complex societies, agriculture, cities, monumental architecture, writing, and calendrical systems."
33,"The diverse climate allowed for wide variation in available crops, but all regions of Mesoamerica cultivated the base crops of maize, beans, and squashes."
34,"Mesoamerica lacked draft animals, did not use the wheel, and possessed few domesticated animals; the principal means of transport was on foot or by canoe."
35,Mesoamericans viewed the world as hostile and governed by unpredictable deities.
36,The ritual Mesoamerican ballgame was widely played.
37,"Mesoamerica is linguistically diverse, with most languages falling within a small number of language families—the major families are Mayan, Mixe–Zoquean, Otomanguean, and Uto-Aztecan; there are also a number of smaller families and isolates."
38,"During the Early Classic period, the Maya cities of Tikal and Kaminaljuyu were key Maya foci in a network that extended beyond the Maya area into the highlands of central Mexico."
39,"At around the same time, there was a strong Maya presence at the Tetitla compound of Teotihuacan."
40,"Centuries later, during the 9th century AD, murals at Cacaxtla, another site in the central Mexican highlands, were painted in a Maya style."
41,"This may have been either an effort to align itself with the still-powerful Maya area after the collapse of Teotihuacan and ensuing political fragmentation in the Mexican Highlands, or an attempt to express a distant Maya origin of the inhabitants."
42,The Maya city of Chichen Itza and the distant Toltec capital of Tula had an especially close relationship.
43,"This area included the entire Yucatán Peninsula and all of the territory now incorporated into the modern countries of Guatemala and Belize, as well as the western portions of Honduras and El Salvador."
44,To the south the plain gradually rises towards the Guatemalan Highlands.
45,"Dense forest covers northern Petén and Belize, most of Quintana Roo, southern Campeche, and a portion of the south of Yucatán state."
46,"The Maya highlands extend eastwards from Chiapas into Guatemala, reaching their highest in the Sierra de los Cuchumatanes."
47,"The major pre-Columbian population centres of the highlands were located in the largest highland valleys, such as the Valley of Guatemala and the Quetzaltenango Valley."
48,"In the southern highlands, a belt of volcanic cones runs parallel to the Pacific coast."
49,"The highlands extend northwards into Verapaz, and gradually descend to the east."
50,"These were preceded by the Archaic Period, during which the first settled villages and early developments in agriculture emerged."
51,"Modern scholars regard these periods as arbitrary divisions of Maya chronology, rather than indicative of cultural evolution or decline."
52,"Definitions of the start and end dates of period spans can vary by as much as a century, depending on the author."
53,Scholars continue to discuss when this era of Maya civilization began.
54,Maya occupation at Cuello (modern-day Belize) has been carbon dated to around 2600 BC.
56,"Nakbe in the Petén department of Guatemala is the earliest well-documented city in the Maya lowlands, where large structures have been dated to around 750 BC."
57,The northern lowlands of Yucatán were widely settled by the Middle Preclassic.
59,A developed script was already being used in Petén by the 3rd century BC.
60,"Takalik Abaj and Chocolá were two of the most important cities on the Pacific coastal plain, and Komchen grew to become an important site in northern Yucatán."
61,The Late Preclassic cultural florescence collapsed in the 1st century AD and many of the great Maya cities of the epoch were abandoned; the cause of this collapse is unknown.
62,"This period marked the peak of large-scale construction and urbanism, the recording of monumental inscriptions, and demonstrated significant intellectual and artistic development, particularly in the southern lowland regions."
63,"The Classic period Maya political landscape has been likened to that of Renaissance Italy or Classical Greece, with multiple city-states engaged in a complex network of alliances and enmities."
64,"In AD 378, Teotihuacan decisively intervened at Tikal and other nearby cities, deposed their rulers, and installed a new Teotihuacan-backed dynasty."
68,"Tikal and Calakmul both developed extensive systems of allies and vassals; lesser cities that entered one of these networks gained prestige from their association with the top-tier city, and maintained peaceful relations with other members of the same network."
69,Tikal and Calakmul engaged in the manoeuvering of their alliance networks against each other.
70,"At various points during the Classic period, one or other of these powers would gain a strategic victory over its great rival, resulting in respective periods of florescence and decline."
72,For the next two decades he fought loyally for his brother and overlord at Tikal.
74,Yuknoom Chʼeen II then reinstated Balaj Chan Kʼawiil upon the throne of Dos Pilas as his vassal.
76,The new king had strong ties with central Petén and Teotihuacan.
77,"Copán reached the height of its cultural and artistic development during the rule of Uaxaclajuun Ubʼaah Kʼawiil, who ruled from 695 to 738."
78,"His reign ended catastrophically when he was captured by his vassal, king Kʼakʼ Tiliw Chan Yopaat of Quiriguá."
79,The captured lord of Copán was taken back to Quiriguá and was decapitated in a public ritual.
80,"It is likely that this coup was backed by Calakmul, in order to weaken a powerful ally of Tikal."
81,Palenque and Yaxchilan were the most powerful cities in the Usumacinta region.
82,"In the highlands, Kaminaljuyu in the Valley of Guatemala was already a sprawling city by 300."
83,"In the north of the Maya area, Coba was the most important capital."
84,"No universally accepted theory explains this collapse, but it likely had a combination of causes, including endemic internecine warfare, overpopulation resulting in severe environmental degradation, and drought."
85,"During this period, known as the Terminal Classic, the northern cities of Chichen Itza and Uxmal showed increased activity."
86,"This model of rulership was poorly structured to respond to changes, because the ruler's actions were limited by tradition to such activities as construction, ritual, and warfare."
87,This only served to exacerbate systemic problems.
89,"In the northern Yucatán, individual rule was replaced by a ruling council formed from elite lineages."
91,"Within a couple of generations, large swathes of the central Maya area were all but abandoned."
92,Both the capitals and their secondary centres were generally abandoned within a period of 50 to 100 years.
93,"One by one, cities stopped sculpting dated monuments; the last Long Count date was inscribed at Toniná in 909."
94,"Stelae were no longer raised, and squatters moved into abandoned royal palaces."
95,Mesoamerican trade routes shifted and bypassed Petén.
96,"Unlike during previous cycles of contraction in the Maya region, abandoned lands were not quickly resettled in the Postclassic."
97,"Activity shifted to the northern lowlands and the Maya Highlands; this may have involved migration from the southern lowlands, because many Postclassic Maya groups had migration myths."
98,"Chichen Itza and its Puuc neighbours declined dramatically in the 11th century, and this may represent the final episode of Classic Period collapse."
99,"After the decline of Chichen Itza, the Maya region lacked a dominant power until the rise of the city of Mayapan in the 12th century."
100,"The once-great city of Kaminaljuyu in the Valley of Guatemala was abandoned after continuous occupation of almost 2,000 years."
101,"Across the highlands and neighbouring Pacific coast, long-occupied cities in exposed locations were relocated, apparently due to a proliferation of warfare."
102,"Cities came to occupy more-easily defended hilltop locations surrounded by deep ravines, with ditch-and-wall defences sometimes supplementing the protection provided by the natural terrain."
103,"One of the most important cities in the Guatemalan Highlands at this time was Qʼumarkaj, the capital of the aggressive Kʼicheʼ kingdom."
104,"The government of Maya states, from the Yucatán to the Guatemalan highlands, was often organised as joint rule by a council."
105,"However, in practice one member of the council could act as a supreme ruler, while the other members served him as advisors."
107,"The abandonment of the city was followed by a period of prolonged warfare, disease and natural disasters in the Yucatán Peninsula, which ended only shortly before Spanish contact in 1511."
108,"Even without a dominant regional capital, the early Spanish explorers reported wealthy coastal cities and thriving marketplaces."
109,"During the Late Postclassic, the Yucatán Peninsula was divided into a number of independent provinces that shared a common culture but varied in internal sociopolitical organization."
110,"On the eve of the Spanish conquest, the highlands of Guatemala were dominated by several powerful Maya states."
111,The Kʼicheʼ had carved out a small empire covering a large part of the western Guatemalan Highlands and the neighbouring Pacific coastal plain.
112,"However, in the decades before the Spanish invasion the Kaqchikel kingdom had been steadily eroding the kingdom of the Kʼicheʼ."
113,"They were seized by a Maya lord, and most were sacrificed, although two managed to escape."
117,"Shortly afterwards, the Spanish were invited as allies into Iximche, the capital city of the Kaqchikel Maya."
118,"Good relations did not last, due to excessive Spanish demands for gold as tribute, and the city was abandoned a few months later."
120,"Francisco de Montejo and his son, Francisco de Montejo the Younger, launched a long series of campaigns against the polities of the Yucatán Peninsula in 1527, and finally completed the conquest of the northern portion of the peninsula in 1546."
121,This left only the Maya kingdoms of the Petén Basin independent.
123,"However, many Maya villages remained remote from Spanish colonial authority, and for the most part continued to manage their own affairs."
