,0
1,"It fell to Alexander the Great in 332 BC, and after his death, it became part of the Greek Seleucid Empire."
2,"Mesopotamia became a battleground between the Romans and Parthians, with western parts of Mesopotamia coming under ephemeral Roman control."
3,"In AD 226, the eastern regions of Mesopotamia fell to the Sassanid Persians."
4,The division of Mesopotamia between Roman (Byzantine from AD 395) and Sassanid Empires lasted until the 7th century Muslim conquest of Persia of the Sasanian Empire and Muslim conquest of the Levant from Byzantines.
5,"A number of primarily neo-Assyrian and Christian native Mesopotamian states existed between the 1st century BC and 3rd century AD, including Adiabene, Osroene, and Hatra."
6,"Mesopotamia is the site of the earliest developments of the Neolithic Revolution from around 10,000 BC."
7,"It has been identified as having ""inspired some of the most important developments in human history, including the invention of the wheel, the planting of the first cereal crops, and the development of cursive script, mathematics, astronomy, and agriculture""."
8,"An even earlier Greek usage of the name Mesopotamia is evident from The Anabasis of Alexander, which was written in the late 2nd century AD, but specifically refers to sources from the time of Alexander the Great."
9,"In the Anabasis, Mesopotamia was used to designate the land east of the Euphrates in north Syria."
11,"Later, the term Mesopotamia was more generally applied to all the lands between the Euphrates and the Tigris, thereby incorporating not only parts of Syria but also almost all of Iraq and southeastern Turkey."
12,"Upper Mesopotamia, also known as the Jazira, is the area between the Euphrates and the Tigris from their sources down to Baghdad."
13,"It is usually used to designate the area until the Muslim conquests, with names like Syria, Jazira, and Iraq being used to describe the region after that date."
14,It has been argued that these later euphemisms are Eurocentric terms attributed to the region in the midst of various 19th-century Western encroachments.
15,"Both rivers are fed by numerous tributaries, and the entire river system drains a vast mountainous region."
16,Overland routes in Mesopotamia usually follow the Euphrates because the banks of the Tigris are frequently steep and difficult.
17,"The climate of the region is semi-arid with a vast desert expanse in the north which gives way to a 15,000-square-kilometre (5,800 sq mi) region of marshes, lagoons, mudflats, and reed banks in the south."
18,"In the extreme south, the Euphrates and the Tigris unite and empty into the Persian Gulf."
19,The arid environment ranges from the northern areas of rain-fed agriculture to the south where irrigation of agriculture is essential if a surplus energy returned on energy invested (EROEI) is to be obtained.
20,"This irrigation is aided by a high water table and by melting snows from the high peaks of the northern Zagros Mountains and from the Armenian Highlands, the source of the Tigris and Euphrates Rivers that give the region its name."
21,"The usefulness of irrigation depends upon the ability to mobilize sufficient labor for the construction and maintenance of canals, and this, from the earliest period, has assisted the development of urban settlements and centralized systems of political authority."
22,"Agriculture throughout the region has been supplemented by nomadic pastoralism, where tent-dwelling nomads herded sheep and goats (and later camels) from the river pastures in the dry summer months, out into seasonal grazing lands on the desert fringe in the wet winter season."
23,"The area is generally lacking in building stone, precious metals, and timber, and so historically has relied upon long-distance trade of agricultural products to secure these items from outlying areas."
24,"In the marshlands to the south of the area, a complex water-borne fishing culture has existed since prehistoric times and has added to the cultural mix."
25,Periodic breakdowns in the cultural system have occurred for a number of reasons.
26,"The demands for labor has from time to time led to population increases that push the limits of the ecological carrying capacity, and should a period of climatic instability ensue, collapsing central government and declining populations can occur."
27,"Alternatively, military vulnerability to invasion from marginal hill tribes or nomadic pastoralists has led to periods of trade collapse and neglect of irrigation systems."
28,"Equally, centripetal tendencies amongst city-states have meant that central authority over the whole region, when imposed, has tended to be ephemeral, and localism has fragmented power into tribal or smaller regional units."
29,These trends have continued to the present day in Iraq.
30,"This entire history ends with either the arrival of the Achaemenid Empire in the late 6th century BC or with the Muslim conquest and the establishment of the Caliphate in the late 7th century AD, from which point the region came to be known as Iraq."
31,"In the long span of this period, Mesopotamia housed some of the world's most ancient highly developed, and socially complex states."
32,"The region was one of the four riverine civilizations where writing was invented, along with the Nile valley in Ancient Egypt, the Indus Valley Civilization in the Indian subcontinent, and the Yellow River in Ancient China."
33,"Mesopotamia housed historically important cities such as Uruk, Nippur, Nineveh, Assur and Babylon, as well as major territorial states such as the city of Eridu, the Akkadian kingdoms, the Third Dynasty of Ur, and the various Assyrian empires."
34,"Some of the important historical Mesopotamian leaders were Ur-Nammu (king of Ur), Sargon of Akkad (who established the Akkadian Empire), Hammurabi (who established the Old Babylonian state), Ashur-uballit II and Tiglath-Pileser I (who established the Assyrian Empire)."
35,"Scientists analysed DNA from the 8,000-year-old remains of early farmers found at an ancient graveyard in Germany."
36,They compared the genetic signatures to those of modern populations and found similarities with the DNA of people living in today's Turkey and Iraq.
37,"Along with Sumerian, Semitic languages were also spoken in early Mesopotamia."
38,"Subartuan a language of the Zagros, perhaps related to the Hurro-Urartuan language family is attested in personal names, rivers and mountains and in various crafts."
39,"Akkadian came to be the dominant language during the Akkadian Empire and the Assyrian empires, but Sumerian was retained for administrative, religious, literary and scientific purposes."
40,Different varieties of Akkadian were used until the end of the Neo-Babylonian period.
41,"Old Aramaic, which had already become common in Mesopotamia, then became the official provincial administration language of first the Neo-Assyrian Empire, and then the Achaemenid Empire: the official lect is called Imperial Aramaic."
42,"Akkadian fell into disuse, but both it and Sumerian were still used in temples for some centuries."
43,The last Akkadian texts date from the late 1st century AD.
44,Early in Mesopotamia's history (around the mid-4th millennium BC) cuneiform was invented for the Sumerian language.
45,"Cuneiform literally means ""wedge-shaped"", due to the triangular tip of the stylus used for impressing signs on wet clay."
46,The standardized form of each cuneiform sign appears to have been developed from pictograms.
47,"The earliest texts (7 archaic tablets) come from the É, a temple dedicated to the goddess Inanna at Uruk, from a building labeled as Temple C by its excavators."
48,The early logographic system of cuneiform script took many years to master.
49,"Thus, only a limited number of individuals were hired as scribes to be trained in its use."
50,It was not until the widespread use of a syllabic script was adopted under Sargon's rule that significant portions of the Mesopotamian population became literate.
51,"Massive archives of texts were recovered from the archaeological contexts of Old Babylonian scribal schools, through which literacy was disseminated."
52,"During the third millennium BC, there developed a very intimate cultural symbiosis between the Sumerian and the Akkadian language users, which included widespread bilingualism."
53,"The influence of Sumerian on Akkadian (and vice versa) is evident in all areas, from lexical borrowing on a massive scale, to syntactic, morphological, and phonological convergence."
54,This has prompted scholars to refer to Sumerian and Akkadian in the third millennium as a sprachbund.
55,"Akkadian gradually replaced Sumerian as the spoken language of Mesopotamia somewhere around the turn of the 3rd and the 2nd millennium BC (the exact dating being a matter of debate), but Sumerian continued to be used as a sacred, ceremonial, literary, and scientific language in Mesopotamia until the 1st century AD."
56,"An old Sumerian proverb averred that ""he who would excel in the school of the scribes must rise with the dawn."""
57,"Women as well as men learned to read and write, and for the Semitic Babylonians, this involved knowledge of the extinct Sumerian language, and a complicated and extensive syllabary."
58,"A considerable amount of Babylonian literature was translated from Sumerian originals, and the language of religion and law long continued to be the old agglutinative language of Sumer."
