,0
0,Natural philosophy or philosophy of nature (from Latin philosophia naturalis) was the philosophical study of nature and the physical universe that was dominant before the development of modern science.
1,It is considered to be the precursor of natural science.
2,"From the ancient world, starting with Aristotle, to the 19th century, natural philosophy was the common term for the practice of studying nature."
3,"It was in the 19th century that the concept of ""science"" received its modern shape with new titles emerging such as ""biology"" and ""biologist"", ""physics"" and ""physicist"" among other technical fields and titles; institutions and communities were founded, and unprecedented applications to and interactions with other aspects of society and culture occurred."
4,"Isaac Newton's book Philosophiae Naturalis Principia Mathematica (1687), whose title translates to ""Mathematical Principles of Natural Philosophy"", reflects the then-current use of the words ""natural philosophy"", akin to ""systematic study of nature""."
5,"Even in the 19th century, a treatise by Lord Kelvin and Peter Guthrie Tait, which helped define much of modern physics, was titled Treatise on Natural Philosophy (1867)."
6,"In the German tradition, Naturphilosophie (philosophy of nature) persisted into the 18th and 19th century as an attempt to achieve a speculative unity of nature and spirit."
7,"Some of the greatest names in German philosophy are associated with this movement, including Goethe, Hegel and Schelling."
10,"Empirical science historically developed out of philosophy or, more specifically, natural philosophy."
11,"Natural philosophy was distinguished from the other precursor of modern science, natural history, in that natural philosophy involved reasoning and explanations about nature (and after Galileo, quantitative reasoning), whereas natural history was essentially qualitative and descriptive."
12,"In the 14th and 15th centuries, natural philosophy was one of many branches of philosophy, but was not a specialized field of study."
13,"The first person appointed as a specialist in Natural Philosophy per se was Jacopo Zabarella, at the University of Padua in 1577."
14,Modern meanings of the terms science and scientists date only to the 19th century.
15,"Before that, science was a synonym for knowledge or study, in keeping with its Latin origin."
16,"In general, chairs of Natural Philosophy established long ago at the oldest universities are nowadays occupied mainly by physics professors."
17,"Isaac Newton's book Philosophiae Naturalis Principia Mathematica (1687), whose title translates to ""Mathematical Principles of Natural Philosophy"", reflects the then-current use of the words ""natural philosophy"", akin to ""systematic study of nature""."
18,"Even in the 19th century, a treatise by Lord Kelvin and Peter Guthrie Tait, which helped define much of modern physics, was titled Treatise on Natural Philosophy (1867)."
19,"Greek philosophers defined it as the combination of beings living in the universe, ignoring things made by humans."
20,The other definition refers to human nature.
21,Natural philosophy has been categorized as a theoretical rather than a practical branch of philosophy (like ethics).
22,The study of natural philosophy seeks to explore the cosmos by any means necessary to understand the universe.
23,Some ideas presuppose that change is a reality.
24,"Although this may seem obvious, there have been some philosophers who have denied the concept of metamorphosis, such as Plato's predecessor Parmenides and later Greek philosopher Sextus Empiricus, and perhaps some Eastern philosophers."
25,"George Santayana, in his Scepticism and Animal Faith, attempted to show that the reality of change cannot be proven."
26,"If his reasoning is sound, it follows that to be a physicist, one must restrain one's skepticism enough to trust one's senses, or else rely on anti-realism."
27,René Descartes' metaphysical system of mind–body dualism describes two kinds of substance: matter and mind.
28,"According to this system, everything that is ""matter"" is deterministic and natural—and so belongs to natural philosophy—and everything that is ""mind"" is volitional and non-natural, and falls outside the domain of philosophy of nature."
29,"Philosophical, and specifically non-religious thought about the natural world, goes back to ancient Greece."
30,"The thought of early philosophers such as Parmenides, Heraclitus, and Democritus centered on the natural world."
31,"In addition, three Presocratic philosophers who lived in the Ionian town of Miletus (hence the Milesian School of philosophy), Thales, Anaximander, and Anaximenes, attempted to explain natural phenomena without recourse to  creation myths involving the Greek gods."
32,"They were called the physikoi (""natural philosophers"") or, as Aristotle referred to them, the physiologoi."
33,Plato followed Socrates in concentrating on man.
36,"This book determines the warp and woof of the whole of Western thinking, even at that place where it, as modern thinking, appears to think at odds with ancient thinking."
37,"But opposition is invariably comprised of a decisive, and often even perilous, dependence."
38,Without Aristotle's Physics there would have been no Galileo.
39,Aristotle surveyed the thought of his predecessors and conceived of nature in a way that charted a middle course between their excesses.
40,"Plato's world of eternal and unchanging Forms, imperfectly represented in matter by a divine Artisan, contrasts sharply with the various mechanistic Weltanschauungen, of which atomism was, by the fourth century at least, the most prominent… This debate was to persist throughout the ancient world."
