,0
0,"Natural science is a branch of science concerned with the description, prediction, and understanding of natural phenomena, based on empirical evidence from observation and experimentation."
1,Mechanisms such as peer review and repeatability of findings are used to try to ensure the validity of scientific advances.
2,Natural science can be divided into two main branches: life science and physical science.
3,"Life science is alternatively known as biology, and physical science is subdivided into branches: physics, chemistry, Earth science, and astronomy."
4,These branches of natural science may be further divided into more specialized branches (also known as fields).
5,"Galileo, Descartes, Bacon, and Newton debated the benefits of using approaches which were more mathematical and more experimental in a methodical way."
6,"Still, philosophical perspectives, conjectures, and presuppositions, often overlooked, remain necessary in natural science."
7,"Systematic data collection, including discovery science, succeeded natural history, which emerged in the 16th century by describing and classifying plants, animals, minerals, and so on."
8,"Today, ""natural history"" suggests observational descriptions aimed at popular audiences."
9,"Validity, accuracy, and quality control, such as peer review and repeatability of findings, are amongst the most respected criteria in today's global scientific community."
10,The scale of study can range from sub-component biophysics up to complex ecologies.
11,"Biology is concerned with the characteristics, classification and behaviors of organisms, as well as how species were formed and their interactions with each other and the environment."
12,"The biological fields of botany, zoology, and medicine date back to early periods of civilization, while microbiology was introduced in the 17th century with the invention of the microscope."
13,"However, it was not until the 19th century that biology became a unified science."
14,"Once scientists discovered commonalities between all living things, it was decided they were best studied as a whole."
15,Some key developments in biology were the discovery of genetics; evolution through natural selection; the germ theory of disease and the application of the techniques of chemistry and physics at the level of the cell or organic molecule.
16,Modern biology is divided into subdisciplines by the type of organism and by the scale being studied.
17,"Molecular biology is the study of the fundamental chemistry of life, while cellular biology is the examination of the cell; the basic building block of all life."
18,"At a higher level, anatomy and physiology look at the internal structures, and their functions, of an organism, while ecology looks at how various organisms interrelate."
19,"Although mining and precious stones have been human interests throughout the history of civilization, the development of the related sciences of economic geology and mineralogy did not occur until the 18th century."
20,"The study of the earth, particularly palaeontology, blossomed in the 19th century."
21,"The growth of other disciplines, such as geophysics, in the 20th century, led to the development of the theory of plate tectonics in the 1960s, which has had a similar effect on the Earth sciences as the theory of evolution had on biology."
22,"Earth sciences today are closely linked to petroleum and mineral resources, climate research and to environmental assessment and remediation."
23,This field studies the characteristics of different layers of the atmosphere from ground level to the edge of the space.
24,The timescale of the study also varies from days to centuries.
25,Sometimes the field also includes the study of climatic patterns on planets other than earth.
26,"As a field of natural science, it is relatively young but stand-alone programs offer specializations in the subject."
27,"Though some controversies remain as to the categorization of the field under earth sciences, interdisciplinary sciences or as a separate field in its own right, most modern workers in the field agree that it has matured to a state that it has its own paradigms and practices."
28,As such a big family of related studies spanning every aspect of the oceans is now classified under this field.
29,"The composition, statistical properties, transformations and reactions of these materials are studied."
30,Chemistry also involves understanding the properties and interactions of individual atoms and molecules for use in larger-scale applications.
31,"Most chemical processes can be studied directly in a laboratory, using a series of (often well-tested) techniques for manipulating materials, as well as an understanding of the underlying processes."
32,"Chemistry is often called ""the central science"" because of its role in connecting the other natural sciences."
33,"Early experiments in chemistry had their roots in the system of Alchemy, a set of beliefs combining mysticism with physical experiments."
34,"The science of chemistry began to develop with the work of Robert Boyle, the discoverer of gas, and Antoine Lavoisier, who developed the theory of the Conservation of mass."
35,"The discovery of the chemical elements and atomic theory began to systematize this science, and researchers developed a fundamental understanding of states of matter, ions, chemical bonds and chemical reactions."
36,The success of this science led to a complementary chemical industry that now plays a significant role in the world economy.
37,"In general, physics is regarded as the fundamental science, because all other natural sciences use and obey the principles and laws set down by the field."
38,Physics relies heavily on mathematics as the logical framework for formulation and quantification of principles.
39,The study of the principles of the universe has a long history and largely derives from direct observation and experimentation.
40,"The formulation of theories about the governing laws of the universe has been central to the study of physics from very early on, with philosophy gradually yielding to systematic, quantitative experimental testing and observation as the source of verification."
41,"Key historical developments in physics include Isaac Newton's theory of universal gravitation and classical mechanics, an understanding of electricity and its relation to magnetism, Einstein's theories of special and general relativity, the development of thermodynamics, and the quantum mechanical model of atomic and subatomic physics."
42,"The field of physics is extremely broad, and can include such diverse studies as quantum mechanics and theoretical physics, applied physics and optics."
43,"Modern physics is becoming increasingly specialized, where researchers tend to focus on a particular area rather than being ""universalists"" like Isaac Newton, Albert Einstein and Lev Landau, who worked in multiple areas."
44,"Objects of interest include planets, moons, stars, nebulae, galaxies and comets."
45,Astronomy is the study of everything in the universe beyond Earth's atmosphere.
46,That includes objects we can see with our naked eyes.
47,Astronomy is one of the oldest sciences.
48,"Astronomers of early civilizations performed methodical observations of the night sky, and astronomical artifacts have been found from much earlier periods."
49,"There are two types of astronomy, observational astronomy and theoretical astronomy."
50,"Observational astronomy is focused on acquiring and analyzing data, mainly using basic principles of physics while Theoretical astronomy is oriented towards the development of computer or analytical models to describe astronomical objects and phenomena."
51,This discipline is the science of celestial objects and phenomena that originate outside the Earth's atmosphere.
52,"It is concerned with the evolution, physics, chemistry, meteorology, and motion of celestial objects, as well as the formation and development of the universe."
53,"Astronomy includes the examination, study and modeling of stars, planets, comets."
54,"Most of the information used by astronomers is gathered by remote observation, although some laboratory reproduction of celestial phenomena has been performed (such as the molecular chemistry of the interstellar medium)."
55,"While the origins of the study of celestial features and phenomena can be traced back to antiquity, the scientific methodology of this field began to develop in the middle of the 17th century."
56,A key factor was Galileo's introduction of the telescope to examine the night sky in more detail.
57,"The mathematical treatment of astronomy began with Newton's development of celestial mechanics and the laws of gravitation, although it was triggered by earlier work of astronomers such as Kepler."
58,"By the 19th century, astronomy had developed into a formal science, with the introduction of instruments such as the spectroscope and photography, along with much-improved telescopes and the creation of professional observatories."
59,"Physics plays a significant role in the other natural sciences, as represented by astrophysics, geophysics, chemical physics and biophysics."
60,"Likewise chemistry is represented by such fields as biochemistry, chemical biology, geochemistry and astrochemistry."
61,A particular example of a scientific discipline that draws upon multiple natural sciences is environmental science.
62,"This field studies the interactions of physical, chemical, geological, and biological components of the environment, with particular regard to the effect of human activities and the impact on biodiversity and sustainability."
63,"This science also draws upon expertise from other fields such as economics, law, and social sciences."
64,"A comparable discipline is oceanography, as it draws upon a similar breadth of scientific disciplines."
65,"Oceanography is sub-categorized into more specialized cross-disciplines, such as physical oceanography and marine biology."
66,"As the marine ecosystem is very large and diverse, marine biology is further divided into many subfields, including specializations in particular species."
68,"Put another way: In some fields of integrative application, specialists in more than one field are a key part of the most dialog."
69,"Such integrative fields, for example, include nanoscience, astrobiology, and complex system informatics."
70,"Originally developed through the field of metallurgy, the study of the properties of materials and solids has now expanded into all materials."
71,"The field covers the chemistry, physics and engineering applications of materials including metals, ceramics, artificial polymers, and many others."
72,The core of the field deals with relating structure of material with it properties.
73,It is at the forefront of research in science and engineering.
74,"It is an important part of forensic engineering (the investigation of materials, products, structures or components that fail or do not operate or function as intended, causing personal injury or damage to property) and failure analysis, the latter being the key to understanding, for example, the cause of various aviation accidents."
75,"Many of the most pressing scientific problems that are faced today are due to the limitations of the materials that are available and, as a result, breakthroughs in this field are likely to have a significant impact on the future of technology."
76,"The basis of materials science involves studying the structure of materials, and relating them to their properties."
77,"Once a materials scientist knows about this structure-property correlation, they can then go on to study the relative performance of a material in a certain application."
78,The major determinants of the structure of a material and thus of its properties are its constituent chemical elements and the way in which it has been processed into its final form.
79,"These characteristics, taken together and related through the laws of thermodynamics and kinetics, govern a material's microstructure, and thus its properties."
80,"People observed and built up knowledge about the behavior of animals and the usefulness of plants as food and medicine, which was passed down from generation to generation."
81,"These primitive understandings gave way to more formalized inquiry around 3500 to 3000 BC in the Mesopotamian and Ancient Egyptian cultures, which produced the first known written evidence of natural philosophy, the precursor of natural science."
82,"They focused on the yin and yang, or contrasting elements in nature; the yin was associated with femininity and coldness, while yang was associated with masculinity and warmth."
83,"The five phases – fire, earth, metal, wood and water – described a cycle of transformations in nature."
84,"Water turned into wood, which turned into fire when it burned."
85,The ashes left by fire were earth.
86,They reveal a conception of the universe as ever-expanding and constantly being recycled and reformed.
87,"Surgeons in the Ayurvedic tradition saw health and illness as a combination of three humors: wind, bile and phlegm."
88,A healthy life was the result of a balance among these humors.
89,"In Ayurvedic thought, the body consisted of five elements: earth, water, fire, wind and empty space."
90,Natural phenomena such as earthquakes and eclipses were explained increasingly in the context of nature itself instead of being attributed to angry gods.
91,"Thales of Miletus, an early philosopher who lived from 625 to 546 BC, explained earthquakes by theorizing that the world floated on water and that water was the fundamental element in nature."
92,"In the 5th century BC, Leucippus was an early exponent of atomism, the idea that the world is made up of fundamental indivisible particles."
93,"Pythagoras applied Greek innovations in mathematics to astronomy, and suggested that the earth was spherical."
94,"Aristotle, however, a student of Plato who lived from 384 to 322 BC, paid closer attention to the natural world in his philosophy."
95,"In his History of Animals, he described the inner workings of 110 species, including the stingray, catfish and bee."
96,He investigated chick embryos by breaking open eggs and observing them at various stages of development.
97,"Aristotle's works were influential through the 16th century, and he is considered to be the father of biology for his pioneering work in that science."
98,"He also presented philosophies about physics, nature, and astronomy using inductive reasoning in his works Physics and Meteorology."
99,"While Aristotle considered natural philosophy more seriously than his predecessors, he approached it as a theoretical branch of science."
100,"Still, inspired by his work, Ancient Roman  philosophers of the early 1st century AD, including Lucretius, Seneca and Pliny the Elder, wrote treatises that dealt with the rules of the natural world in varying degrees of depth."
101,Many Ancient Roman Neoplatonists of the 3rd to the 6th centuries also adapted Aristotle's teachings on the physical world to a philosophy that emphasized spiritualism.
102,"Unlike Aristotle who based his physics on verbal argument, Philoponus instead relied on observation, and argued for observation rather than resorting into verbal argument."
103,He introduced the theory of impetus.
104,"The words alcohol, algebra and zenith all have Arabic roots."
105,The development of European civilization later in the Middle Ages brought with it further advances in natural philosophy.
106,"European inventions such as the horseshoe, horse collar and crop rotation allowed for rapid population growth, eventually giving way to urbanization and the foundation of schools connected to monasteries and cathedrals in modern-day France and England."
107,"Aided by the schools, an approach to Christian theology developed that sought to answer questions about nature and other subjects using logic."
108,"This approach, however, was seen by some detractors as heresy."
109,"By the 12th century, Western European scholars and philosophers came into contact with a body of knowledge of which they had previously been ignorant: a large corpus of works in Greek and Arabic that were preserved by Islamic scholars."
110,"Through translation into Latin, Western Europe was introduced to Aristotle and his natural philosophy."
111,"These works were taught at new universities in Paris and Oxford by the early 13th century, although the practice was frowned upon by the Catholic church."
112,"A 1210 decree from the Synod of Paris ordered that ""no lectures are to be held in Paris either publicly or privately using Aristotle's books on natural philosophy or the commentaries, and we forbid all this under pain of excommunication."
113,"""In the late Middle Ages, Spanish philosopher Dominicus Gundissalinus translated a treatise by the earlier Persian scholar Al-Farabi called On the Sciences into Latin, calling the study of the mechanics of nature scientia naturalis, or natural science."
114,Gundissalinus also proposed his own classification of the natural sciences in his 1150 work On the Division of Philosophy.
115,This was the first detailed classification of the sciences based on Greek and Arab philosophy to reach Western Europe.
116,"Gundissalinus defined natural science as ""the science considering only things unabstracted and with motion,"" as opposed to mathematics and sciences that rely on mathematics."
117,"Robert Kilwardby wrote On the Order of the Sciences in the 13th century that classed medicine as a mechanical science, along with agriculture, hunting and theater while defining natural science as the science that deals with bodies in motion."
118,"Roger Bacon, an English friar and philosopher, wrote that natural science dealt with ""a principle of motion and rest, as in the parts of the elements of fire, air, earth and water, and in all inanimate things made from them."""
119,"These sciences also covered plants, animals and celestial bodies."
120,"Later in the 13th century, a Catholic priest and theologian Thomas Aquinas defined natural science as dealing with ""mobile beings"" and  ""things which depend on a matter not only for their existence but also for their definition."""
121,"There was wide agreement among scholars in medieval times that natural science was about bodies in motion, although there was division about the inclusion of fields including medicine, music and perspective."
122,"Natural philosophy appeared in a wide range of forms, from treatises to encyclopedias to commentaries on Aristotle."
123,"The interaction between natural philosophy and Christianity was complex during this period; some early theologians, including Tatian and Eusebius, considered natural philosophy an outcropping of pagan Greek science and were suspicious of it."
124,"Although some later Christian philosophers, including Aquinas, came to see natural science as a means of interpreting scripture, this suspicion persisted until the 12th and 13th centuries."
125,"The Condemnation of 1277, which forbade setting philosophy on a level equal with theology and the debate of religious constructs in a scientific context, showed the persistence with which Catholic leaders resisted the development of natural philosophy even from a theological perspective."
126,"Aquinas and Albertus Magnus, another Catholic theologian of the era, sought to distance theology from science in their works."
127,"""I don't see what one's interpretation of Aristotle has to do with the teaching of the faith,"" he wrote in 1271."
128,"The invention of the printing press in the 15th century, the invention of the microscope and telescope, and the Protestant Reformation fundamentally altered the social context in which scientific inquiry evolved in the West."
129,"Christopher Columbus's discovery of a new world changed perceptions about the physical makeup of the world, while observations by Copernicus, Tyco Brahe and Galileo brought a more accurate picture of the solar system as heliocentric and proved many of Aristotle's theories about the heavenly bodies false."
130,Bacon was instrumental in popularizing this change; he argued that people should use the arts and sciences to gain dominion over nature.
131,"To achieve this, he wrote that ""human life [must] be endowed with new discoveries and powers."""
132,"He defined natural philosophy as ""the knowledge of Causes and secret motions of things; and enlarging the bounds of Human Empire, to the effecting of all things possible."""
133,"Bacon proposed that scientific inquiry be supported by the state and fed by the collaborative research of scientists, a vision that was unprecedented in its scope, ambition and form at the time."
134,"Natural philosophers came to view nature increasingly as a mechanism that could be taken apart and understood, much like a complex clock."
135,"Natural philosophers including Isaac Newton, Evangelista Torricelli and Francesco Redi conducted experiments focusing on the flow of water, measuring atmospheric pressure using a barometer and disproving spontaneous generation."
136,"Scientific societies and scientific journals emerged and were spread widely through the printing press, touching off the scientific revolution."
137,"According to Cohen, ""the emancipation of science from an overarching entity called 'natural philosophy' is one defining characteristic of the Scientific Revolution."""
138,"Other historians of science, including Edward Grant, contend that the scientific revolution that blossomed in the 17th, 18th and 19th centuries occurred when principles learned in the exact sciences of optics, mechanics and astronomy began to be applied to questions raised by natural philosophy."
139,"Grant argues that Newton attempted to expose the mathematical basis of nature – the immutable rules it obeyed – and in doing so joined natural philosophy and mathematics for the first time, producing an early work of modern physics."
140,"The scientific revolution, which began to take hold in the 17th century, represented a sharp break from Aristotelian modes of inquiry."
141,One of its principal advances was the use of the scientific method to investigate nature.
142,Data was collected and repeatable measurements made in experiments.
