,0
0,"Time is the indefinite continued progress of existence and events that occur in an apparently irreversible succession from the past, through the present, into the future."
1,"It is a component quantity of various measurements used to sequence events, to compare the duration of events or the intervals between them, and to quantify rates of change of quantities in material reality or in the conscious experience."
2,"Examples of events are the collision or two particles, the explosion of a supernova, or the arrival of a rocket ship."
3,Every event can be assigned four numbers representing its time and position (the event's coordinates).
4,"However, the numerical values are different for different observers."
5,"In general relativity, the question of what time it is now only has meaning relative to a particular observer."
6,"Distance and time are intimately related and the time required for light to travel a specific distance is the same for all observers, as first publicly demonstrated by Michelson and Morley."
7,General relativity does not address the nature of time for extremely small intervals where quantum mechanics holds.
8,"At this time, there is no generally accepted theory of quantum general relativity."
9,Time is one of the seven fundamental physical quantities in both the International System of Units (SI) and International System of Quantities.
11,Time is used to define other quantities – such as velocity – so defining time in terms of such quantities would result in circularity of definition.
12,"An operational definition of time, wherein one says that observing a certain number of repetitions of one or another standard cyclical event (such as the passage of a free-swinging pendulum) constitutes one standard unit such as the second, is highly useful in the conduct of both advanced experiments and everyday affairs of life."
13,"To describe observations of an event, a location (position in space) and time are typically noted."
14,The operational definition of time does not address what the fundamental nature of it is.
15,"It does not address why events can happen forward and backwards in space, whereas events only happen in the forward progress of time."
16,Investigations into the relationship between space and time led physicists to define the spacetime continuum.
17,General relativity is the primary framework for understanding how spacetime works.
18,"Through advances in both theoretical and experimental investigations of space-time, it has been shown that time can be distorted and dilated, particularly at the edges of black holes."
19,"Temporal measurement has occupied scientists and technologists, and was a prime motivation in navigation and astronomy."
20,Periodic events and periodic motion have long served as standards for units of time.
21,"Examples include the apparent motion of the sun across the sky, the phases of the moon, the swing of a pendulum, and the beat of a heart."
22,"Currently, the international unit of time, the second, is defined by measuring the electronic transition frequency of caesium atoms (see below)."
23,"Time is also of significant social importance, having economic value (""time is money"") as well as personal value, due to an awareness of the limited time in each day and in human life spans."
24,"There are many systems for determining what time it is, including the Global Positioning System, other satellite systems, Coordinated Universal Time and mean solar time."
25,"In general, the numbers obtained from different time systems differ from one another."
26,"In day-to-day life, the clock is consulted for periods less than a day whereas the calendar is consulted for periods longer than a day."
27,"Increasingly, personal electronic devices display both calendars and clocks simultaneously."
28,The number (as on a clock dial or calendar) that marks the occurrence of a specified event as to hour or date is obtained by counting from a fiducial epoch – a central reference point.
29,"Without intercalation to add days or months to some years, seasons quickly drift in a calendar based solely on twelve lunar months."
30,"The numbers twelve and thirteen came to feature prominently in many cultures, at least partly due to this relationship of months to years."
31,"Other early forms of calendars originated in Mesoamerica, particularly in ancient Mayan civilization."
32,This Julian calendar was faulty in that its intercalation still allowed the astronomical solstices and equinoxes to advance against it by about 11 minutes per year.
33,"Pope Gregory XIII introduced a correction in 1582; the Gregorian calendar was only slowly adopted by different nations over a period of centuries, but it is now by far the most commonly used calendar around the world."
34,"During the French Revolution, a new clock and calendar were invented in an attempt to de-Christianize time and create a more rational system in order to replace the Gregorian calendar."
35,"The French Republican Calendar's days consisted of ten hours of a hundred minutes of a hundred seconds, which marked a deviation from the base 12 (duodecimal) system used in many other devices by many cultures."
37,The T was oriented eastward in the mornings.
38,The position of the shadow marks the hour in local time.
39,"The idea to separate the day into smaller parts is credited to Egyptians because of their sundials, which operated on a duodecimal system."
40,"They could be used to measure the hours even at night, but required manual upkeep to replenish the flow of water."
41,The ancient Greeks and the people from Chaldea (southeastern Mesopotamia) regularly maintained timekeeping records as an essential part of their astronomical observations.
42,Arab inventors and engineers in particular made improvements on the use of water clocks up to the Middle Ages.
43,"In the 11th century, Chinese inventors and engineers invented the first mechanical clocks driven by an escapement mechanism."
44,The hourglass uses the flow of sand to measure the flow of time.
45,They were used in navigation.
46,"Waterclocks, and later, mechanical clocks, were used to mark the events of the abbeys and monasteries of the Middle Ages."
47,"The passage of the hours at sea were marked by bells, and denoted the time (see ship's bell)."
48,The hours were marked by bells in abbeys as well as at sea.
49,"Clocks can range from watches, to more exotic varieties such as the Clock of the Long Now."
50,"They can be driven by a variety of means, including gravity, springs, and various forms of electrical power, and regulated by a variety of means such as a pendulum."
