,0
0,"The Russian Revolution was a period of political and social revolution across the territory of the Russian Empire, commencing with the abolition of the monarchy in 1917 and concluding in 1923 with the Bolshevik establishment of the Soviet Union at the end of the Civil War."
1,"It began during the First World War, with the February Revolution that was focused in and around the then-capital, Petrograd (now Saint Petersburg)."
2,"The revolution erupted in the context of Russia's major military losses during the war, which resulted in much of the Russian Army being ready to mutiny."
3,"In the chaos, members of the Duma, Russia's parliament, assumed control of the country, forming the Russian Provisional Government."
4,This was dominated by the interests of large capitalists and the Russian nobility and aristocracy.
5,"The army leadership felt they did not have the means to suppress the revolution, and Emperor Nicholas II abdicated his throne."
6,"Grassroots community assemblies called ""Soviets"", which were dominated by soldiers and the urban industrial proletariat, initially permitted the Provisional Government to rule but insisted on a prerogative to influence the government and control various militias."
7,"A period of dual power ensued, during which the Provisional Government held state power while the national network of Soviets, led by socialists, had the allegiance of the lower classes and, increasingly, the left-leaning urban middle class."
8,"During this chaotic period, there were frequent mutinies, protests and strikes."
9,"Many socialist political organizations were engaged in daily struggle and vied for influence within the Duma and the Soviets, central among which were the Bolsheviks (""Ones of the Majority"") led by Vladimir Lenin."
10,"He campaigned for an immediate end of Russia's participation in the war, granting land to the peasants, and providing bread to the urban workers."
11,"When the Provisional Government chose to continue fighting the war with Germany, the Bolsheviks and other socialist factions exploited the virtually universal disdain towards the war effort as justification to advance the revolution further."
12,They soon relocated the national capital to Moscow.
13,"The Bolsheviks had secured a strong base of support within the Soviets and, as the supreme governing party, established a federal government dedicated to reorganizing the former empire into the world's first socialist state, to practice soviet democracy on a national and international scale."
14,Their promise to end Russia's participation in the First World War was fulfilled when the Bolshevik leaders signed the Treaty of Brest-Litovsk with Germany in March 1918.
15,"To further secure the new state, the Bolsheviks established the Cheka, a secret police that functioned as a revolutionary security service to weed out, execute, or punish those considered to be ""enemies of the people"" in campaigns consciously modeled on those of the French Revolution."
16,"Soon after, civil war erupted among the ""Reds"" (Bolsheviks), the ""Whites"" (counter-revolutionaries), the independence movements, and other socialist factions opposed to the Bolsheviks."
17,"It continued for several years, during which the Bolsheviks defeated both the Whites and all rival socialists."
18,"Victorious, they reconstituted themselves as the Communist Party."
19,"They also established Soviet power in the newly independent republics of Armenia, Azerbaijan, Belarus, Georgia and Ukraine."
20,They brought these jurisdictions into unification under the Union of Soviet Socialist Republics (USSR) in 1922.
21,"While many notable historical events occurred in Moscow and Petrograd, there were also major changes in cities throughout the state, and among national minorities throughout the empire and in the rural areas, where peasants took over and redistributed land."
22,The events of Bloody Sunday triggered nationwide protests and soldier mutinies.
23,A short wave of patriotic nationalism ended in the face of defeats and poor conditions on the Eastern Front of World War I.
24,"The Tsar made the situation  worse by taking personal control of the Imperial Russian Army in 1915, a challenge far beyond his skills."
25,He was now held personally responsible for Russia's continuing defeats and losses.
26,"In addition, Tsarina Alexandra, left to rule in while the Tsar commanded at the front, was German born, leading to suspicion of collusion, only to be exacerbated by rumors relating to her relationship with the controversial mystic Grigori Rasputin."
27,"This was particularly apparent in the cities, owing to a lack of food in response to the disruption of agriculture."
28,"Food scarcity had become a considerable problem in Russia, but the cause of this did not lie in any failure of the harvests, which had not been significantly altered during wartime."
29,"The indirect reason was that the government, in order to finance the war, printed millions of ruble notes, and by 1917, inflation had made prices increase up to four times what they had been in 1914."
30,"Farmers were consequently faced with a higher cost of living, but with little increase in income."
31,"As a result, they tended to hoard their grain and to revert to subsistence farming."
32,Thus the cities were constantly short of food.
33,"At the same time, rising prices led to demands for higher wages in the factories, and in January and February 1916, revolutionary propaganda, in part aided by German funds, led to widespread strikes."
34,"This resulted in a growing criticism of the government, including an increased participation of workers in revolutionary parties."
35,"Liberal parties too had an increased platform to voice their complaints, as the initial fervor of the war resulted in the Tsarist government creating a variety of political organizations."
36,"In July 1915, a Central War Industries Committee was established under the chairmanship of a prominent Octobrist, Alexander Guchkov (1862–1936), including ten workers' representatives."
37,The Petrograd Mensheviks agreed to join despite the objections of their leaders abroad.
38,"Early in 1916, Guchkov discussed with senior army officers and members of the Central War Industries Committee about a possible coup to force the abdication of the Tsar."
39,"In December, a small group of nobles assassinated Rasputin, and in January 1917 the Tsar's cousin, Grand Duke Nicholas, was asked indirectly by Prince Lvov whether he would be prepared to take over the throne from his nephew, Tsar Nicholas II."
40,French and German Social Democrats had voted in favour of their respective governments' war efforts.
