,0
0,Social science is the branch of science devoted to the study of societies and the relationships among individuals within those societies.
1,"The term was formerly used to refer to the field of sociology, the original ""science of society"", established in the  century."
2,"In addition to sociology, it now encompasses a wide array of academic disciplines, including anthropology, archaeology, economics, human geography, linguistics, management science, media studies, political science, psychology, and history."
3,(For a more detailed list of sub-disciplines within the social sciences see: Outline of social science.)
4,"Positivist social scientists use methods resembling those of the natural sciences as tools for understanding society, and so define science in its stricter modern sense."
5,"Interpretivist social scientists, by contrast, may use social critique or symbolic interpretation rather than constructing empirically falsifiable theories, and thus treat science in its broader sense."
6,"In modern academic practice, researchers are often eclectic, using multiple methodologies (for instance, by combining both quantitative and qualitative research)."
7,"The term ""social research"" has also acquired a degree of autonomy as practitioners from various disciplines share the same aims and methods."
8,"Social sciences came forth from the moral philosophy of the time and were influenced by the Age of Revolutions, such as the Industrial Revolution and the French Revolution."
9,The growth of the social sciences is also reflected in other specialized encyclopedias.
10,"The modern period saw ""social science"" first used as a distinct conceptual field."
11,"Social science was influenced by positivism, focusing on knowledge based on actual positive sense experience and avoiding the negative; metaphysical speculation was avoided."
12,One route that was taken was the rise of social research.
13,Large statistical surveys were undertaken in various parts of the United States and Europe.
14,"Another route undertaken was initiated by Émile Durkheim, studying ""social facts"", and Vilfredo Pareto, opening metatheoretical ideas and individual theories."
15,"A third means developed, arising from the methodological dichotomy present, in which social phenomena were identified with and understood; this was championed by figures such as Max Weber."
16,"The fourth route taken, based in economics, was developed and furthered economic knowledge as a hard science."
17,The last path was the correlation of knowledge and social values; the antipositivism and verstehen sociology of Max Weber firmly demanded this distinction.
18,"In this route, theory (description) and prescription were non-overlapping formal discussions of a subject."
19,The foundation of social sciences in the West implies conditioned relationships between progressive and traditional spheres of knowledge.
20,"In some contexts, such as the Italian one, sociology slowly affirms itself and experiences the difficulty of affirming a strategic knowledge beyond philosophy and theology (Cfr."
23,"Around the start of the 20th century, Enlightenment philosophy was challenged in various quarters."
24,"After the use of classical theories since the end of the scientific revolution, various fields substituted mathematics studies for experimental studies and examining equations to build a theoretical structure."
25,The development of social science subfields became very quantitative in methodology.
26,"The interdisciplinary and cross-disciplinary nature of scientific inquiry into human behaviour, social and environmental factors affecting it, made many of the natural sciences interested in some aspects of social science methodology."
27,"Examples of boundary blurring include emerging disciplines like social research of medicine, sociobiology, neuropsychology, bioeconomics and the history and sociology of science."
28,"Increasingly, quantitative research and qualitative methods are being integrated in the study of human action and its implications and consequences."
29,"In the first half of the 20th century, statistics became a free-standing discipline of applied mathematics."
30,Statistical methods were used confidently.
31,"In the contemporary period, Karl Popper and Talcott Parsons influenced the furtherance of the social sciences."
32,"Researchers continue to search for a unified consensus on what methodology might have the power and refinement to connect a proposed ""grand theory"" with the various midrange theories that, with considerable success, continue to provide usable frameworks for massive, growing data banks; for more, see consilience."
33,"Social science disciplines are defined and recognized by the academic journals in which research is published, and the learned social science societies and academic departments or faculties to which their practitioners belong."
34,"Social science fields of study usually have several sub-disciplines or branches, and the distinguishing lines between these are often both arbitrary and ambiguous."
35,"The discipline deals with the integration of different aspects of the social sciences, humanities, and human biology."
36,"In the twentieth century, academic disciplines have often been institutionally divided into three broad domains."
37,The natural sciences seek to derive general laws through reproducible and verifiable experiments.
38,"The humanities generally study local traditions, through their history, literature, music, and arts, with an emphasis on understanding particular individuals, events, or eras."
39,"The social sciences have generally attempted to develop scientific methods to understand social phenomena in a generalizable way, though usually with methods distinct from those of the natural sciences."
40,"The anthropological social sciences often develop nuanced descriptions rather than the general laws derived in physics or chemistry, or they may explain individual cases through more general principles, as in many fields of psychology."
41,"Anthropology (like some fields of history) does not easily fit into one of these categories, and different branches of anthropology draw on one or more of these domains."
42,"Within the United States, anthropology is divided into four sub-fields: archaeology, physical or biological anthropology, anthropological linguistics, and cultural anthropology."
43,It is an area that is offered at most undergraduate institutions.
45,"Eric Wolf described sociocultural anthropology as ""the most scientific of the humanities, and the most humanistic of the sciences""."
46,The goal of anthropology is to provide a holistic account of humans and human nature.
47,"This means that, though anthropologists generally specialize in only one sub-field, they always keep in mind the biological, linguistic, historic and cultural aspects of any problem."
48,"Since anthropology arose as a science in Western societies that were complex and industrial, a major trend within anthropology has been a methodological drive to study peoples in societies with more simple social organization, sometimes called ""primitive"" in anthropological literature, but without any connotation of ""inferior""."
49,"Today, anthropologists use terms such as ""less complex"" societies or refer to specific modes of subsistence or production, such as ""pastoralist"" or ""forager"" or ""horticulturalist"" to refer to humans living in non-industrial, non-Western cultures, such people or folk (ethnos) remaining of great interest within anthropology."
50,"The quest for holism leads most anthropologists to study a people in detail, using biogenetic, archaeological, and linguistic data alongside direct observation of contemporary customs."
51,"In the 1990s and 2000s, calls for clarification of what constitutes a culture, of how an observer knows where his or her own culture ends and another begins, and other crucial topics in writing anthropology were heard."
52,"It is possible to view all human cultures as part of one large, evolving global culture."
53,"These dynamic relationships, between what can be observed on the ground, as opposed to what can be observed by compiling many local observations remain fundamental in any kind of anthropology, whether cultural, biological, linguistic or archaeological."
54,"The discipline encompasses a range of topics, from face-to-face conversation to mass media outlets such as television broadcasting."
55,"Communication studies also examines how messages are interpreted through the political, cultural, economic, and social dimensions of their contexts."
56,"Communication is institutionalized under many different names at different universities, including ""communication"", ""communication studies"", ""speech communication"", ""rhetorical studies"", ""communication science"", ""media studies"", ""communication arts"", ""mass communication"", ""media ecology"", and ""communication and media science""."
57,Communication studies integrates aspects of both social sciences and the humanities.
58,"As a social science, the discipline often overlaps with sociology, psychology, anthropology, biology, political science, economics, and public policy, among others."
59,"From a humanities perspective, communication is concerned with rhetoric and persuasion (traditional graduate programs in communication studies trace their history to the rhetoricians of Ancient Greece)."
60,"The field applies to outside disciplines as well, including engineering, architecture, mathematics, and information science."
62,"An economist is a person using economic concepts and data in the course of employment, or someone who has earned a degree in the subject."
63,"The classic brief definition of economics, set out by Lionel Robbins in 1932, is ""the science which studies human behavior as a relation between ends and scarce means which have alternative uses""."
64,"Without scarcity and alternative uses, there is no economic problem."
65,"Briefer yet is ""the study of how people seek to satisfy needs and wants"" and ""the study of the financial aspects of human behavior""."
66,"Economics has two broad branches: microeconomics, where the unit of analysis is the individual agent, such as a household or firm, and macroeconomics, where the unit of analysis is an economy as a whole."
67,"Another division of the subject distinguishes positive economics, which seeks to predict and explain economic phenomena, from normative economics, which orders choices and actions by some criterion; such orderings necessarily involve subjective value judgments."
68,"Since the early part of the 20th century, economics has focused largely on measurable quantities, employing both theoretical models and empirical analysis."
69,"Quantitative models, however, can be traced as far back as the physiocratic school."
70,"Economic reasoning has been increasingly applied in recent decades to other social situations such as politics, law, psychology, history, religion, marriage and family life, and other social interactions."
71,"This paradigm crucially assumes that resources are scarce because they are not sufficient to satisfy all wants, and that ""economic value"" is willingness to pay as revealed for instance by market (arms' length) transactions."
72,"Rival heterodox schools of thought, such as institutional economics, green economics, Marxist economics, and economic sociology, make other grounding assumptions."
73,"For example, Marxist economics assumes that economics primarily deals with the investigation of exchange value, of which human labour is the source."
74,The expanding domain of economics in the social sciences has been described as economic imperialism.
75,Education has as one of its fundamental rights the imparting of culture from generation to generation (see socialization).
76,"To educate means 'to draw out', from the Latin educare, or to facilitate the realization of an individual's potential and talents."
77,"(Some believe that education begins even before birth, as evidenced by some parents' playing music or reading to the baby in the womb in the hope it will influence the child's development.)"
78,"For some, the struggles and triumphs of daily life provide far more instruction than does formal schooling (thus Mark Twain's admonition to ""never let school interfere with your education"")."
79,"The former focuses largely on the built environment and how space is created, viewed and managed by humans as well as the influence humans have on the space they occupy."
80,"This may involve cultural geography, transportation, health, military operations, and cities."
81,"The latter examines the natural environment and how the climate, vegetation and life, soil, oceans, water and landforms are produced and interact."
82,Physical geography examines phenomena related to the measurement of earth.
83,"As a result of the two subfields using different approaches a third field has emerged, which is environmental geography."
84,Environmental geography combines physical and human geography and looks at the interactions between the environment and humans.
85,"Other branches of geography include social geography, regional geography, and geomatics."
86,Geographers attempt to understand the Earth in terms of physical and spatial relationships.
87,The first geographers focused on the science of mapmaking and finding ways to precisely project the surface of the earth.
88,"In this sense, geography bridges some gaps between the natural sciences and social sciences."
89,Historical geography is often taught in a college in a unified Department of Geography.
90,"Modern geography is an all-encompassing discipline, closely related to GISc, that seeks to understand humanity and its natural environment."
91,"The fields of urban planning, regional science, and planetology are closely related to geography."
92,"Practitioners of geography use many technologies and methods to collect data such as GIS, remote sensing, aerial photography, statistics, and global positioning systems (GPS)."
93,History has a base in both the social sciences and the humanities.
94,In the United States the National Endowment for the Humanities includes history in its definition of humanities (as it does for applied linguistics).
95,"However, the National Research Council classifies history as a social science."
96,The historical method comprises the techniques and guidelines by which historians use primary sources and other evidence to research and then to write history.
97,"The Social Science History Association, formed in 1976, brings together scholars from numerous disciplines interested in social history."
98,"However, many laws are based on norms accepted by a community and thus have an ethical foundation."
99,"The study of law crosses the boundaries between the social sciences and humanities, depending on one's view of research into its objectives and effects."
100,"Law is not always enforceable, especially in the international relations context."
101,"It has been defined as a ""system of rules"", as an ""interpretive concept"" to achieve justice, as an ""authority"" to mediate people's interests, and even as ""the command of a sovereign, backed by the threat of a sanction""."
102,"However one likes to think of law, it is a completely central social institution."
103,Legal policy incorporates the practical manifestation of thinking from almost every social science and the humanities.
107,"And law is economics, because any rule about contract, tort, property law, labour law, company law and many more can have long-lasting effects on the distribution of wealth."
108,"The noun law derives from the late Old English lagu, meaning something laid down or fixed and the adjective legal comes from the Latin word lex."
109,"The field is divided into areas that focus on aspects of the linguistic signal, such as syntax (the study of the rules that govern the structure of sentences), semantics (the study of meaning), morphology (the study of the structure of words), phonetics (the study of speech sounds) and phonology (the study of the abstract sound system of a particular language); however, work in areas like evolutionary linguistics (the study of the origins and evolution of language) and psycholinguistics (the study of psychological factors in human language) cut across these divisions."
110,"The overwhelming majority of modern research in linguistics takes a predominantly synchronic perspective (focusing on language at a particular point in time), and a great deal of it—partly owing to the influence of Noam Chomsky—aims at formulating theories of the cognitive processing of language."
111,"However, language does not exist in a vacuum, or only in the brain, and approaches like contact linguistics, creole studies, discourse analysis, social interactional linguistics, and sociolinguistics explore language in its social context."
112,"Sociolinguistics often makes use of traditional quantitative analysis and statistics in investigating the frequency of features, while some disciplines, like contact linguistics, focus on qualitative analysis."
113,"While certain areas of linguistics can thus be understood as clearly falling within the social sciences, other areas, like acoustic phonetics and neurolinguistics, draw on the natural sciences."
114,"Linguistics draws only secondarily on the humanities, which played a rather greater role in linguistic inquiry in the 19th and early 20th centuries."
115,Ferdinand Saussure is considered the father of modern linguistics.
116,"Fields and subfields of political science include political economy, political theory and philosophy, civics and comparative politics, theory of direct democracy, apolitical governance, participatory direct democracy, national systems, cross-national political analysis, political development, international relations, foreign policy, international law, politics, public administration, administrative behaviour, public law, judicial behaviour, and public policy."
119,"Approaches to the discipline include rational choice, classical political philosophy, interpretivism, structuralism, and behaviouralism, realism, pluralism, and institutionalism."
120,"Political science, as one of the social sciences, uses methods and techniques that relate to the kinds of inquiries sought: primary sources such as historical documents, interviews, and official records, as well as secondary sources such as scholarly articles are used in building and testing theories."
121,"Empirical methods include survey research, statistical analysis or econometrics, case studies, experiments, and model building."
122,"Herbert Baxter Adams is credited with coining the phrase ""political science"" while teaching history at Johns Hopkins University."
