,0
0,"The Soviet Union, officially the Union of Soviet Socialist Republics (USSR), was a federal socialist state in Northern Eurasia that existed from 1922 to 1991."
1,"Nominally a union of multiple national Soviet republics, it was a one-party state prior to 1990 governed by the Communist Party, with Moscow as its capital in its largest republic, the Russian SFSR."
2,"Other major urban centers were Leningrad (Russian SFSR), Kiev (Ukrainian SSR), Minsk (Byelorussian SSR), Tashkent (Uzbek SSR), Alma-Ata (Kazakh SSR) and Novosibirsk (Russian SFSR)."
3,"It was the largest country in the world by surface area, spanning over 10,000 kilometers (6,200 mi) east to west across 11 time zones and over 7,200 kilometers (4,500 mi) north to south."
4,"Its territory included much of Eastern Europe, parts of Northern Europe and Western Asia, and all of Central and North Asia."
5,"Its five biomes were tundra, taiga, steppes, desert, and mountains."
6,Its diverse population was officially known as the Soviet people.
7,"The Soviet Union had its roots in the October Revolution of 1917 when the Bolsheviks, headed by Vladimir Lenin, overthrew the Provisional Government that had earlier replaced the monarchy of the Russian Empire."
8,"They established the Russian Soviet Republic, beginning a civil war between the Bolshevik Red Army and many anti-Bolshevik forces across the former Empire, among whom the largest faction was the White Guard, which engaged in violent anti-communist repression against the Bolsheviks and their worker and peasant supporters known as the White Terror."
9,"The Red Army expanded and helped local Bolsheviks take power, establishing soviets, repressing their political opponents and rebellious peasants through Red Terror."
11,"The New Economic Policy (NEP), which was introduced by Lenin, led to a partial return of a free market and private property; this resulted in a period of economic recovery."
12,"Following Lenin's death in 1924, Joseph Stalin came to power."
13,Stalin suppressed all political opposition to his rule inside the Communist Party and inaugurated a command economy.
14,"As a result, the country underwent a period of rapid industrialization and forced collectivization, which led to significant economic growth, but also led to a man-made famine in 1932–1933 and expanded the Gulag labour camp system originally established in 1918."
15,"Stalin also fomented political paranoia and conducted the Great Purge to remove his actual and perceived opponents from the Party through mass arrests of military leaders, Communist Party members, and ordinary citizens alike, who were then sent to correctional labor camps or sentenced to death."
16,"On 23 August 1939, after unsuccessful efforts to form an anti-fascist alliance with Western powers, the Soviets signed the non-aggression agreement with Nazi Germany."
17,"After the start of World War II, the formally neutral Soviets invaded and annexed territories of several Eastern European states, including eastern Poland and the Baltic states."
18,"In June 1941 the Germans invaded, opening the largest and bloodiest theater of war in history."
19,Soviet war casualties accounted for the highest proportion of the conflict in the cost of acquiring the upper hand over Axis forces at intense battles such as Stalingrad.
20,Soviet forces eventually captured Berlin and won World War II in Europe on 9 May 1945.
21,The territory overtaken by the Red Army became satellite states of the Eastern Bloc.
22,"The Cold War emerged in 1947 as a result of a post-war Soviet dominance in Eastern Europe, where the Eastern Bloc confronted the Western Bloc that united in the North Atlantic Treaty Organization in 1949."
23,"Following Stalin's death in 1953, a period known as de-Stalinization and the Khrushchev Thaw occurred under the leadership of Nikita Khrushchev."
24,"The country developed rapidly, as millions of peasants were moved into industrialized cities."
25,The USSR took an early lead in the Space Race with the first ever satellite and the first human spaceflight.
26,"In the 1970s, there was a brief détente of relations with the United States, but tensions resumed when the Soviet Union deployed troops in Afghanistan in 1979."
27,The war drained economic resources and was matched by an escalation of American military aid to Mujahideen fighters.
28,"In the mid-1980s, the last Soviet leader, Mikhail Gorbachev, sought to further reform and liberalize the economy through his policies of glasnost and perestroika."
29,The goal was to preserve the Communist Party while reversing economic stagnation.
30,"The Cold War ended during his tenure and in 1989, Warsaw Pact countries in Eastern Europe overthrew their respective Marxist-Leninist regimes."
31,"In particular, the indecisive action of the Eastern European rulers after the Pan-European Picnic caused the fall of the Iron Curtain, which shattered the formerly powerful communist unity."
32,This led to the rise of strong nationalist and separatist movements inside the USSR as well.
33,"Central authorities initiated a referendum—boycotted by the Baltic republics, Armenia, Georgia, and Moldova—which resulted in the majority of participating citizens voting in favor of preserving the Union as a renewed federation."
35,"It failed, with Russian President Boris Yeltsin playing a high-profile role in facing down the coup, resulting in the banning of the Communist Party."
37,The Russian Federation (formerly the Russian SFSR) assumed the Soviet Union's rights and obligations and is recognized as its continued legal personality.
39,The country had the world's second-largest economy and the largest standing military in the world.
40,The USSR was recognized as one of the five nuclear weapons states.
41,"It was a founding permanent member of the United Nations Security Council as well as a member of the OSCE, the WFTU and the leading member of the Council for Mutual Economic Assistance and the Warsaw Pact."
48,It is written in Cyrillic letters.
49,The Soviets used the Cyrillic abbreviation so frequently that audiences worldwide became familiar with its meaning.
50,"Notably, both Cyrillic letters used have homoglyphic (but transliterally distinct) letters in Latin alphabets."
51,"Because of widespread familiarity with the Cyrillic abbreviation, Latin alphabet users in particular almost always use the Latin homoglyphs C and P (as opposed to the transliteral Latin letters S and R) when rendering the USSR's native abbreviation."
53,"In the English language media, the state was referred to as the Soviet Union or the USSR."
54,"In other European languages, the locally translated short forms and abbreviations are usually used such as Union soviétique and URSS in French, or Sowjetunion and UdSSR in German."
55,"In the English-speaking world, the Soviet Union was also informally called Russia and its citizens Russians, although that was technically incorrect since Russia was only one of the republics."
56,Such misapplications of the linguistic equivalents to the term Russia and its derivatives were frequent in other languages as well.
57,"Covering a sixth of Earth's land surface, its size was comparable to that of North America."
58,"Two other successor states, Kazakhstan and Ukraine, rank among the top 10 countries by land area, and the largest country entirely in Europe, respectively."
59,The European portion accounted for a quarter of the country's area and was the cultural and economic center.
60,"The eastern part in Asia extended to the Pacific Ocean to the east and Afghanistan to the south, and, except some areas in Central Asia, was much less populous."
62,"It had five climate zones: tundra, taiga, steppes, desert and mountains."
65,"The country bordered Afghanistan, China, Czechoslovakia, Finland, Hungary, Iran, Mongolia, North Korea, Norway, Poland, Romania, and Turkey from 1945 to 1991."
66,"The Bering Strait separated the USSR from the United States, while the La Pérouse Strait separated it from Japan."
68,"The USSR also included most of the world's largest lakes; the Caspian Sea (shared with Iran), and Lake Baikal, the world's largest (by volume) and deepest freshwater lake that is also an internal body of water in Russia."
69,"Although serfdom was abolished in 1861, it was done on terms unfavorable to the peasants and served to encourage revolutionaries."
70,"A parliament—the State Duma—was established in 1906 after the Russian Revolution of 1905, but Tsar Nicholas II resisted attempts to move from absolute to a constitutional monarchy."
71,Social unrest continued and was aggravated during World War I by military defeat and food shortages in major cities.
72,"A spontaneous popular uprising in Petrograd, in response to the wartime decay of Russia's economy and morale, culminated in the February Revolution and the toppling of Nicholas II and the imperial government in March 1917."
73,"The tsarist autocracy was replaced by the Russian Provisional Government, which intended to conduct elections to the Russian Constituent Assembly and to continue fighting on the side of the Entente in World War I."
74,"At the same time, workers' councils, known in Russian as ""Soviets"", sprang up across the country."
75,"The Bolsheviks, led by Vladimir Lenin, pushed for socialist revolution in the Soviets and on the streets."
76,"On 7 November 1917, the Red Guards stormed the Winter Palace in Petrograd, ending the rule of the Provisional Government and leaving all political power to the Soviets."
77,This event would later be officially known in Soviet bibliographies as the Great October Socialist Revolution.
78,"In December, the Bolsheviks signed an armistice with the Central Powers, though by February 1918, fighting had resumed."
79,"In March, the Soviets ended involvement in the war and signed the Treaty of Brest-Litovsk."
80,"A long and bloody Civil War ensued between the Reds and the Whites, starting in 1917 and ending in 1923 with the Reds' victory."
81,"It included foreign intervention, the execution of the former tsar and his family, and the famine of 1921, which killed about five million people."
82,"In March 1921, during a related conflict with Poland, the Peace of Riga was signed, splitting disputed territories in Belarus and Ukraine between the Republic of Poland and Soviet Russia."
83,"Soviet Russia had to resolve similar conflicts with the newly established republics of Estonia, Finland, Latvia, and Lithuania."
84,"On 28 December 1922, a conference of plenipotentiary delegations from the Russian SFSR, the Transcaucasian SFSR, the Ukrainian SSR and the Byelorussian SSR approved the Treaty on the Creation of the USSR and the Declaration of the Creation of the USSR, forming the Union of Soviet Socialist Republics."
85,"These two documents were confirmed by the first Congress of Soviets of the USSR and signed by the heads of the delegations, Mikhail Kalinin, Mikhail Tskhakaya, Mikhail Frunze, Grigory Petrovsky, and Alexander Chervyakov, on 30 December 1922."
86,The formal proclamation was made from the stage of the Bolshoi Theatre.
87,"An intensive restructuring of the economy, industry and politics of the country began in the early days of Soviet power in 1917."
88,"A large part of this was done according to the Bolshevik Initial Decrees, government documents signed by Vladimir Lenin."
89,"One of the most prominent breakthroughs was the GOELRO plan, which envisioned a major restructuring of the Soviet economy based on total electrification of the country."
90,The plan became the prototype for subsequent Five-Year Plans and was fulfilled by 1931.
91,"After the economic policy of ""War communism"" during the Russian Civil War, as a prelude to fully developing socialism in the country, the Soviet government permitted some private enterprise to coexist alongside nationalized industry in the 1920s, and total food requisition in the countryside was replaced by a food tax."
92,"From its creation, the government in the Soviet Union was based on the one-party rule of the Communist Party (Bolsheviks)."
93,"The stated purpose was to prevent the return of capitalist exploitation, and that the principles of democratic centralism would be the most effective in representing the people's will in a practical manner."
94,The debate over the future of the economy provided the background for a power struggle in the years after Lenin's death in 1924.
95,"Initially, Lenin was to be replaced by a ""troika"" consisting of Grigory Zinoviev of the Ukrainian SSR, Lev Kamenev of the Russian SFSR, and Joseph Stalin of the Transcaucasian SFSR."
97,"The same year, a Soviet Constitution was approved, legitimizing the December 1922 union."
98,"Despite the foundation of the Soviet state as a federative entity of many constituent republics, each with its own political and administrative entities, the term ""Soviet Russia"" – strictly applicable only to the Russian Federative Socialist Republic – was often applied to the entire country by non-Soviet writers and politicians."
99,"Lenin had appointed Stalin the head of the Workers' and Peasants' Inspectorate, which gave Stalin considerable power."
100,"By gradually consolidating his influence and isolating and outmanoeuvring his rivals within the party, Stalin became the undisputed leader of the country and, by the end of the 1920s, established a totalitarian rule."
101,"In October 1927, Zinoviev and Leon Trotsky were expelled from the Central Committee and forced into exile."
102,"In 1928, Stalin introduced the first five-year plan for building a socialist economy."
103,"In place of the internationalism expressed by Lenin throughout the Revolution, it aimed to build Socialism in One Country."
104,"In industry, the state assumed control over all existing enterprises and undertook an intensive program of industrialization."
105,"In agriculture, rather than adhering to the ""lead by example"" policy advocated by Lenin, forced collectivization of farms was implemented all over the country."
106,"Famines ensued as a result, causing deaths estimated at three to seven million; surviving kulaks were persecuted, and many were sent to Gulags to do forced labor."
