,0
1,Its continental European territory is situated on the Iberian Peninsula.
2,"Its territory also includes two archipelagos: the Canary Islands off the coast of North Africa, and the Balearic Islands in the Mediterranean Sea."
4,Several small islands in the Alboran Sea are also part of Spanish territory.
5,"The country's mainland is bordered to the south and east by the Mediterranean Sea; to the north and northeast by France, Andorra, and the Bay of Biscay; and to the west and northwest by Portugal and the Atlantic Ocean respectively."
7,"Spain's capital and largest city is Madrid; other major urban areas include Barcelona, Valencia, Seville, Zaragoza, Málaga, and Bilbao."
9,"Various cultures developed alongside Phoenician, Greek, Celtic and Carthaginian migration and settlement."
11,"Spain remained under Roman rule until the collapse of the Western Roman Empire in the fourth century, which ushered in Germanic tribal confederations from Central Europe."
12,"The Visigoths emerged as the dominant faction by the fifth century, with their kingdom spanning much of the peninsula."
13,"In the early eighth century, the Visigothic Kingdom was conquered by the Umayyad Caliphate, ushering in over 700 years of Muslim rule."
14,"Islamic Spain became a major economic and intellectual center, with the city of Cordoba being among the largest and richest in Europe."
15,"Several Christian kingdoms emerged in the northern periphery of Iberia, chief among them León, Castile, Aragon, Portugal and Navarre."
16,"Over the next seven centuries, an intermittent southward expansion of these kingdoms—metahistorically framed as a reconquest, or Reconquista—culminated with the Christian seizure of the last Muslim polity, the Nasrid Kingdom of Granada, in 1492."
17,"That same year, Christopher Columbus arrived in the New World on behalf of the Catholic Monarchs, whose dynastic union of Castile and Aragon is sometimes considered the emergence Spain as a unified country."
19,Spain hosts the world's third-largest number of UNESCO World Heritage Sites.
20,"Spain is a secular parliamentary democracy and a parliamentary monarchy, with King Felipe VI as head of state."
21,"It is a highly developed country and a high income country, with the world's fourteenth-largest economy by nominal GDP and the sixteenth-largest by PPP."
27,"It may be a derivation of the Phoenician I-Shpania, meaning ""island of rabbits"", ""land of rabbits"" or ""edge"", a reference to Spain's location at the end of the Mediterranean; Roman coins struck in the region from the reign of Hadrian show a female figure with a rabbit at her feet, and Strabo called it the ""land of the rabbits""."
