,0
1,"From the late 15th century to the early 19th century, Spain controlled a huge overseas territory in the New World, the Southeast Asian archipelago of the Philippines, what they called ""The Indies"" (Spanish: Las Indias) and territories in Europe (centering on the so-called Spanish Road), Africa and Oceania."
4,"The crown's authority in The Indies was enlarged by the papal grant of powers of patronage, giving it power in the religious sphere."
5,"An important element in the formation of Spain's empire was the dynastic union between Isabella I of Castile and Ferdinand II of Aragon, known as the Catholic Monarchs, which initiated political, religious and social cohesion but not political unification."
6,"Iberian kingdoms retained their political identities, with particular administration and juridical configurations."
7,"Although the power of the Spanish sovereign as monarch varied from one territory to another, the monarch acted as such in a unitary manner over all the ruler's territories through a system of councils: the unity did not mean uniformity."
8,"In 1580, when Philip II of Spain succeeded to the throne of Portugal (as Philip I), he established the Council of Portugal, which oversaw Portugal and its empire and ""preserv[ed] its own laws, institutions, and monetary system, and united only in sharing a common sovereign."""
9,"In the early 16th century, it conquered and incorporated the Aztec and Inca empires, retaining indigenous elites loyal to the Spanish crown and converts to Christianity as intermediaries between their communities and royal government."
10,"After a short period of delegation of authority by the crown in the Americas, the crown asserted control over those territories and established the Council of the Indies to oversee rule there."
11,"The crown then established viceroyalties in the two main areas of settlement, Mexico and Peru, both regions of dense indigenous populations and mineral wealth."
12,The Magellan-Elcano circumnavigation—the first circumnavigation of the Earth—laid the foundation for the Pacific oceanic empire of Spain and began the Spanish colonization of the Philippines.
13,The structure of governance of its overseas empire was significantly reformed in the late 18th century by the Bourbon monarchs.
14,"Although the crown attempted to keep its empire a closed economic system under Habsburg rule, Spain was unable to supply the Indies with sufficient consumer goods to meet demand, so that foreign merchants from Genoa, France, England, Germany, and the Netherlands dominated the trade, with silver from the mines of Peru and Mexico flowing to other parts of Europe."
15,The merchant guild of Seville (later Cadiz) served as middlemen in the trade.
16,"The crown's trade monopoly was broken early in the 17th century, with the crown colluding with the merchant guild for fiscal reasons in circumventing the supposedly closed system."
17,"Spain was largely able to defend its territories in the Americas, with the Dutch, the English, and the French only taking small Caribbean islands and outposts, using them to engage in contraband trade with the Spanish populace in the Indies."
18,"The Bourbon monarchy attempted to expand trade within the empire, by allowing commerce between all ports in the empire, and took other measures to revive economic activity to the benefit of Spain."
19,"In the process, they gained a revenue and lost an empire."
20,"Spain experienced its greatest territorial losses during the early 19th century, when its colonies in the Americas began fighting for independence."
21,"By the year 1900 Spain had also lost its colonies in the Caribbean and Pacific, and it was left with only its African possessions."
22,"In Spanish America among the legacies of its relationship with Iberia, Spanish is the dominant language, Catholicism the main religion, and political traditions of representative government can be traced to the Spanish Constitution of 1812."
23,"In conjunction with the Portuguese Empire, the Spanish Empire's establishment in the 15th century ushered in the modern global era and the rise of European dominance in global affairs."
24,The union of Castile and Aragon united the economic and military power of Iberia under one dynasty.
25,"Their dynastic alliance was important for a number of reasons, ruling jointly over a large aggregation of territories although not in a unitary fashion."
26,"They successfully pursued expansion in Iberia in the Christian conquest of the Muslim Kingdom of Granada, completed in 1492, for which Valencia-born Pope Alexander VI gave them the title of the Catholic Monarchs."
27,"The Kingdom of Portugal had an advantage over the Crown of Castile, having earlier retaken territory from the Muslims."
28,"Following Portugal's earlier completion of the reconquest and its establishment of settled boundaries, it began to seek overseas expansion, first to the port of Ceuta (1415) and then by colonizing the Atlantic islands of Madeira (1418) and the Azores (1427–1452); it also began voyages down the west coast of Africa in the fifteenth century."
29,Its rival Castile laid claim to the Canary Islands (1402) and retook territory from the Moors in 1462.
30,"The Christian rivals, Castile and Portugal, came to formal agreements over the division of new territories in the Treaty of Alcaçovas (1479), as well as securing the crown of Castile for Isabella, whose accession was challenged militarily by Portugal."
31,"Following the voyage of Christopher Columbus in 1492 and first major settlement in the New World in 1493, Portugal and Castile divided the world by the Treaty of Tordesillas (1494), which gave Portugal Africa and Asia and the Western Hemisphere to Spain."
32,"The voyage of Christopher Columbus, a Genoese mariner married to a Portuguese woman in Lisbon, obtained the support of Isabella of Castile, sailing west in 1492, seeking a route to the Indies."
33,"Columbus unexpectedly encountered the western hemisphere, populated by peoples he named ""Indians."""
34,"Subsequent voyages and full-scale settlements of Spaniards followed, with gold beginning to flow into Castile's coffers."
35,Managing the expanding empire became an administrative issue.
36,"The reign of Ferdinand and Isabella began the professionalization of the apparatus of government in Spain, which led to a demand for men of letters (letrados) who were university graduates (licenciados), of Salamanca, Valladolid, Complutense and Alcalá."
37,"These lawyer-bureaucrats staffed the various councils of state, eventually including the Council of the Indies and Casa de Contratación, the two highest bodies in metropolitan Spain for the government of the empire in the New World, as well as royal government in The Indies."
38,"To do so, the monarchy implemented a system of encomienda."
39,Encomienda was a method of land control and distribution based upon vassalic ties.
40,"Land would be granted to a noble family, who were then responsible for farming and defending it."
41,"This eventually led to a large land based aristocracy, a separate ruling class that the crown later tried to eliminate in its overseas colonies."
42,"By implementing this method of political organization, the crown was able to implement new forms of private property without completely replacing already existing systems, such as the communal use of resources."
43,"After the military and political conquest, there was an emphasis on religious conquest as well, leading to the creation of the Spanish Inquisition."
44,"Although the Inquisition was technically a part of the Catholic church, Ferdinand and Isabella formed a separate Spanish Inquisition, which led to mass expulsion of Muslims and Jews from the peninsula."
45,"This religious court system was later adopted and transported to the Americas, though they took a less effective role there due to limited jurisdiction and large territories."
46,"It had conquered Melilla in 1497, and further expansionism policy in North Africa was developed during the regency of Ferdinand the Catholic in Castile, stimulated by the Cardinal Cisneros."
47,"Several towns and outposts in the North African coast were conquered and occupied by Castile: Mazalquivir (1505), Peñón de Vélez de la Gomera (1508), Oran (1509), Algiers (1510), Bougie and Tripoli (1510)."
48,"On the Atlantic coast, Spain took possession of the outpost of Santa Cruz de la Mar Pequeña (1476) with support from the Canary Islands, and it was retained until 1525 with the consent of the treaty of Cintra (1509)."
49,"The Spanish princesses married the heirs of Portugal, England and the House of Habsburg."
50,"Following the same strategy, the Catholic Monarchs decided to support the Aragonese house of Naples against Charles VIII of France in the Italian Wars beginning in 1494."
51,Ferdinand's general Gonzalo Fernández de Córdoba took over Naples after defeating the French at the Battle of Cerignola and the Battle of Garigliano in 1503.
52,"In these battles, which established the supremacy of the Spanish Tercios in European battlefields, the forces of the kings of Spain acquired a reputation for invincibility that would last until the mid-17th century."
53,"After the death of Queen Isabella in 1504, and her exclusion of Ferdinand from a further role in Castile, Ferdinand married Germaine de Foix in 1505, cementing an alliance with France."
54,"Had that couple had a surviving heir, likely the Crown of Aragon would have been split from Castile, which was inherited by Charles, Ferdinand and Isabella's grandson."
55,Ferdinand joined the League of Cambrai against Venice in 1508.
56,"In 1511, he became part of the Holy League against France, seeing a chance at taking both Milan—to which he held a dynastic claim—and Navarre."
57,"In 1516, France agreed to a truce that left Milan in its control and recognized Spanish control of Upper Navarre, which had effectively been a Spanish protectorate following a series of treaties in 1488, 1491, 1493, and 1495."
58,"The conquest of the Canary Islands, inhabited by Guanche people, began in 1402 during the reign of Henry III of Castile, by Norman nobleman Jean de Béthencourt under a feudal agreement with the crown."
59,"The conquest was completed with the campaigns of the armies of the Crown of Castile between 1478 and 1496, when the islands of Gran Canaria (1478–1483), La Palma (1492–1493), and Tenerife (1494–1496) were subjugated."
60,"Chronicler Pulgar wrote that the fame of the treasures of Guinea ""spread around the ports of Andalusia in such way that everybody tried to go there""."
61,"Worthless trinkets, Moorish textiles, and above all, shells from the Canary and Cape Verde islands were exchanged for gold, slaves, ivory and Guinea pepper."
62,"The War of the Castilian Succession (1475–79) provided the Catholic Monarchs with the opportunity not only to attack the main source of the Portuguese power, but also to take possession of this lucrative commerce."
