,0
0,"Television (TV), sometimes shortened to tele or telly, is a telecommunication medium used for transmitting moving images in monochrome (black and white), or in color, and in two or three dimensions and sound."
1,"The term can refer to a television set, a television show, or the medium of television transmission."
2,"Television is a mass medium for advertising, entertainment, news, and sports."
3,"Television became available in crude experimental forms in the late 1920s, but it would still be several years before the new technology would be marketed to consumers."
4,"After World War II, an improved form of black-and-white TV broadcasting became popular in the United Kingdom and United States, and television sets became commonplace in homes, businesses, and institutions."
7,"The availability of multiple types of archival storage media such as Betamax and VHS tapes, high-capacity hard disk drives, DVDs, flash drives, high-definition Blu-ray Discs, and cloud digital video recorders has enabled viewers to watch pre-recorded material—such as movies—at home on their own time schedule."
8,"For many reasons, especially the convenience of remote retrieval, the storage of television and video programming now also occurs on the cloud (such as the video on demand service by Netflix)."
10,"Another development was the move from standard-definition television (SDTV) (576i, with 576 interlaced lines of resolution and 480i) to high-definition television (HDTV), which provides a resolution that is substantially higher."
16,"Major manufacturers announced the discontinuation of CRT, DLP, plasma, and even fluorescent-backlit LCDs by the mid-2010s."
17,"In the near future, LEDs are expected to be gradually replaced by OLEDs."
19,"Alternatively television signals are distributed by coaxial cable or optical fiber, satellite systems and, since the 2000s via the Internet."
21,"A standard television set is composed of multiple internal electronic circuits, including a tuner for receiving and decoding broadcast signals."
22,A visual display device which lacks a tuner is correctly called a video monitor rather than a television.
23,"The first documented usage of the term dates back to 1900, when the Russian scientist Constantin Perskyi used it in a paper that he presented in French at the 1st International Congress of Electricity, which ran from 18 to 25 August 1900 during the International World Fair in Paris."
25,"The use of the term to mean ""a television set"" dates from 1941."
26,"The slang term ""the tube"" or the ""boob tube"" derives from the bulky cathode ray tube used on most TVs until the advent of flat-screen TVs."
27,"The ""small screen"", as both a compound adjective and noun, became specific references to television, while the ""big screen"" was used to identify productions made for theatrical release."
29,Frederick Bakewell demonstrated a working laboratory version in 1851.
30,Willoughby Smith discovered the photoconductivity of the element selenium in 1873.
31,"As a 23-year-old German university student, Paul Julius Gottlieb Nipkow proposed and patented the Nipkow disk in 1884."
32,"This was a spinning disk with a spiral pattern of holes in it, so each hole scanned a line of the image."
33,"Although he never built a working model of the system, variations of Nipkow's spinning-disk ""image rasterizer"" became exceedingly common."
34,Constantin Perskyi had coined the word television in a paper read to the International Electricity Congress at the International World Fair in Paris on 24 August 1900.
35,"Perskyi's paper reviewed the existing electromechanical technologies, mentioning the work of Nipkow and others."
36,"A matrix of 64 selenium cells, individually wired to a mechanical commutator, served as an electronic retina."
37,"In the receiver, a type of Kerr cell modulated the light and a series of variously angled mirrors attached to the edge of a rotating disc scanned the modulated beam onto the display screen."
38,A separate circuit regulated synchronization.
39,The 8x8 pixel resolution in this proof-of-concept demonstration was just sufficient to clearly transmit individual letters of the alphabet.
40,"By the 1920s, when amplification made television practical, Scottish inventor John Logie Baird employed the Nipkow disk in his prototype video systems."
41,"On 25 March 1925, Baird gave the first public demonstration of televised silhouette images in motion, at Selfridge's Department Store in London."
42,"Since human faces had inadequate contrast to show up on his primitive system, he televised a ventriloquist's dummy named ""Stooky Bill"", whose painted face had higher contrast, talking and moving."
43,"By 26 January 1926, he had demonstrated the transmission of an image of a face in motion by radio."
44,This is widely regarded as the world's first public television demonstration.
45,Baird's system used the Nipkow disk for both scanning the image and displaying it.
46,A brightly illuminated subject was placed in front of a spinning Nipkow disk set with lenses which swept images across a static photocell.
47,"The thallium sulphide (Thalofide) cell, developed by Theodore Case in the USA, detected the light reflected from the subject and converted it into a proportional electrical signal."
48,"This was transmitted by AM radio waves to a receiver unit, where the video signal was applied to a neon light behind a second Nipkow disk rotating synchronized with the first."
49,The brightness of the neon lamp was varied in proportion to the brightness of each spot on the image.
50,"As each hole in the disk passed by, one scan line of the image was reproduced."
51,"Baird's disk had 30 holes, producing an image with only 30 scan lines, just enough to recognize a human face."
52,"In 1929, he became involved in the first experimental mechanical television service in Germany."
53,"In November of the same year, Baird and Bernard Natan of Pathé established France's first television company, Télévision-Baird-Natan."
54,"In 1931, he made the first outdoor remote broadcast, of The Derby."
55,"In 1932, he demonstrated ultra-short wave television."
56,"Baird's mechanical system reached a peak of 240-lines of resolution on BBC television broadcasts in 1936, though the mechanical system did not scan the televised scene directly."
58,Their reflected-light television system included both small and large viewing screens.
60,"Both sets were capable of reproducing reasonably accurate, monochromatic, moving images."
61,"Along with the pictures, the sets received synchronized sound."
62,"The system transmitted images over two paths: first, a copper wire link from Washington to New York City, then a radio link from Whippany, New Jersey."
63,"Comparing the two transmission methods, viewers noted no difference in quality."
64,Subjects of the telecast included Secretary of Commerce Herbert Hoover.
65,A flying-spot scanner beam illuminated these subjects.
67,"The disc revolved at a rate of 18 frames per second, capturing one frame about every 56 milliseconds."
68,"Television historian Albert Abramson underscored the significance of the Bell Labs demonstration: ""It was in fact the best demonstration of a mechanical television system ever made to this time."
69,It would be several years before any other system could even begin to compare with it in picture quality.
71,"It broadcast from the General Electric facility in Schenectady, NY."
74,"This prototype is still on display at the Takayanagi Memorial Museum in Shizuoka University, Hamamatsu Campus."
77,The advancement of all-electronic television (including image dissectors and other camera tubes and cathode ray tubes for the reproducer) marked the beginning of the end for mechanical systems as the dominant form of television.
78,"Mechanical television, despite its inferior image quality and generally smaller picture, would remain the primary television technology until the 1930s."
79,The last mechanical television broadcasts ended in 1939 at stations run by a handful of public universities in the United States.
80,"The earliest version of the CRT was invented by the German physicist Ferdinand Braun in 1897 and is also known as the ""Braun"" tube."
81,"It was a cold-cathode diode, a modification of the Crookes tube, with a phosphor-coated screen."
84,They had attempted to generate an electrical signal by projecting an image onto a selenium-coated metal plate that was simultaneously scanned by a cathode ray beam.
86,"Both teams succeeded in transmitting ""very faint"" images with the original Campbell-Swinton's selenium-coated plate."
87,"Although others had experimented with using a cathode ray tube as a receiver, the concept of using one as a transmitter was novel."
88,"The problem of low sensitivity to light resulting in low electrical output from transmitting or ""camera"" tubes would be solved with the introduction of charge-storage technology by Kálmán Tihanyi beginning in 1924."
89,"His solution was a camera tube that accumulated and stored electrical charges (""photoelectrons"") within the tube throughout each scanning cycle."
90,"The device was first described in a patent application he filed in Hungary in March 1926 for a television system he dubbed ""Radioskop""."
92,The patent for his receiving tube had been granted the previous October.
93,Both patents had been purchased by RCA prior to their approval.
94,Charge storage remains a basic principle in the design of imaging devices for television to the present day.
96,This was the first working example of a fully electronic television receiver.
98,This is widely regarded as the first electronic television demonstration.
100,"That year, Farnsworth transmitted the first live human images with his system, including a three and a half-inch image of his wife Elma (""Pem"") with her eyes closed (possibly due to the bright lighting required)."
101,"Meanwhile, Vladimir Zworykin was also experimenting with the cathode ray tube to create and show images."
104,Zworykin's imaging tube never got beyond the laboratory stage.
109,Zworykin was unable or unwilling to introduce evidence of a working model of his tube that was based on his 1923 patent application.
111,"However, Farnsworth had overcome his power problems with his Image Dissector through the invention of a completely unique ""multipactor"" device that he began work on in 1930, and demonstrated in 1931."
112,This small tube could amplify a signal reportedly to the 60th power or better and showed great promise in all fields of electronics.
113,"However, Ardenne had not developed a camera tube, using the CRT instead as a flying-spot scanner to scan slides and film."
114,"Philo Farnsworth gave the world's first public demonstration of an all-electronic television system, using a live camera, at the Franklin Institute of Philadelphia on 25 August 1934, and for ten days afterwards."
115,Mexican inventor Guillermo González Camarena also played an important role in early TV.
118,"On 2 November 1936, a 405-line broadcasting service employing the Emitron began at studios in Alexandra Palace, and transmitted from a specially built mast atop one of the Victorian building's towers."
119,"It alternated for a short time with Baird's mechanical system in adjoining studios, but was more reliable and visibly superior."
120,"The EMI team, under the supervision of Isaac Shoenberg, analyzed how the iconoscope (or Emitron) produces an electronic signal and concluded that its real efficiency was only about 5% of the theoretical maximum."
121,"They solved this problem by developing, and patenting in 1934, two new camera tubes dubbed super-Emitron and CPS Emitron."
122,"The super-Emitron was between ten and fifteen times more sensitive than the original Emitron and iconoscope tubes and, in some cases, this ratio was considerably greater."
123,"It was used for outside broadcasting by the BBC, for the first time, on Armistice Day 1937, when the general public could watch on a television set as the King laid a wreath at the Cenotaph."
124,"This was the first time that anyone had broadcast a live street scene from cameras installed on the roof of neighboring buildings, because neither Farnsworth nor RCA would do the same until the 1939 New York World's Fair."
127,This tube is essentially identical to the super-Emitron.
128,"The production and commercialization of the super-Emitron and image iconoscope in Europe were not affected by the patent war between Zworykin and Farnsworth, because Dieckmann and Hell had priority in Germany for the invention of the image dissector, having submitted a patent application for their Lichtelektrische Bildzerlegerröhre für Fernseher (Photoelectric Image Dissector Tube for Television) in Germany in 1925, two years before Farnsworth did the same in the United States."
129,"The image iconoscope (Superikonoskop) became the industrial standard for public broadcasting in Europe from 1936 until 1960, when it was replaced by the vidicon and plumbicon tubes."
130,"Indeed, it was the representative of the European tradition in electronic tubes competing against the American tradition represented by the image orthicon."
131,"RCA, for example, used only Iconoscopes in the New York area, but Farnsworth Image Dissectors in Philadelphia and San Francisco."
133,"With this historic agreement in place, RCA integrated much of what was best about the Farnsworth Technology into their systems."
137,"Following the invention of the first working transistor at Bell Labs, Sony founder Masaru Ibuka predicted in 1952 that the transition to electronic circuits made of transistors would lead to smaller and more portable television sets."
