,0
0,"A theory is a contemplative and rational type of abstract or generalizing thinking about a phenomenon, or the results of such thinking."
1,"The process of contemplative and rational thinking often is associated with such processes like observational study, research."
2,Theories may either be scientific or other than scientific (or scientific to less extent).
3,"Depending on the context, the results might, for example, include generalized explanations of how nature works."
4,"The word has its roots in ancient Greek, but in modern use it has taken on several related meanings."
5,"In modern science, the term ""theory"" refers to scientific theories, a well-confirmed type of explanation of nature, made in a way consistent with scientific method, and fulfilling the criteria required by modern science."
6,"Such theories are described in such a way that scientific tests should be able to provide empirical support for it, or empirical contradiction (""falsify"") of it."
7,"Scientific theories are the most reliable, rigorous, and comprehensive form of scientific knowledge, in contrast to more common uses of the word ""theory"" that imply that something is unproven or speculative (which in formal terms is better characterized by the word hypothesis)."
8,"Scientific theories are distinguished from hypotheses, which are individual empirically testable conjectures, and from scientific laws, which are descriptive accounts of the way nature behaves under certain conditions."
9,"Theories guide the enterprise of finding facts rather than of reaching goals, and are neutral concerning alternatives among values."
10,"A theory can be a body of knowledge, which may or may not be associated with particular explanatory models."
11,"In those instances, semantically, it is being substituted for another concept, a hypothesis."
15,"A ""classical example"" of the distinction between ""theoretical"" and ""practical"" uses the discipline of medicine: medical theory involves trying to understand the causes and nature of health and sickness, while the practical side of medicine is trying to make people healthy."
16,"These two things are related but can be independent, because it is possible to research health and sickness without curing specific patients, and it is possible to cure a patient without knowing how the cure worked."
17,"As an everyday word, theoria, θεωρία, meant ""looking at, viewing, beholding"", but in more technical contexts it came to refer to contemplative or speculative understandings of natural things, such as those of natural philosophers, as opposed to more practical ways of knowing things, like that of skilled orators or artisans."
18,English-speakers have used the word theory since at least the late 16th century.
19,"Modern uses of the word theory derive from the original definition, but have taken on new shades of meaning, still based on the idea of a theory as a thoughtful and rational explanation of the general nature of things."
21,"In the book From Religion to Philosophy, Francis Cornford suggests that the Orphics used the word theoria to mean ""passionate sympathetic contemplation""."
22,"Pythagoras changed the word to mean ""the passionless contemplation of rational, unchanging truth"" of mathematical knowledge, because he considered this intellectual pursuit the way to reach the highest plane of existence."
23,Pythagoras emphasized subduing emotions and bodily desires to help the intellect function at the higher plane of theory.
24,"For Aristotle, both practice and theory involve thinking, but the aims are different."
