,0
0,"The field can be divided into infrastructure, vehicles and operations."
1,"Transport enables trade between people, which is essential for the development of civilizations."
2,"Transport infrastructure consists of the fixed installations, including roads, railways, airways, waterways, canals and pipelines and terminals such as airports, railway stations, bus stations, warehouses, trucking terminals, refueling depots (including fueling docks and fuel stations) and seaports."
3,Terminals may be used both for interchange of passengers and cargo and for maintenance.
4,"Vehicles traveling on these networks may include automobiles, bicycles, buses, trains, trucks, helicopters, watercraft, spacecraft and aircraft."
5,"The transport of a person or of cargo may involve one mode or several of the modes, with the latter case being called inter-modal or multi-modal transport."
6,"Each mode has its own advantages and disadvantages, and will be chosen on the basis of cost, capability, and route."
7,"Governments deal with the way the vehicles are operated, and the procedures set for this purpose, including financing, legalities, and policies."
8,"In the transport industry, operations and ownership of infrastructure can be either public or private, depending on the country and mode."
9,"Passenger transport may be public, where operators provide scheduled services, or private."
10,"Freight transport has become focused on containerization, although bulk transport is used for large volumes of durable items."
11,"Transport plays an important part in economic growth and globalization, but most types cause air pollution and use large amounts of land."
12,"While it is heavily subsidized by governments, good planning of transport is essential to make traffic flow and restrain urban sprawl."
13,Modern technology has allowed machines to enhance human power.
14,"Human-powered transport remains popular for reasons of cost-saving, leisure, physical exercise, and environmentalism; it is sometimes the only type available, especially in underdeveloped or inaccessible regions."
15,"Although humans are able to walk without infrastructure, the transport can be enhanced through the use of roads, especially when using the human power with vehicles, such as bicycles and inline skates."
16,"Human-powered vehicles have also been developed for difficult environments, such as snow and water, by watercraft rowing and skiing; even the air can be entered with human-powered aircraft."
17,"Humans may ride some of the animals directly, use them as pack animals for carrying goods, or harness them, alone or in teams, to pull sleds or wheeled vehicles."
18,"The term is used to distinguish this from rotary-wing aircraft, where the movement of the lift surfaces relative to the air generates lift."
19,A gyroplane is both fixed-wing and rotary wing.
20,Fixed-wing aircraft range from small trainers and recreational aircraft to large airliners and military cargo aircraft.
21,Two things necessary for aircraft are air flow over the wings for lift and an area for landing.
22,"The majority of aircraft also need an airport with the infrastructure to receive maintenance, restocking, refueling and for the loading and unloading of crew, cargo, and passengers."
23,"While the vast majority of aircraft land and take off on land, some are capable of take-off and landing on ice, snow, and calm water."
24,"The aircraft is the second fastest method of transport, after the rocket."
26,"Aviation is able to quickly transport people and limited amounts of cargo over longer distances, but incurs high costs and energy use; for short distances or in inaccessible places, helicopters can be used."
28,Land transport plays a vital role in linking communities to each other.
29,Land transport is a key factor in urban planning.
30,"It consists of two kinds, rail and road."
31,"The rails are anchored perpendicular to ties (or sleepers) of timber, concrete or steel, to maintain a consistent distance apart, or gauge."
32,The rails and perpendicular beams are placed on a foundation made of concrete or compressed earth and gravel in a bed of ballast.
33,Alternative methods include monorail and maglev.
34,A train consists of one or more connected vehicles that operate on the rails.
35,"Propulsion is commonly provided by a locomotive, that hauls a series of unpowered cars, that can carry passengers or freight."
36,"The locomotive can be powered by steam, diesel or by electricity supplied by trackside systems."
37,"Alternatively, some or all the cars can be powered, known as a multiple unit."
38,"Also, a train can be powered by horses, cables, gravity, pneumatics and gas turbines."
39,"Railed vehicles move with much less friction than rubber tires on paved roads, making trains more energy efficient, though not as efficient as ships."
40,"Intercity trains are long-haul services connecting cities; modern high-speed rail is capable of speeds up to 350 km/h (220 mph), but this requires specially built track."
