,0
3,"There was a strong religious drive for higher moral standards led by the nonconformist churches, such as the Methodists, and the Evangelical wing of the established Church of England."
4,"Ideologically, the Victorian era witnessed resistance to the rationalism that defined the Georgian period and an increasing turn towards romanticism and even mysticism with regard to religion, social values, and arts."
5,"Technologically, this era saw a staggering amount of innovations that proved key to Britain's power and prosperity."
6,Doctors started moving away from tradition and mysticism towards a science-based approach; modern medicine saw the light of day thanks to the adoption of the germ theory of disease and pioneering research in epidemiology.
7,"Between 1837 and 1901 about 15 million emigrated from Great Britain, mostly to the United States, Canada, South Africa, New Zealand, and Australia."
8,"Britain embarked on global imperial expansion, particularly in Asia and Africa, which made the British Empire the largest empire in history."
10,"Britain granted political autonomy to the more advanced colonies of Australia, Canada, and New Zealand, and avoided war with the United States."
11,"These parties were led by such prominent statesmen as Lord Melbourne, Sir Robert Peel, Lord Derby, Lord Palmerston, Benjamin Disraeli, William Gladstone, and Lord Salisbury."
12,"The unsolved problems relating to Irish Home Rule played a great part in politics in the later Victorian era, particularly in view of Gladstone's determination to achieve a political settlement in Ireland."
13,"Her reign lasted for 63 years and seven months, a longer period than any of her predecessors."
14,The term 'Victorian' was in contemporaneous usage to describe the era.
15,"The era has also been understood in a more extensive sense as a period that possessed sensibilities and characteristics distinct from the periods adjacent to it, in which case it is sometimes dated to begin before Victoria's accession—typically from the passage of or agitation for (during the 1830s) the Reform Act 1832, which introduced a wide-ranging change to the electoral system of England and Wales."
17,"The Act abolished many borough seats and created others in their place, as well as expanding the franchise in England and Wales (a Scottish Reform Act and Irish Reform Act were passed separately)."
20,"Her government was led by the Whig prime minister Lord Melbourne, to whom she was close."
21,"But within two years he had resigned, and the Tory politician Sir Robert Peel attempted to form a new ministry."
22,Peel said he was willing to become prime minister provided the Queen replaced her Whig ladies-in-waiting with Tory ones.
23,"She refused and re-appointed Lord Melbourne, a decision criticised as unconstitutional."
24,"She regularly recorded the events of the rebellions on Upper and Lower Canada as these reminded her of the American Revolution, which took place during the reign of her grandfather King George III."
26,"It proved a passionate marriage, whose children were much sought after by royal families across Europe."
27,"An astute diplomat, the Queen was only too willing to arrange such marriages."
28,"Indeed, she became the ""Grandmother of Europe"" thanks to the nine children she had with Prince Albert in just sixteen years despite suffering from postnatal depression and her dislike of childbirth."
29,The focus shifted from transportation of criminals to voluntary immigration.
33,"However, a disastrous retreat from Kabul in the same year led to the annihilation of a British army column in Afghanistan."
