,0
1,It involved the vast majority of the world's countries—including all the great powers—forming two opposing military alliances: the Allies and the Axis.
4,"Tens of millions of people died due to genocides (including the Holocaust), premeditated death from starvation, massacres, and disease."
5,"Aircraft played a major role in the conflict, including in strategic bombing of population centres, the development of nuclear weapons, and the only two uses of such in war."
13,"Following a US declaration of war against Japan, which followed one from the UK, the European Axis powers declared war on the United States in solidarity with their ally."
14,"Japan soon captured much of the Western Pacific, but its advances were halted in 1942 after losing the critical Battle of Midway; later, Germany and Italy were defeated in North Africa and at Stalingrad in the Soviet Union."
18,"The war in Europe concluded with the liberation of German-occupied territories, and the invasion of Germany by the Western Allies and the Soviet Union, culminating in the fall of Berlin to Soviet troops, the suicide of Adolf Hitler and the German unconditional surrender on 8 May 1945."
19,"Following the Potsdam Declaration by the Allies on 26 July 1945 and the refusal of Japan to surrender on its terms, the United States dropped the first atomic bombs on the Japanese cities of Hiroshima, on 6 August 1945, and Nagasaki, on 9 August."
20,"Faced with an imminent invasion of the Japanese archipelago, the possibility of additional atomic bombings, and the Soviet entry into the war against Japan and its invasion of Manchuria on 9 August, Japan announced its intention to surrender on 15 August 1945, cementing total victory in Asia for the Allies."
21,"In the wake of the war, Germany and Japan were occupied, and war crimes tribunals were conducted against German and Japanese leaders."
22,"The United Nations (UN) was established to foster international co-operation and prevent future conflicts, and the victorious great powers—China, France, the Soviet Union, the United Kingdom, and the United States—became the permanent members of its Security Council."
23,"The Soviet Union and the United States emerged as rival superpowers, setting the stage for the nearly half-century-long Cold War."
24,"In the wake of European devastation, the influence of its great powers waned, triggering the decolonisation of Africa and Asia."
25,Most countries whose industries had been damaged moved towards economic recovery and expansion.
26,"Political integration, especially in Europe, began as an effort to forestall future hostilities, end pre-war enmities and forge a sense of common identity."
27,This article uses conventional dating.
31,A 1990 treaty regarding Germany's future allowed the reunification of East and West Germany to take place and resolved most post-World War II issues.
32,No formal peace treaty between Japan and the Soviet Union was ever signed.
33,"Meanwhile, the victorious Allies of World War I, such as France, Belgium, Italy, Romania, and Greece, gained territory, and new nation-states were created out of the collapse of Austria-Hungary and the Ottoman and Russian Empires."
35,"The organisation's primary goals were to prevent armed conflict through collective security, military and naval disarmament, and settling international disputes through peaceful negotiations and arbitration."
36,"Despite strong pacifist sentiment after World War I, irredentist and revanchist nationalism emerged in several European states in the same period."
37,"These sentiments were especially marked in Germany because of the significant territorial, colonial, and financial losses imposed by the Treaty of Versailles."
38,The interwar period saw strife between supporters of the new republic and hardline opponents on both the right and left.
41,"Adolf Hitler, after an unsuccessful attempt to overthrow the German government in 1923, eventually became the Chancellor of Germany in 1933."
42,"He abolished democracy, espousing a radical, racially motivated revision of the world order, and soon began a massive rearmament campaign."
43,"Meanwhile, France, to secure its alliance, allowed Italy a free hand in Ethiopia, which Italy desired as a colonial possession."
44,"The Soviet Union, concerned by Germany's goals of capturing vast areas of Eastern Europe, drafted a treaty of mutual assistance with France."
47,"A month later, Germany and Japan signed the Anti-Comintern Pact, which Italy joined the following year."
48,Japan withdrew from the League of Nations after being condemned for its incursion into Manchuria.
50,"Thereafter, Chinese volunteer forces continued the resistance to Japanese aggression in Manchuria, and Chahar and Suiyuan."
52,"The war began with the invasion of the Ethiopian Empire (also known as Abyssinia) by the armed forces of the Kingdom of Italy (Regno d'Italia), which was launched from Italian Somaliland and Eritrea."
53,"The war resulted in the military occupation of Ethiopia and its annexation into the newly created colony of Italian East Africa (Africa Orientale Italiana, or AOI); in addition it exposed the weakness of the League of Nations as a force to preserve peace."
54,"Both Italy and Ethiopia were member nations, but the League did little when the former clearly violated Article X of the League's Covenant."
55,"The United Kingdom and France supported imposing sanctions on Italy for the invasion, but the sanctions were not fully enforced and failed to end the Italian invasion."
56,Italy subsequently dropped its objections to Germany's goal of absorbing Austria.
57,"Italy supported the Nationalists to a greater extent than the Nazis did: altogether Mussolini sent to Spain more than 70,000 ground troops and 6,000 aviation personnel, as well as about 720 aircraft."
58,The Soviet Union supported the existing government of the Spanish Republic.
60,Both Germany and the Soviet Union used this proxy war as an opportunity to test in combat their most advanced weapons and tactics.
62,His greatest collaboration with Germany was the sending of volunteers to fight on the Eastern Front.
63,"The Soviets quickly signed a non-aggression pact with China to lend materiel support, effectively ending China's prior co-operation with Germany."
64,"From September to November, the Japanese attacked Taiyuan, engaged the Kuomintang Army around Xinkou, and fought Communist forces in Pingxingguan."
