,0
1,Events occurring before the invention of writing systems are considered prehistory.
2,"""History"" is an umbrella term that relates to past events as well as the memory, discovery, collection, organization, presentation, and interpretation of information about these events."
3,Historians seek to understand and represent the past through narratives.
4,"They often debate which narrative best explains an event, as well as the significance of different causes and effects."
5,History differs from myth in that it is supported by evidence.
6,"However, ancient influences have helped spawn variant interpretations of the nature of history which have evolved over the centuries and continue to change today."
7,"The modern study of history is wide-ranging, and includes the study of specific regions and the study of certain topical or thematic elements of historical investigation."
8,"History is often taught as part of primary and secondary education, and the academic study of history is a major discipline in university studies."
9,"Herodotus, a 5th-century BC Greek historian is often considered (within the Western tradition) to be the ""father of history"", or, the ""father of lies""."
10,"Along with his contemporary Thucydides, he helped form the foundations for the modern study of human history."
11,"Their works continue to be read today, and the gap between the culture-focused Herodotus and the military-focused Thucydides remains a point of contention or approach in modern historical writing."
12,"In East Asia, a state chronicle, the Spring and Autumn Annals, was known to be compiled from as early as 722 BC although only 2nd-century BC texts have survived."
13,It was in that sense that Aristotle used the word in his History of Animals.
14,"The ancestor word ἵστωρ is attested early on in Homeric Hymns, Heraclitus, the Athenian ephebes' oath, and in Boiotic inscriptions (in a legal sense, either ""judge"" or ""witness"", or similar)."
15,"The Greek word was borrowed into Classical Latin as historia, meaning ""investigation, inquiry, research, account, description, written account of past events, writing of history, historical narrative, recorded knowledge of past events, story, narrative""."
16,"History was borrowed from Latin (possibly via Old Irish or Old Welsh) into Old English as stær (""history, narrative, story""), but this word fell out of use in the late Old English period."
17,"In Middle English, the meaning of history was ""story"" in general."
20,"With the Renaissance, older senses of the word were revived, and it was in the Greek sense that Francis Bacon used the term in the late 16th century, when he wrote about natural history."
21,"In modern German, French, and most Germanic and Romance languages, which are solidly synthetic and highly inflected, the same word is still used to mean both ""history"" and ""story""."
22,"Historian in the sense of a ""researcher of history"" is attested from 1531."
23,"In all European languages, the substantive history is still used to mean both ""what happened with men"", and ""the scholarly study of the happened"", the latter sense sometimes distinguished with a capital letter, or the word historiography."
24,"The adjective historical is attested from 1661, and historic from 1669."
25,"In the words of Benedetto Croce, ""All history is contemporary history""."
26,"History is facilitated by the formation of a ""true discourse of past"" through the production of narrative and analysis of past events relating to the human race."
27,The modern discipline of history is dedicated to the institutional production of this discourse.
28,All events that are remembered and preserved in some authentic form constitute the historical record.
29,The task of historical discourse is to identify the sources which can most usefully contribute to the production of accurate accounts of past.
30,"Therefore, the constitution of the historian's archive is a result of circumscribing a more general archive by invalidating the usage of certain texts and documents (by falsifying their claims to represent the ""true past"")."
31,"Part of the historian's role is to skillfully and objectively utilize the vast amount of sources from the past, most often found in the archives."
32,"It can also be seen as a bridge between those two broad areas, incorporating methodologies from both."
33,Some individual historians strongly support one or the other classification.
34,"In the 20th century, French historian Fernand Braudel revolutionized the study of history, by using such outside disciplines as economics, anthropology, and geography in the study of global history."
35,"Traditionally, historians have recorded events of the past, either in writing or by passing on an oral tradition, and have attempted to answer historical questions through the study of written documents and oral accounts."
36,"From the beginning, historians have also used such sources as monuments, inscriptions, and pictures."
37,"In general, the sources of historical knowledge can be separated into three categories: what is written, what is said, and what is physically preserved, and historians often consult all three."
38,But writing is the marker that separates history from what comes before.
39,"Archaeology is especially helpful in unearthing buried sites and objects, which contribute to the study of history."
40,"Archaeological finds rarely stand alone, with narrative sources complementing its discoveries."
41,Archaeology's methodologies and approaches are independent from the field of history.
42,"""Historical archaeology"" is a specific branch of archaeology which often contrasts its conclusions against those of contemporary textual sources."
43,"For example, Mark Leone, the excavator and interpreter of historical Annapolis, Maryland, USA, has sought to understand the contradiction between textual documents idealizing ""liberty"" and the material record, demonstrating the possession of slaves and the inequalities of wealth made apparent by the study of the total historical environment."
44,"There are varieties of ways in which history can be organized, including chronologically, culturally, territorially, and thematically."
45,"These divisions are not mutually exclusive, and significant intersections are often present."
46,"It is possible for historians to concern themselves with both the very specific and the very general, although the modern trend has been toward specialization."
47,"The area called Big History resists this specialization, and searches for universal patterns or trends."
48,"History has often been studied with some practical or theoretical aim, but also may be studied out of simple intellectual curiosity."
49,"By ""prehistory"", historians mean the recovery of knowledge of the past in an area where no written records exist, or where the writing of a culture is not understood."
50,"By studying painting, drawings, carvings, and other artifacts, some information can be recovered even in the absence of a written record."
51,"Since the 20th century, the study of prehistory is considered essential to avoid history's implicit exclusion of certain civilizations, such as those of Sub-Saharan Africa and pre-Columbian America."
52,Historians in the West have been criticized for focusing disproportionately on the Western world.
53,History begins with the handing down of tradition; and tradition means the carrying of the habits and lessons of the past into the future.
54,Records of the past begin to be kept for the benefit of future generations.
55,"This definition includes within the scope of history the strong interests of peoples, such as Indigenous Australians and New Zealand Māori in the past, and the oral records maintained and transmitted to succeeding generations, even before their contact with European civilization."
56,"Firstly, it can refer to how history has been produced: the story of the development of methodology and practices (for example, the move from short-term biographical narrative towards long-term thematic analysis)."
57,"Secondly, it can refer to what has been produced: a specific body of historical writing (for example, ""medieval historiography during the 1960s"" means ""Works of medieval history written during the 1960s"")."
58,"Thirdly, it may refer to why history is produced: the philosophy of history."
59,"As a meta-level analysis of descriptions of the past, this third conception can relate to the first two in that the analysis usually focuses on the narratives, interpretations, world view, use of evidence, or method of presentation of other historians."
60,Professional historians also debate the question of whether history can be taught as a single coherent narrative or a series of competing narratives.
64,"Thucydides, unlike Herodotus, regarded history as being the product of the choices and actions of human beings, and looked at cause and effect, rather than as the result of divine intervention (though Herodotus was not wholly committed to this idea himself)."
65,"In his historical method, Thucydides emphasized chronology, a nominally neutral point of view, and that the human world was the result of the actions of human beings."
66,"The groundwork for professional historiography in East Asia was established by the Han dynasty court historian known as Sima Qian (145–90 BC), author of the Records of the Grand Historian (Shiji)."
67,"For the quality of his written work, Sima Qian is posthumously known as the Father of Chinese historiography."
68,"Through the Medieval and Renaissance periods, history was often studied through a sacred or religious perspective."
69,"In this criticism, he approached the past as strange and in need of interpretation."
