,0
0,"Their contributions to mathematics, astronomy, and medicine entered and shaped Greek natural philosophy of classical antiquity, whereby formal attempts were made to provide explanations of events in the physical world based on natural causes."
1,"After the fall of the Western Roman Empire, knowledge of Greek conceptions of the world deteriorated in Western Europe during the early centuries (400 to 1000 CE) of the Middle Ages, but was preserved in the Muslim world during the Islamic Golden Age."
2,"The recovery and assimilation of Greek works and Islamic inquiries into Western Europe from the 10th to 13th century revived ""natural philosophy"", which was later transformed by the Scientific Revolution that began in the 16th century as new ideas and discoveries departed from previous Greek conceptions and traditions."
3,"The scientific method soon played a greater role in knowledge creation and it was not until the 19th century that many of the institutional and professional features of science began to take shape; along with the changing of ""natural philosophy"" to ""natural science."
4,"There is disagreement, however, on whether the formal sciences actually constitute a science as they do not rely on empirical evidence."
5,"The practical impact of scientific research has led to the emergence of science policies that seek to influence the scientific enterprise by prioritizing the development of commercial products, armaments, health care, public infrastructure, and environmental protection."
6,"Modern science is distinct in its approach and successful in its results, so it now defines what science is in the strictest sense of the term."
7,"Science in its original sense was a word for a type of knowledge, rather than a specialized word for the pursuit of such knowledge."
8,"In particular, it was the type of knowledge that people can communicate to each other and share."
9,"For example, knowledge about the working of natural things was gathered long before recorded history and led to the development of complex abstract thought."
10,"This is shown by the construction of complex calendars, techniques for making poisonous plants edible, public works at a national scale, such as those which harnessed the floodplain of the Yangtse with reservoirs, dams, and dikes, and buildings such as the Pyramids."
11,"However, no consistent conscious distinction was made between knowledge of such things, which are true in every community, and other types of communal knowledge, such as mythologies and legal systems."
12,"Metallurgy was known in prehistory, and the Vinča culture was the earliest known producer of bronze-like alloys."
13,It is thought that early experimentation with heating and mixing of substances over time developed into alchemy.
14,"The ancient Mesopotamians used knowledge about the properties of various natural chemicals for manufacturing pottery, faience, glass, soap, metals, lime plaster, and waterproofing; they also studied animal physiology, anatomy, and behavior for divinatory purposes and made extensive records of the movements of astronomical objects for their study of astrology."
15,"Nonetheless, the Mesopotamians seem to have had little interest in gathering information about the natural world for the mere sake of gathering information and mainly only studied scientific subjects which had obvious practical applications or immediate relevance to their religious system."
16,"Instead, well-educated, usually upper-class, and almost universally male individuals performed various investigations into nature whenever they could afford the time."
17,"Before the invention or discovery of the concept of ""nature"" (ancient Greek phusis) by the Pre-Socratic philosophers, the same words tend to be used to describe the natural ""way"" in which a plant grows, and the ""way"" in which, for example, one tribe worships a particular god."
18,"For this reason, it is claimed these men were the first philosophers in the strict sense, and also the first people to clearly distinguish ""nature"" and ""convention."""
19,"Natural philosophy, the precursor of natural science, was thereby distinguished as the knowledge of nature and things which are true for every community, and the name of the specialized pursuit of such knowledge was philosophy – the realm of the first philosopher-physicists."
20,"They were mainly speculators or theorists, particularly interested in astronomy."
21,The Pythagoreans developed a complex number philosophy and contributed significantly to the development of mathematical science.
22,The theory of atoms was developed by the Greek philosopher Leucippus and his student Democritus.
23,"The Greek doctor Hippocrates established the tradition of systematic medical science and is known as ""The Father of Medicine""."
24,"A turning point in the history of early philosophical science was Socrates' example of applying philosophy to the study of human matters, including human nature, the nature of political communities, and human knowledge itself."
25,The Socratic method as documented by Plato's dialogues is a dialectic method of hypothesis elimination: better hypotheses are found by steadily identifying and eliminating those that lead to contradictions.
26,This was a reaction to the Sophist emphasis on rhetoric.
27,"The Socratic method searches for general, commonly held truths that shape beliefs and scrutinizes them to determine their consistency with other beliefs."
28,Socrates criticized the older type of study of physics as too purely speculative and lacking in self-criticism.
29,"Socrates was later, in the words of his Apology, accused of corrupting the youth of Athens because he did ""not believe in the gods the state believes in, but in other new spiritual beings""."
30,"In his physics, the Sun goes around the Earth, and many things have it as part of their nature that they are for humans."
31,"Each thing has a formal cause, a final cause, and a role in a cosmic order with an unmoved mover."
32,The Socratics also insisted that philosophy should be used to consider the practical question of the best way to live for a human being (a study Aristotle divided into ethics and political philosophy).
33,Aristarchus's model was widely rejected because it was believed to violate the laws of physics.
34,"The inventor and mathematician Archimedes of Syracuse made major contributions to the beginnings of calculus and has sometimes been credited as its inventor, although his proto-calculus lacked several defining features."
35,"Pliny the Elder was a Roman writer and polymath, who wrote the seminal encyclopedia Natural History, dealing with history, geography, medicine, astronomy, earth science, botany, and zoology."
36,"Other scientists or proto-scientists in Antiquity were Theophrastus, Euclid, Herophilos, Hipparchus, Ptolemy, and Galen."
37,"In contrast, the Byzantine Empire resisted the attacks from invaders, and preserved and improved upon the learning."
38,"John Philoponus, a Byzantine scholar in the 500s, questioned Aristotle's teaching of physics and to note its flaws."
39,"Aristotle's four causes prescribed that the question ""why"" should be answered in four ways in order to explain things scientifically."
40,"Some ancient knowledge was lost, or in some cases kept in obscurity, during the fall of the Western Roman Empire and periodic political struggles."
